ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000270193564342360,Townhome in Atlanta,,,,,,,,,18.0,25.0,15.0,27.0,54,False,,,,,3.0,2.5
1000270193564342360,Townhome in Atlanta,14.0,14.0,14.0,11.0,10.0,7.0,3.0,2.0,25.0,16.0,8.0,0.0,63,False,,,,,3.0,2.5
1000527636324868284,"Cozy condo, amazing views and a king bed.",,,,,,,,,,,4.0,14.0,91,False,33.7626,-84.3879,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'TV', 'Elevator', 'Air conditioning', 'Bathtub', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
1000527636324868284,"Cozy condo, amazing views and a king bed.",18.0,24.0,14.0,19.0,22.0,16.0,18.0,10.0,11.0,8.0,7.0,11.0,87,False,33.7626,-84.3879,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'TV', 'Elevator', 'Air conditioning', 'Bathtub', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
1001525828918236692,Vibrant Atlanta Loft,,,,,,,,,6.0,14.0,7.0,16.0,96,False,33.75014,-84.39319,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1001525828918236692,Vibrant Atlanta Loft,19.0,21.0,15.0,27.0,26.0,15.0,7.0,9.0,31.0,30.0,31.0,31.0,86,False,33.75014,-84.39319,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Elevator', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1001568707158415291,Beltline/Old Fourth Ward Modern Luxury Home,,,,,,,,,,,22.0,23.0,74,False,33.758623244126035,-84.36755730460935,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,3.0
1001568707158415291,Beltline/Old Fourth Ward Modern Luxury Home,21.0,26.0,24.0,28.0,28.0,17.0,27.0,20.0,20.0,19.0,18.0,10.0,93,False,33.758623244126035,-84.36755730460935,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,3.0
1001582921050251221,Modern Boho w/ 5BD|2BR Sleeps 10,,,,,,,,,13.0,19.0,18.0,20.0,92,False,33.76179521700764,-84.44266531346312,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1001582921050251221,Modern Boho w/ 5BD|2BR Sleeps 10,17.0,26.0,21.0,26.0,28.0,20.0,21.0,15.0,14.0,8.0,20.0,18.0,89,False,33.76179521700764,-84.44266531346312,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1001670956644548014,Comfy Villa in the middle of Downtown,,,,,,,,,,3.0,20.0,25.0,50,False,33.74494,-84.42955,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '50 inch HDTV with Amazon Prime Video, Apple TV, Netflix', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,1.0
1001670956644548014,Comfy Villa in the middle of Downtown,4.0,0.0,6.0,14.0,12.0,5.0,4.0,0.0,0.0,0.0,5.0,11.0,85,False,33.74494,-84.42955,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '50 inch HDTV with Amazon Prime Video, Apple TV, Netflix', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,1.0
1001670956644548014,Comfy Villa in the middle of Downtown,0.0,,,,,,,,,,25.0,21.0,64,False,33.74494,-84.42955,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '50 inch HDTV with Amazon Prime Video, Apple TV, Netflix', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,1.0
1001673445754075407,Atl/Conley Haven 2,31.0,22.0,0.0,0.0,0.0,24.0,9.0,0.0,0.0,0.0,0.0,18.0,88,False,33.64478586334301,-84.33970704587053,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'Pets allowed', 'Dryer', 'Central air conditioning', 'Bathtub', 'Patio or balcony', 'Exterior security cameras on property']",4.0,3.0
1001673445754075407,Atl/Conley Haven 2,11.0,,,,,,,,,,,18.0,77,False,33.64478586334301,-84.33970704587053,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'Pets allowed', 'Dryer', 'Central air conditioning', 'Bathtub', 'Patio or balcony', 'Exterior security cameras on property']",4.0,3.0
1002133152860318260,Luxurious DTWN Condo w/ King Bed,15.0,22.0,29.0,26.0,31.0,18.0,19.0,29.0,18.0,7.0,14.0,15.0,81,False,33.761046644228486,-84.38104540056239,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Pool', 'Pets allowed', 'TV', 'Elevator', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,1.0
1002133152860318260,Luxurious DTWN Condo w/ King Bed,18.0,,,,,,,,,,,13.0,90,False,33.761046644228486,-84.38104540056239,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Pool', 'Pets allowed', 'TV', 'Elevator', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,1.0
1002139286746937112,Home Away From Home,24.0,23.0,15.0,24.0,0.0,21.0,14.0,29.0,25.0,0.0,9.0,25.0,68,False,,,,,2.0,2.0
1002139286746937112,Home Away From Home,0.0,,,30.0,31.0,30.0,0.0,0.0,30.0,31.0,22.0,17.0,67,False,,,,,2.0,2.0
