ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000104207372534261,"Heart of the Domain - Austin, Texas",,,,,,,,,,,13.0,4.0,65,False,,,,,1.0,1.0
1000104207372534261,"Heart of the Domain - Austin, Texas",24.0,17.0,21.0,18.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,72,False,,,,,1.0,1.0
1000214231632561366,Private Studio in Central East Austin,,,,,,,,,,,,0.0,90,False,30.2708248957036,-97.72853833305646,True,"['Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Hair dryer', 'Microwave']",0.0,1.0
1000214231632561366,Private Studio in Central East Austin,29.0,26.0,28.0,24.0,14.0,27.0,0.0,0.0,30.0,0.0,0.0,21.0,87,False,30.2708248957036,-97.72853833305646,True,"['Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Hair dryer', 'Microwave']",0.0,1.0
1000949971433207571,Central Austin 6-Bedroom Gem,,,,,,,,,0.0,0.0,0.0,4.0,49,False,30.2651,-97.7021,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Air conditioning', 'Bathtub', 'Backyard', 'Hair dryer', 'Refrigerator']",6.0,2.5
1000949971433207571,Central Austin 6-Bedroom Gem,7.0,22.0,19.0,14.0,14.0,14.0,12.0,18.0,12.0,16.0,16.0,6.0,85,False,30.2651,-97.7021,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Air conditioning', 'Bathtub', 'Backyard', 'Hair dryer', 'Refrigerator']",6.0,2.5
1001303,Mid-Century Modern Revivalist Cottage,,,22.0,26.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,,79,False,30.33664,-97.72655,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with HBO Max, Netflix', 'EV charger', 'Washer', 'Dryer', 'Air conditioning']",3.0,2.0
1001303,Mid-Century Modern Revivalist Cottage,,,,26.0,13.0,10.0,12.0,0.0,13.0,16.0,15.0,29.0,88,False,30.33664,-97.72655,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with HBO Max, Netflix', 'EV charger', 'Washer', 'Dryer', 'Air conditioning']",3.0,2.0
10015237,Casita de Corazon: Everything at your doorstep!,,,29.0,31.0,22.0,0.0,0.0,0.0,5.0,30.0,31.0,0.0,76,False,30.27395,-97.75549,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Carbon monoxide alarm']",1.0,1.0
10015237,Casita de Corazon: Everything at your doorstep!,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,60,False,30.27395,-97.75549,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Carbon monoxide alarm']",1.0,1.0
