ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000037817213479846,Spacious Central Plaza Shamrock 2 Bed/1 Bath,,,,,,,,,,,150.0,150.0,False,35.24528,-80.78713,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",2.0,1.0
1000037817213479846,Spacious Central Plaza Shamrock 2 Bed/1 Bath,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,202.0,False,35.24528,-80.78713,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",2.0,1.0
1000069291352571497,Apartment - Central Charlotte,,,,,,,,,,75.0,75.0,90.0,False,35.22732,-80.75828,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
1000069291352571497,Apartment - Central Charlotte,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,99.0,169.0,99.0,False,35.22732,-80.75828,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
1000245837494404624,"Minutes to Airport, UpTown ,Southend & NoDa !",,,,,,,,,,,,,False,35.20382,-80.88922,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, HBO Max', 'Washer', 'Dryer', 'Central air conditioning', 'Private backyard – Not fully fenced', 'Exterior security cameras on property']",3.0,2.0
1000245837494404624,"Minutes to Airport, UpTown ,Southend & NoDa !",180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,199.0,False,35.20382,-80.88922,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, HBO Max', 'Washer', 'Dryer', 'Central air conditioning', 'Private backyard – Not fully fenced', 'Exterior security cameras on property']",3.0,2.0
1000668987456768421,Comfy Lower Lvl Apt w/ Jetted Tub Near Uptown/UNC,,,,,,,,,,,,130.0,False,35.3023,-80.816,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 3 spaces', 'Pets allowed', '55-inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,2.0
1000668987456768421,Comfy Lower Lvl Apt w/ Jetted Tub Near Uptown/UNC,130.0,130.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,137.0,False,35.3023,-80.816,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 3 spaces', 'Pets allowed', '55-inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,2.0
1001073329354195789,Upscale King 2BR Suite—Mins to Uptown Charlotte!,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,False,35.1542,-80.96724,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning']",2.0,2.0
10010966,Gorgeous Downtown 3B/3Bath Gem close to everything,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,375.0,False,35.23461,-80.84003,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Indoor fireplace', 'Hair dryer']",3.0,3.0
1001540178861655503,Charming Home in heart of Charlotte,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,False,35.2373,-80.7918,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 4 spaces', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",2.0,1.0
1002144192688093450,HOS Moody Blues,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,False,35.23337,-80.83701,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'Carbon monoxide alarm']",1.0,1.0
1002148806249804437,"Modern Living by PNC Pavilion, UNC, Bars & Grocery",,120.0,109.0,109.0,112.0,112.0,98.0,98.0,107.0,109.0,118.0,118.0,False,,,,,1.0,1.0
1003062407364302233,Colorful Charlotte Townhome,,,,,,,,,,,,140.0,False,35.36179,-80.86108,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.5
1003062407364302233,Colorful Charlotte Townhome,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,False,35.36179,-80.86108,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.5
1003115290671862631,1 bedroom Condo - Commonwealth,,,,,,,,,,,,,False,35.21222,-80.79168,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Air conditioning', 'Bathtub', 'Backyard', 'Hair dryer', 'Refrigerator']",1.0,1.0
1003115290671862631,1 bedroom Condo - Commonwealth,,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,128.0,False,35.21222,-80.79168,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Air conditioning', 'Bathtub', 'Backyard', 'Hair dryer', 'Refrigerator']",1.0,1.0
1003193850988385556,Standard Room with 1 King Bed,,499.0,,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,499.0,False,35.04075,-80.84809,False,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Elevator', 'Air conditioning', 'Hair dryer', 'Refrigerator', 'Microwave', 'Breakfast']",1.0,1.0
1003606782905082651,NEW & Spacious Uptown/Southend CLT Home!,,,,,,,,,,135.0,135.0,135.0,False,35.20064,-80.89896,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'HDTV with Netflix, DVD player, Apple TV, Fire TV, Hulu, Amazon Prime Video, HBO Max, Disney+', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.5
1003606782905082651,NEW & Spacious Uptown/Southend CLT Home!,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,141.0,131.0,False,35.20064,-80.89896,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'HDTV with Netflix, DVD player, Apple TV, Fire TV, Hulu, Amazon Prime Video, HBO Max, Disney+', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.5
1003885875953161401,King Bed| 15 Mins to Uptown Charlotte| Fast Wi-Fi,,,,,,,,,,,,,False,35.15665,-80.72122,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '65 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1003885875953161401,King Bed| 15 Mins to Uptown Charlotte| Fast Wi-Fi,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,197.0,False,35.15665,-80.72122,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '65 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1003885875953161401,King Bed| 15 Mins to Uptown Charlotte| Fast Wi-Fi,181.0,172.0,,,,,,,,,,,False,35.15665,-80.72122,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '65 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1004434640241073803,Fantastic Home * 6 Bedrooms * Awesome Location,,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,False,35.2042,-80.8444,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony']",6.0,4.0
1004434640241073803,Fantastic Home * 6 Bedrooms * Awesome Location,475.0,475.0,,,,,,,,,,,False,35.2042,-80.8444,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony']",6.0,4.0
1004435337097148365,{Retreat Treat} UNCC Hot Tub & Campfire-Sleeps 16!,,200.0,600.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,False,35.28106,-80.74266,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', 'TV', 'Washing machine', 'Free dryer', 'Air conditioning', 'Exterior security cameras on property']",5.0,3.0
1004435337097148365,{Retreat Treat} UNCC Hot Tub & Campfire-Sleeps 16!,250.0,351.0,,,,,,,,,,,False,35.28106,-80.74266,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', 'TV', 'Washing machine', 'Free dryer', 'Air conditioning', 'Exterior security cameras on property']",5.0,3.0
1004896650906664611,Terrific Charlotte town home,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0,False,35.20562,-80.87093,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning']",2.0,3.0
1004896650906664611,Terrific Charlotte town home,171.0,165.0,232.0,219.0,,,,,,,,,False,35.20562,-80.87093,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning']",2.0,3.0
1004998945900309570,{The Escape} Amazing Pool and Billiards,,,,200.0,650.0,250.0,350.0,350.0,450.0,450.0,450.0,550.0,False,35.09172,-80.81419,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 6 spaces', 'Private outdoor pool - available seasonally, open 24 hours, heated, pool cover', 'Pets allowed', 'TV', 'Washer', 'Free dryer', 'Exterior security cameras on property']",5.0,3.5
1004998945900309570,{The Escape} Amazing Pool and Billiards,550.0,550.0,550.0,668.0,,,250.0,325.0,325.0,355.0,325.0,325.0,False,35.09172,-80.81419,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 6 spaces', 'Private outdoor pool - available seasonally, open 24 hours, heated, pool cover', 'Pets allowed', 'TV', 'Washer', 'Free dryer', 'Exterior security cameras on property']",5.0,3.5
1005246309123033881,{The Luxe} Heated Pool | Elegant Uptown,325.0,325.0,325.0,325.0,,200.0,250.0,275.0,275.0,275.0,275.0,275.0,False,35.2264,-80.81816,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool - available all year', 'Private hot tub', 'Pets allowed', 'TV', 'Washer', 'Exterior security cameras on property']",3.0,2.5
1005261131730210520,{Sport Villa} Uptown Near Stadium & Ballpark,275.0,275.0,275.0,275.0,,,,,,,,,False,35.23368,-80.85426,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'Pets allowed', 'TV', 'Washer', 'Free dryer', 'Exterior security cameras on property']",5.0,2.0
1005664717717024113,Perfect Getaway Prime Location w/Game Room & HoTub,,,,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,340.0,False,35.2058,-80.901,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",5.0,2.5
1005664717717024113,Perfect Getaway Prime Location w/Game Room & HoTub,340.0,340.0,340.0,333.0,259.0,179.0,,69.0,69.0,69.0,75.0,75.0,False,35.2058,-80.901,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",5.0,2.5
1005749145256960166,Cozy Studio in Charlotte/Pineville!,75.0,75.0,75.0,75.0,75.0,75.0,,95.0,95.0,75.0,95.0,95.0,False,35.08616,-80.8637,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",0.0,1.0
