ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000599423884657647,Tranquil 2BR/2BTH w/ Pool View | Downtown | Free V,,,,,,,,,,,22.0,22.0,74,False,32.7777,-96.796,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,2.0
1000599423884657647,Tranquil 2BR/2BTH w/ Pool View | Downtown | Free V,27.0,25.0,25.0,28.0,23.0,14.0,18.0,20.0,17.0,17.0,30.0,0.0,88,False,32.7777,-96.796,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,2.0
1002198983494026433,Lux 2 Bed/bath in Addison Circle,,,,,,,,,,26.0,18.0,0.0,66,False,32.9647,-96.823,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Shared pool - available all year', 'HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm']",2.0,2.0
1002198983494026433,Lux 2 Bed/bath in Addison Circle,0.0,0.0,0.0,30.0,18.0,28.0,25.0,25.0,24.0,22.0,23.0,0.0,80,False,32.9647,-96.823,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Shared pool - available all year', 'HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm']",2.0,2.0
1002230507349369125,Midnight City - Luxury City view,,,,,,,,,,,,19.0,83,False,32.78288,-96.78092,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property']",1.0,1.0
1002230507349369125,Midnight City - Luxury City view,24.0,22.0,21.0,29.0,17.0,12.0,19.0,8.0,6.0,8.0,9.0,0.0,85,False,32.78288,-96.78092,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property']",1.0,1.0
1003900307124203510,"Urban oasis Down Town Dallas, Tx",,,,,,,,,,,,,63,False,,,,,1.0,1.0
1003900307124203510,"Urban oasis Down Town Dallas, Tx",,,,,,27.0,22.0,7.0,11.0,15.0,0.0,0.0,77,False,,,,,1.0,1.0
1004208189939829919,New Build 3 BR Dallas Home w Sunset Views Rooftop!,,,,,,,,,,,,0.0,78,False,32.79246,-96.85039,False,"['Kitchen', 'Fast wifi – 365 Mbps', 'Dedicated workspace', 'Free residential garage on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Carbon monoxide alarm']",3.0,2.5
1004208189939829919,New Build 3 BR Dallas Home w Sunset Views Rooftop!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,20.0,3.0,70,False,32.79246,-96.85039,False,"['Kitchen', 'Fast wifi – 365 Mbps', 'Dedicated workspace', 'Free residential garage on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Carbon monoxide alarm']",3.0,2.5
1004453783125758765,"Comfy Studio w Kitchen, Great Location",,,,,,,,,,0.0,24.0,28.0,83,False,,,,,0.0,1.0
