ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000599423884657647,Tranquil 2BR/2BTH w/ Pool View | Downtown | Free V,,,,,,,,,,,418.0,395.0,False,32.7777,-96.796,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,2.0
1000599423884657647,Tranquil 2BR/2BTH w/ Pool View | Downtown | Free V,342.0,342.0,408.0,385.0,455.0,455.0,585.0,557.0,412.0,186.0,119.0,169.0,False,32.7777,-96.796,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,2.0
1002198983494026433,Lux 2 Bed/bath in Addison Circle,,,,,,,,,,140.0,140.0,140.0,False,32.9647,-96.823,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Shared pool - available all year', 'HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm']",2.0,2.0
1002198983494026433,Lux 2 Bed/bath in Addison Circle,140.0,140.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,False,32.9647,-96.823,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Shared pool - available all year', 'HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm']",2.0,2.0
1002230507349369125,Midnight City - Luxury City view,,,,,,,,,,,,180.0,False,32.78288,-96.78092,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property']",1.0,1.0
1002230507349369125,Midnight City - Luxury City view,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,175.0,186.0,181.0,False,32.78288,-96.78092,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'Washer', 'Exterior security cameras on property']",1.0,1.0
1003900307124203510,"Urban oasis Down Town Dallas, Tx",,,,,,,,,,,,,False,,,,,1.0,1.0
1003900307124203510,"Urban oasis Down Town Dallas, Tx",,,,,,130.0,130.0,130.0,130.0,141.0,145.0,120.0,False,,,,,1.0,1.0
1004208189939829919,New Build 3 BR Dallas Home w Sunset Views Rooftop!,,,,,,,,,,,,2000.0,False,32.79246,-96.85039,False,"['Kitchen', 'Fast wifi – 365 Mbps', 'Dedicated workspace', 'Free residential garage on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Carbon monoxide alarm']",3.0,2.5
1004208189939829919,New Build 3 BR Dallas Home w Sunset Views Rooftop!,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,245.0,213.0,274.0,False,32.79246,-96.85039,False,"['Kitchen', 'Fast wifi – 365 Mbps', 'Dedicated workspace', 'Free residential garage on premises – 2 spaces', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Carbon monoxide alarm']",3.0,2.5
1004453783125758765,"Comfy Studio w Kitchen, Great Location",,,,,,,,,,69.0,69.0,69.0,False,,,,,0.0,1.0
1004453783125758765,"Comfy Studio w Kitchen, Great Location",69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,,False,,,,,0.0,1.0
1004520887589733957,Walk>Bishop Arts | Travel Workers | Full Studio MC,,,,,,,,,,,99.0,99.0,False,,,,,0.0,1.0
