ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000169330006296322,Beautiful RV @ CasaLuna,,,,,1.0,14.0,14.0,30.0,17.0,10.0,12.0,4.0,83,False,26.0937,-80.18778,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV', 'Air conditioning', 'Patio or balcony', 'Garden', 'Exterior security cameras on property']",1.0,1.0
1000671888240230114,Beach Nearby ~ Saltwater Pool ~ Open Floor Plan,,,13.0,22.0,22.0,30.0,0.0,0.0,0.0,31.0,0.0,28.0,90,False,26.14537,-80.12438,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Pets allowed', 'TV', 'Washing machine', 'Dryer']",3.0,2.0
1000671888240230114,Beach Nearby ~ Saltwater Pool ~ Open Floor Plan,25.0,,,,,9.0,30.0,24.0,30.0,27.0,25.0,5.0,64,False,26.14537,-80.12438,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Pets allowed', 'TV', 'Washing machine', 'Dryer']",3.0,2.0
1000780945994974039,Updated 2B/2B Condo PompanoBeach,9.0,,,16.0,0.0,8.0,19.0,23.0,23.0,11.0,8.0,12.0,90,False,,,,,2.0,2.0
1000927144765702737,Casa di Ola,15.0,,,19.0,21.0,10.0,31.0,27.0,30.0,24.0,25.0,29.0,70,False,26.10911,-80.14827,False,"['Canal view', 'Garden view', 'Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Exterior security cameras on property']",2.0,2.0
1000974062360767397,"Waterfront Haven: Heated Pool, Tiki Bar,  Beach 1m",29.0,,,,,23.0,0.0,0.0,30.0,28.0,28.0,29.0,90,False,26.2262,-80.114,True,"['Canal view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 4 spaces', 'Private outdoor pool - available all year, open 24 hours, heated, pool toys', 'Pets allowed', '65 inch HDTV with Netflix', 'Exterior security cameras on property']",2.0,2.0
1001327257208522145,"Pelican Pt - Waterfront w/View, Pool & Boat Rental",26.0,,,0.0,0.0,15.0,7.0,0.0,0.0,0.0,28.0,26.0,86,False,26.2181,-80.1097,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Free parking garage on premises', 'Private pool - available all year, open 24 hours', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,2.0
1001383508236264437,"Spacious New unit: Private Park,  High-Speed Wi-Fi",18.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,False,26.1418,-80.1291,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",1.0,1.0
1001391201048499710,Luxe NEW Modern Home with Pool,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,False,26.1417,-80.1286,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Washing machine', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",5.0,1.0
1001443738584496080,Luxe NEW Modern Home Heated Pool,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,73,False,26.1418,-80.1289,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",4.0,3.0
