ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000007039871788955,"King Bed| Dowtown Montrose, Houston",,,,,,,,,71.0,71.0,71.0,71.0,False,,,,,1.0,1.0
1000007039871788955,"King Bed| Dowtown Montrose, Houston",71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,99.0,110.0,116.0,False,,,,,1.0,1.0
1000125635048037323,E2- Private 1BR King Suite,,,,,,,,,48.0,70.0,87.0,74.0,False,29.74124,-95.38428,False,"['Kitchen', 'Fast wifi – 118 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
1000125635048037323,E2- Private 1BR King Suite,74.0,74.0,74.0,74.0,11.0,11.0,11.0,11.0,11.0,91.0,87.0,87.0,False,29.74124,-95.38428,False,"['Kitchen', 'Fast wifi – 118 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
1000628116704902808,Energy Corridor,,,,,,,,,64.0,10.0,10.0,10.0,False,,,,,1.0,1.0
1000628116704902808,Energy Corridor,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,109.0,77.0,77.0,False,,,,,1.0,1.0
1000653996701457165,Amundsen Spacious Home Downtown/Heights,,,,,,,,,178.0,185.0,185.0,185.0,False,29.80093,-95.37119,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1000653996701457165,Amundsen Spacious Home Downtown/Heights,185.0,185.0,185.0,185.0,185.0,185.0,185.0,226.0,226.0,289.0,171.0,225.0,False,29.80093,-95.37119,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1000664342682398595,BayouBungalow2 - 1BD/1BA/Adorable/Extended Stay,,,,,,,,,70.0,70.0,70.0,70.0,False,29.78075,-95.34492,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 1 space', 'Pets allowed', '55 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1000664342682398595,BayouBungalow2 - 1BD/1BA/Adorable/Extended Stay,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,134.0,82.0,76.0,False,29.78075,-95.34492,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 1 space', 'Pets allowed', '55 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1000682737275172478,Cozy International District Home,,,,,,,,,,125.0,125.0,125.0,False,29.69954,-95.60417,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'TV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,2.0
1000682737275172478,Cozy International District Home,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,156.0,160.0,970.0,False,29.69954,-95.60417,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'TV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,2.0
1001036883396085606,Chic modern suburban retreat.,,,,,,,,,,,,,False,29.59419,-95.46147,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 4 spaces', 'TV', 'Washer', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",3.0,3.0
1001036883396085606,Chic modern suburban retreat.,,165.0,165.0,165.0,165.0,165.0,165.0,165.0,165.0,168.0,190.0,163.0,False,29.59419,-95.46147,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 4 spaces', 'TV', 'Washer', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",3.0,3.0
1001410057023058837,Elegant Houston Home w/ Gazebo & Game Room!,,,,,,,,,995.0,995.0,825.0,1094.0,False,29.64438,-95.5207,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",7.0,5.5
1001410057023058837,Elegant Houston Home w/ Gazebo & Game Room!,1094.0,1113.0,1113.0,997.0,940.0,838.0,767.0,771.0,828.0,760.0,782.0,744.0,False,29.64438,-95.5207,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",7.0,5.5
1001445037426730984,Spacious & Relaxing 3BR in HTX,,,,,,,,,,148.0,148.0,152.0,False,29.80838,-95.28731,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'HDTV with Fire TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.5
1001445037426730984,Spacious & Relaxing 3BR in HTX,152.0,171.0,177.0,180.0,180.0,175.0,170.0,170.0,170.0,147.0,139.0,131.0,False,29.80838,-95.28731,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'HDTV with Fire TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.5
1001786588487942338,Tangerine Dream Retreat: Downtown Houston,,,,,,,,,,,135.0,135.0,False,,,,,1.0,1.0
1001786588487942338,Tangerine Dream Retreat: Downtown Houston,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,144.0,155.0,155.0,False,,,,,1.0,1.0
1002183167516282291,House in Little Saigon Bellaire,,,,,,,,,,,198.0,198.0,False,29.7,-95.5778,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 2 spaces', '60 inch HDTV', 'Free washer – In building', 'Free dryer', 'Central air conditioning', 'Backyard - Fully fenced', 'Indoor fireplace', 'Exterior security cameras on property']",4.0,2.0
1002183167516282291,House in Little Saigon Bellaire,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,137.0,126.0,132.0,False,29.7,-95.5778,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 2 spaces', '60 inch HDTV', 'Free washer – In building', 'Free dryer', 'Central air conditioning', 'Backyard - Fully fenced', 'Indoor fireplace', 'Exterior security cameras on property']",4.0,2.0
1002249916599519615,"Galleria, Downtown, MED Center | Blue Dream Oasis",,,,,,,,,99.0,195.0,195.0,195.0,False,29.65424,-95.3487,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub']",3.0,2.0
1002249916599519615,"Galleria, Downtown, MED Center | Blue Dream Oasis",195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,195.0,257.0,264.0,4751.0,False,29.65424,-95.3487,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub']",3.0,2.0
1002389868021603856,Cozy Condo near NRG/Med Center,,,,,,,,,,,110.0,110.0,False,29.6895,-95.3922,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub']",2.0,1.0
1002389868021603856,Cozy Condo near NRG/Med Center,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,101.0,189.0,109.0,False,29.6895,-95.3922,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub']",2.0,1.0
1002766512543295624,Cozy Unit Medical Center/NRG,,,,,,,,,,90.0,90.0,90.0,False,,,,,1.0,1.0
1002766512543295624,Cozy Unit Medical Center/NRG,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,,False,,,,,1.0,1.0
1002770910692149300,The Midtown Haven/Great Location,,,,,,,,,,,153.0,172.0,False,,,,,1.0,1.0
1002770910692149300,The Midtown Haven/Great Location,157.0,157.0,157.0,157.0,128.0,128.0,128.0,128.0,128.0,120.0,115.0,115.0,False,,,,,1.0,1.0
1003328823509370147,"Houston's Hottest Highrise w/ Pool, Gym & Views",,,,,,,,,,,275.0,275.0,False,29.741,-95.3782,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Pool', 'TV', 'Elevator', 'EV charger', 'Washer', 'Exterior security cameras on property']",2.0,2.5
1003328823509370147,"Houston's Hottest Highrise w/ Pool, Gym & Views",275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,282.0,285.0,281.0,False,29.741,-95.3782,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Pool', 'TV', 'Elevator', 'EV charger', 'Washer', 'Exterior security cameras on property']",2.0,2.5
1003710472230589400,Luxury 1 bedroom Galleria!,,,,,,,,,,,75.0,75.0,False,,,,,1.0,1.0
1003710472230589400,Luxury 1 bedroom Galleria!,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,76.0,78.0,74.0,False,,,,,1.0,1.0
1003944911304758074,Energy Corridor/Katy/Sugar Land,,,,,,,,,,,305.0,305.0,False,29.67317,-95.59749,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Free dryer – In unit', 'Air conditioning', 'Private back garden – Fully fenced', 'Indoor fireplace', 'Carbon monoxide alarm']",5.0,3.0
1003944911304758074,Energy Corridor/Katy/Sugar Land,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,290.0,285.0,1626.0,False,29.67317,-95.59749,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washing machine', 'Free dryer – In unit', 'Air conditioning', 'Private back garden – Fully fenced', 'Indoor fireplace', 'Carbon monoxide alarm']",5.0,3.0
1004352893427812783,cozy 3 bedroom 1 1/2 bath house,,,,,,,,,,,180.0,180.0,False,,,,,3.0,1.5
1004352893427812783,cozy 3 bedroom 1 1/2 bath house,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,195.0,202.0,181.0,False,,,,,3.0,1.5
