ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000083976356541078,"Musician’s Manor - No Fees! - Downtown, Speedway",,,,,,,,,12.0,19.0,18.0,27.0,81,False,39.82509,-86.21503,True,"['Kitchen', 'Fast wifi – 543 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,1.5
1000083976356541078,"Musician’s Manor - No Fees! - Downtown, Speedway",29.0,27.0,26.0,31.0,23.0,23.0,30.0,23.0,17.0,20.0,9.0,4.0,64,False,39.82509,-86.21503,True,"['Kitchen', 'Fast wifi – 543 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,1.5
1000135481388474101,Charming Studio Apt near Broad Ripple,,,,,,,,,8.0,21.0,29.0,31.0,70,False,39.86721,-86.1115,True,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",0.0,1.0
1000135481388474101,Charming Studio Apt near Broad Ripple,29.0,26.0,19.0,31.0,21.0,19.0,19.0,20.0,14.0,15.0,11.0,0.0,76,False,39.86721,-86.1115,True,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",0.0,1.0
1000624302330359501,The Orange Heart!,,,,,,,,,,,0.0,5.0,72,False,39.78713,-86.18009,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bath', 'Exterior security cameras on property']",2.0,2.0
1000624302330359501,The Orange Heart!,12.0,10.0,6.0,8.0,11.0,17.0,10.0,0.0,0.0,24.0,28.0,0.0,75,False,39.78713,-86.18009,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bath', 'Exterior security cameras on property']",2.0,2.0
1000653339842643337,Gateway to Indy: Modern 1 BR,,,,,,,,,10.0,0.0,0.0,0.0,61,False,39.7716,-86.1294,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Carbon monoxide alarm']",1.0,1.0
1000653339842643337,Gateway to Indy: Modern 1 BR,0.0,0.0,0.0,11.0,0.0,27.0,12.0,8.0,3.0,29.0,0.0,24.0,31,False,39.7716,-86.1294,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Carbon monoxide alarm']",1.0,1.0
1001104369725947216,"Tall, Dark and Handsome 2BR in historic Irvington",,,,,,,,,,25.0,14.0,29.0,75,False,39.76185,-86.07131,False,"['Kitchen', 'Fast wifi – 611 Mbps', 'Dedicated workspace', 'Free street parking', 'Pets allowed', '65 inch HDTV with Amazon Prime Video, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,1.0
1001104369725947216,"Tall, Dark and Handsome 2BR in historic Irvington",27.0,31.0,30.0,28.0,20.0,27.0,14.0,28.0,15.0,19.0,20.0,0.0,67,False,39.76185,-86.07131,False,"['Kitchen', 'Fast wifi – 611 Mbps', 'Dedicated workspace', 'Free street parking', 'Pets allowed', '65 inch HDTV with Amazon Prime Video, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,1.0
