ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000083976356541078,"Musician’s Manor - No Fees! - Downtown, Speedway",,,,,,,,,149.0,149.0,149.0,149.0,False,39.82509,-86.21503,True,"['Kitchen', 'Fast wifi – 543 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,1.5
1000083976356541078,"Musician’s Manor - No Fees! - Downtown, Speedway",161.0,161.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,144.0,158.0,172.0,False,39.82509,-86.21503,True,"['Kitchen', 'Fast wifi – 543 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,1.5
1000135481388474101,Charming Studio Apt near Broad Ripple,,,,,,,,,55.0,55.0,65.0,65.0,False,39.86721,-86.1115,True,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",0.0,1.0
1000135481388474101,Charming Studio Apt near Broad Ripple,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,78.0,81.0,77.0,False,39.86721,-86.1115,True,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Patio or balcony', 'Exterior security cameras on property']",0.0,1.0
1000624302330359501,The Orange Heart!,,,,,,,,,,,125.0,175.0,False,39.78713,-86.18009,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bath', 'Exterior security cameras on property']",2.0,2.0
1000624302330359501,The Orange Heart!,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,175.0,225.0,266.0,1541.0,False,39.78713,-86.18009,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bath', 'Exterior security cameras on property']",2.0,2.0
1000653339842643337,Gateway to Indy: Modern 1 BR,,,,,,,,,99.0,99.0,99.0,99.0,False,39.7716,-86.1294,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Carbon monoxide alarm']",1.0,1.0
1000653339842643337,Gateway to Indy: Modern 1 BR,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,87.0,False,39.7716,-86.1294,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Carbon monoxide alarm']",1.0,1.0
1001104369725947216,"Tall, Dark and Handsome 2BR in historic Irvington",,,,,,,,,,91.0,91.0,91.0,False,39.76185,-86.07131,False,"['Kitchen', 'Fast wifi – 611 Mbps', 'Dedicated workspace', 'Free street parking', 'Pets allowed', '65 inch HDTV with Amazon Prime Video, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,1.0
1001104369725947216,"Tall, Dark and Handsome 2BR in historic Irvington",91.0,91.0,91.0,91.0,91.0,90.0,90.0,90.0,90.0,102.0,116.0,97.0,False,39.76185,-86.07131,False,"['Kitchen', 'Fast wifi – 611 Mbps', 'Dedicated workspace', 'Free street parking', 'Pets allowed', '65 inch HDTV with Amazon Prime Video, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,1.0
