ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000293267964661025,Cozy Private Studio / Couple Trip Apto / Mini Golf,,,15.0,22.0,16.0,22.0,27.0,30.0,16.0,26.0,26.0,16.0,94,False,30.26197,-81.75881,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '42-inch HDTV with Apple TV, Hulu, Netflix, Roku', 'AC – split-type ductless system', 'Private patio or balcony', 'Hair dryer', 'Fridge', 'Exterior security cameras on property']",1.0,1.0
1000390657468170998,SERENITy  BY NATURe AIRBNb JAX,,,11.0,29.0,18.0,28.0,29.0,29.0,0.0,31.0,0.0,0.0,67,False,,,,,4.0,2.0
1001307645262394091,Jaguar Pride W/ Style | Lux Apt,,,5.0,9.0,9.0,11.0,19.0,23.0,14.0,15.0,24.0,20.0,75,False,30.31219,-81.6549,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
1001307645262394091,Jaguar Pride W/ Style | Lux Apt,7.0,,,,18.0,10.0,0.0,18.0,29.0,28.0,21.0,0.0,68,False,30.31219,-81.6549,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
1002165890438077758,Comfy cozy in trendy Riverside!,30.0,3.0,,,,17.0,19.0,23.0,22.0,31.0,26.0,27.0,41,False,30.31669,-81.69611,True,"['Kitchen', 'Fast wifi – 722 Mbps', 'Dedicated workspace', 'Free parking on premises', 'HDTV', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",2.0,1.0
1003565904704187160,Pelican Bay | Team Joseph Ellen,30.0,24.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,False,,,,,,
1003573254194397491,~Bakery Buyout_Sleeps 18_Krispy Kreme~,0.0,0.0,0.0,,,,,6.0,3.0,11.0,18.0,8.0,32,False,,,,,,
1003831386376422943,Home Away From Home,0.0,3.0,16.0,,,,26.0,19.0,29.0,29.0,30.0,28.0,35,False,,,,,3.0,2.0
1004271685482293782,"Grand Retreat w/Pool, Gym, Tennis Court, King Bed",30.0,29.0,22.0,,,,19.0,7.0,28.0,10.0,30.0,0.0,72,False,30.13249,-81.52697,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 2 spaces', 'Shared outdoor pool - available all year, open specific hours, lap pool', '70 inch HDTV with Disney+, Hulu, Netflix', 'EV charger', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",1.0,1.5
1004452089171599974,~Roomy 5/2 in Orange Park,31.0,19.0,12.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,False,30.17427,-81.73588,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55-inch HDTV', 'Washing machine', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",5.0,2.0
