ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000293267964661025,Cozy Private Studio / Couple Trip Apto / Mini Golf,,,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,False,30.26197,-81.75881,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '42-inch HDTV with Apple TV, Hulu, Netflix, Roku', 'AC – split-type ductless system', 'Private patio or balcony', 'Hair dryer', 'Fridge', 'Exterior security cameras on property']",1.0,1.0
1000390657468170998,SERENITy  BY NATURe AIRBNb JAX,,,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,109.0,False,,,,,4.0,2.0
1001307645262394091,Jaguar Pride W/ Style | Lux Apt,,,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,130.0,False,30.31219,-81.6549,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
1001307645262394091,Jaguar Pride W/ Style | Lux Apt,130.0,,,,108.0,108.0,104.0,104.0,104.0,104.0,104.0,104.0,False,30.31219,-81.6549,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
1002165890438077758,Comfy cozy in trendy Riverside!,104.0,104.0,,,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,False,30.31669,-81.69611,True,"['Kitchen', 'Fast wifi – 722 Mbps', 'Dedicated workspace', 'Free parking on premises', 'HDTV', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",2.0,1.0
1003565904704187160,Pelican Bay | Team Joseph Ellen,300.0,300.0,,,,1227.0,1227.0,1227.0,1227.0,1227.0,1227.0,1227.0,False,,,,,,
1003573254194397491,~Bakery Buyout_Sleeps 18_Krispy Kreme~,1227.0,1227.0,1227.0,,,,,124.0,124.0,124.0,124.0,124.0,False,,,,,,
1003831386376422943,Home Away From Home,124.0,124.0,124.0,,,,103.0,103.0,103.0,110.0,110.0,110.0,False,,,,,3.0,2.0
1004271685482293782,"Grand Retreat w/Pool, Gym, Tennis Court, King Bed",110.0,103.0,103.0,,,,203.0,203.0,203.0,203.0,203.0,203.0,False,30.13249,-81.52697,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 2 spaces', 'Shared outdoor pool - available all year, open specific hours, lap pool', '70 inch HDTV with Disney+, Hulu, Netflix', 'EV charger', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",1.0,1.5
1004452089171599974,~Roomy 5/2 in Orange Park,203.0,203.0,203.0,,,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,False,30.17427,-81.73588,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55-inch HDTV', 'Washing machine', 'Free dryer – In unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",5.0,2.0
