ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
10000216,5 Bdrm House Close to Brickell/Dntown Free Parking,0.0,0.0,29.0,15.0,17.0,20.0,29.0,26.0,10.0,7.0,3.0,0.0,69,False,25.7651,-80.21537,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '40 inch TV with Hulu, Netflix', 'Paid washer – In building', 'Paid dryer – In building', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",5.0,2.0
1000035392487669934,1 Bedroom Apartment Downtown Miami,,,,,,20.0,22.0,28.0,22.0,10.0,15.0,21.0,58,False,,,,,1.0,1.0
10000625,2/1 Cottage Close Drive to Downtown and Beaches!,22.0,0.0,25.0,23.0,17.0,6.0,27.0,29.0,15.0,7.0,25.0,16.0,64,False,25.76648,-80.21658,False,"['Kitchen', 'Wifi', 'Free street parking', '50 inch TV with standard cable', 'Paid washer – In building', 'Paid dryer – In building', 'Window AC unit', 'Hair dryer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,1.0
10000625,2/1 Cottage Close Drive to Downtown and Beaches!,0.0,0.0,,,25.0,6.0,0.0,7.0,0.0,0.0,20.0,15.0,80,False,25.76648,-80.21658,False,"['Kitchen', 'Wifi', 'Free street parking', '50 inch TV with standard cable', 'Paid washer – In building', 'Paid dryer – In building', 'Window AC unit', 'Hair dryer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,1.0
1000107773002566064,Departamento en Miami Design,23.0,28.0,29.0,17.0,,,21.0,8.0,17.0,16.0,30.0,30.0,73,False,25.81274678175677,-80.19004754504341,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'EV charger', 'Washer', 'Free dryer – In unit']",1.0,1.0
1000442367039781197,Fall in love with Brickell - Your Miami home,30.0,24.0,25.0,29.0,26.0,0.0,,,,,,6.0,77,False,25.7618,-80.1899,False,"['Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours, rooftop', 'Hot tub - available all year, open specific hours', '75 inch HDTV with Netflix, standard cable', 'Elevator', 'Carbon monoxide alarm']",3.0,2.0
1000977832080479622,Wynwood Escape,29.0,29.0,23.0,16.0,14.0,3.0,19.0,3.0,,,27.0,27.0,86,False,25.8202,-80.2095,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Private backyard – Fully fenced', 'Indoor fireplace']",3.0,2.0
1001488952498661342,Stunning views - Icon Brickell,8.0,16.0,30.0,30.0,30.0,28.0,30.0,27.0,22.0,18.0,,,61,False,25.76953,-80.18884,True,"['Kitchen', 'Wifi', 'Pool', 'Hot tub', 'TV', 'Elevator', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",2.0,2.0
1002018124383165141,City Vibes | Ocean View,,,16.0,8.0,29.0,30.0,20.0,30.0,28.0,18.0,,,67,False,25.7913,-80.1862,False,"['Kitchen', 'Fast wifi – 697 Mbps', 'Dedicated workspace', 'Shared outdoor pool - available all year, open specific hours, heated, olympic-sized, pool cover', 'Shared hot tub - open specific hours', 'TV', 'Elevator', 'EV charger - level 2', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.5
1002314574638452897,Coconut Grove Mid-Century Jungle Oasis,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,47,False,25.7137,-80.2602,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit']",2.0,1.5
