ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
10000216,5 Bdrm House Close to Brickell/Dntown Free Parking,349.0,499.0,399.0,399.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,False,25.7651,-80.21537,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '40 inch TV with Hulu, Netflix', 'Paid washer – In building', 'Paid dryer – In building', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",5.0,2.0
1000035392487669934,1 Bedroom Apartment Downtown Miami,,,,,,200.0,200.0,200.0,200.0,200.0,200.0,200.0,False,,,,,1.0,1.0
10000625,2/1 Cottage Close Drive to Downtown and Beaches!,99.0,125.0,100.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,False,25.76648,-80.21658,False,"['Kitchen', 'Wifi', 'Free street parking', '50 inch TV with standard cable', 'Paid washer – In building', 'Paid dryer – In building', 'Window AC unit', 'Hair dryer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,1.0
10000625,2/1 Cottage Close Drive to Downtown and Beaches!,122.0,122.0,,,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,False,25.76648,-80.21658,False,"['Kitchen', 'Wifi', 'Free street parking', '50 inch TV with standard cable', 'Paid washer – In building', 'Paid dryer – In building', 'Window AC unit', 'Hair dryer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,1.0
1000107773002566064,Departamento en Miami Design,180.0,180.0,180.0,180.0,,,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,False,25.81274678175677,-80.19004754504341,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV', 'Elevator', 'EV charger', 'Washer', 'Free dryer – In unit']",1.0,1.0
1000442367039781197,Fall in love with Brickell - Your Miami home,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,,,,,,292.0,False,25.7618,-80.1899,False,"['Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours, rooftop', 'Hot tub - available all year, open specific hours', '75 inch HDTV with Netflix, standard cable', 'Elevator', 'Carbon monoxide alarm']",3.0,2.0
1000977832080479622,Wynwood Escape,292.0,292.0,292.0,292.0,292.0,292.0,292.0,292.0,,,500.0,500.0,False,25.8202,-80.2095,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In building', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Private backyard – Fully fenced', 'Indoor fireplace']",3.0,2.0
1001488952498661342,Stunning views - Icon Brickell,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,,False,25.76953,-80.18884,True,"['Kitchen', 'Wifi', 'Pool', 'Hot tub', 'TV', 'Elevator', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",2.0,2.0
1002018124383165141,City Vibes | Ocean View,,,195.0,195.0,195.0,193.0,193.0,193.0,193.0,193.0,,,False,25.7913,-80.1862,False,"['Kitchen', 'Fast wifi – 697 Mbps', 'Dedicated workspace', 'Shared outdoor pool - available all year, open specific hours, heated, olympic-sized, pool cover', 'Shared hot tub - open specific hours', 'TV', 'Elevator', 'EV charger - level 2', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.5
1002314574638452897,Coconut Grove Mid-Century Jungle Oasis,,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,False,25.7137,-80.2602,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit']",2.0,1.5
1002419536819407855,Wynwood Modern Condo + Workspace,,,100.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,,,False,25.8016,-80.1961,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Shared outdoor pool - available all year, open 24 hours, infinity, rooftop', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Shared patio or balcony']",1.0,1.0
1002966936021092288,"Luxe Miami Villa: Pool, Hot Tub, 10 min to S Beach",,,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,1950.0,False,25.81356740633109,-80.1970799856009,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated, saltwater', 'Private hot tub', 'Pets allowed', 'TV', 'EV charger - level 2, tesla only', 'Exterior security cameras on property']",5.0,3.5
1003053253643513246,Chic 1BR in the heart of Wynwood,,,,,,130.0,130.0,130.0,130.0,130.0,130.0,130.0,False,,,,,1.0,1.0
1003738271385095119,"Brickell apt: Rooftop pool, city views, modern",,,,,,196.0,196.0,196.0,196.0,196.0,196.0,196.0,False,25.7656,-80.1982,True,"['Wifi', 'Pool', 'Pets allowed', 'TV', 'Elevator', 'Air conditioning', 'Bathtub', 'Hair dryer', 'Microwave', 'Exterior security cameras on property']",1.0,1.0
1003738271385095119,"Brickell apt: Rooftop pool, city views, modern",196.0,196.0,,,,,349.0,349.0,349.0,349.0,349.0,349.0,False,25.7656,-80.1982,True,"['Wifi', 'Pool', 'Pets allowed', 'TV', 'Elevator', 'Air conditioning', 'Bathtub', 'Hair dryer', 'Microwave', 'Exterior security cameras on property']",1.0,1.0
1003826018713060764,Luxury 2BR Corner Apt Downtown MIA,349.0,349.0,349.0,349.0,,,,,198.0,198.0,198.0,198.0,False,25.77895713912778,-80.1900470365338,True,"['Ocean view', 'City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Pool', 'Hot tub', 'TV', 'Washer', 'Carbon monoxide alarm']",2.0,2.0
1004285868997707437,Relax Studio Residence 15 min From the Beach,198.0,198.0,112.0,99.0,99.0,99.0,,,,,105.0,105.0,False,,,,,1.0,1.0
1004339350889382871,Brickell Area Private Loft,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,,,,,False,25.76017,-80.20169,True,"['Wifi', 'Dedicated workspace', 'Free street parking', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Luggage dropoff allowed', 'Exterior security cameras on property', 'Carbon monoxide alarm']",0.0,1.0
1004369340403172059,"Brickell, W Residences, Bay&River View, Wi-Fi, SPA",243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,,140.0,False,25.7687,-80.1887,True,"['Bay view', 'City skyline view', 'Waterfront', 'Kitchen', 'Wifi', 'Pool', 'Hot tub', 'Shared sauna', 'TV with standard cable', 'Elevator']",1.0,1.0
1004371571828011893,Comfortable and great place,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,,,False,25.7618,-80.1899,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV', 'Air conditioning', 'Carbon monoxide alarm']",1.0,1.0
1004493552668858115,Paradise House w/ Pool & Yard,,,350.0,350.0,350.0,350.0,350.0,350.0,350.0,350.0,,,False,,,,,3.0,2.0
1004616595032883826,Icon 2b/2b 39th Flr Ocean Views/Free Pool Spa Gym,,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,False,25.7692,-80.1882,False,"['City skyline view', 'Ocean view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Shared outdoor pool - available all year, open specific hours, infinity, lap pool, olympic-sized, rooftop', 'Shared hot tub', 'Shared sauna', 'Pets allowed']",2.0,2.0
1005062956909222483,"estancia, playa 4",,,,,300.0,300.0,300.0,300.0,300.0,300.0,300.0,300.0,False,25.77743,-80.13482,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'TV', 'Air conditioning', 'Hair dryer', 'Refrigerator', 'Microwave', 'Paid parking off premises']",1.0,1.0
1005127124828727754,Spacious 36th FLR 1 BD 1 BT • Brickell • Bay View,,,,,,249.0,249.0,249.0,249.0,249.0,249.0,249.0,False,25.76069,-80.18951,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV', 'Lift', 'Washing machine']",1.0,1.0
1005298358846857631,396 Home,,,222.0,222.0,222.0,222.0,222.0,240.0,252.0,252.0,252.0,252.0,False,25.83776553084516,-80.22283365187094,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Private backyard – Not fully fenced']",3.0,3.0
1005361303525706416,Beach vibes 2 bedrooms house,,,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,False,25.808170760556468,-80.19741555056325,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In building', 'Free dryer – In unit', 'Central air conditioning', 'Private patio or balcony']",2.0,1.0
1005361303525706416,Beach vibes 2 bedrooms house,150.0,150.0,,,272.0,272.0,272.0,272.0,272.0,272.0,272.0,272.0,False,25.808170760556468,-80.19741555056325,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In building', 'Free dryer – In unit', 'Central air conditioning', 'Private patio or balcony']",2.0,1.0
1005401635637437805,BrickellRiver LOFT/parking & 12 min to South Beach,272.0,272.0,272.0,272.0,827.0,850.0,950.0,1101.0,1101.0,1101.0,1101.0,1101.0,False,25.76804,-80.19212,True,"['River view', 'Bay view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'Shared outdoor pool - available all year, open specific hours, infinity', 'Shared hot tub', 'Exterior security cameras on property']",1.0,1.5
10055942,Villa Colors Of South Beach.,1101.0,1101.0,1101.0,1101.0,,,,,426.0,506.0,520.0,520.0,False,25.78437,-80.14371,True,"['City skyline view', 'Courtyard view', 'Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool - available all year, open 24 hours', 'Pets allowed', 'TV with standard cable']",5.0,5.0
1005702651365735073,Stylish Miami Home: 2 Mi to Intracoastal Waterway!,520.0,603.0,603.0,493.0,524.0,518.0,,,,,105.0,110.0,False,25.8202,-80.2095,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Dryer', 'Air conditioning', 'Bathtub', 'Backyard', 'Indoor fireplace', 'Exterior security cameras on property']",3.0,2.0
1005833309368821988,Luxury  Ocean View  Apartment in downtown Miami,170.0,191.0,191.0,191.0,172.0,172.0,,,,,,135.0,False,,,,,1.0,1.0
1005895300675164937,"Lovely | 2BR, 10min Downtown.",135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,,,,,False,25.77138,-80.21365,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Hair dryer', 'Refrigerator', 'Microwave', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,1.0
1006171965970945656,Modern villa in Design District !,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,359.0,,,False,25.81494,-80.19987,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub – available all year, open 24 hours', 'Pets allowed', '55-inch HDTV with Amazon Prime Video, Hulu, Netflix, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",4.0,2.0
1006393405313703317,Tranquil Home w/Patio+Laundry+Driveway,,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,False,25.7829,-80.2357,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55 inch HDTV with Fire TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1006703779284554790,Ocean View Luxury Studio 30th Floor in Brickell,,,,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,False,25.776965600066344,-80.19085376460757,False,"['City skyline view', 'Bay view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Pool', 'Hot tub', 'Pets allowed', 'TV']",0.0,1.0
10068675,Villa Diamond in South Beach.,790.0,790.0,850.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,668.0,False,25.7855,-80.1424,True,"['City skyline view', 'Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub - available all year', 'Pets allowed', 'HDTV with standard cable', 'Free washer – In building']",5.0,4.0
1007412425701952180,"Private & Centrally located, parking, laundry",,,140.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,False,25.806313810727133,-80.19760358686031,False,"['Courtyard view', 'Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.0
1007441885091356605,"2 Guest, 5 minutes to everything in Miami",,,,,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,False,25.79072,-80.22704,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '48 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix, Roku', 'Washer', 'Free dryer – In building', 'Central air conditioning', 'Luggage dropoff allowed', 'Exterior security cameras on property']",0.0,1.0
1007441885091356605,"2 Guest, 5 minutes to everything in Miami",75.0,75.0,,,,,300.0,300.0,300.0,300.0,300.0,300.0,False,25.79072,-80.22704,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '48 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix, Roku', 'Washer', 'Free dryer – In building', 'Central air conditioning', 'Luggage dropoff allowed', 'Exterior security cameras on property']",0.0,1.0
1008112455537310863,Lovely place in Miami w/ Patio&Parking,300.0,300.0,,,,140.0,140.0,140.0,155.0,125.0,125.0,125.0,False,25.8335,-80.186,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Carbon monoxide alarm', 'Smoke alarm']",2.0,1.0
1008133371616234453,Beautiful one bedroom SOFI,125.0,125.0,,,,,57.0,57.0,57.0,57.0,57.0,57.0,False,,,,,1.0,1.0
1008160632677333645,Private cozy Studio,57.0,57.0,,,,,,220.0,220.0,220.0,220.0,220.0,False,,,,,1.0,1.0
1008167439641606033,Hot Deal*Luxury*Pool*SPA*Brickell*Miami*5*Service,220.0,220.0,220.0,220.0,,,,450.0,450.0,450.0,450.0,450.0,False,25.760688462916896,-80.19071366741903,True,"['Bay view', 'City skyline view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year, open specific hours', 'Shared sauna', '60 inch HDTV with standard cable', 'Carbon monoxide alarm']",1.0,1.0
1008242119920722179,The Grove Retreat 3Beds 3Baths. Amazing Location.,450.0,450.0,450.0,450.0,450.0,450.0,,,,,215.0,215.0,False,25.7465,-80.2226,True,"['Garden view', 'Kitchen', 'Wifi', 'Free driveway parking on premises – 4 spaces', 'Private pool - available all year, open 24 hours, heated', '65 inch TV with Fire TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,3.0
1008538599455859557,Miami Charm: Close to Wynwood,215.0,215.0,215.0,215.0,215.0,215.0,285.0,300.0,,,,,False,25.82763912235589,-80.20254579180559,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.0
1008930925671486291,Modern 1 Bedroom Apartment Brickell/Downtown Miami,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,False,25.76566,-80.20907,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1009335228115719569,Villa w/Pool in Design District,,,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,699.0,False,,,,,,
1009335228115719569,Villa w/Pool in Design District,699.0,,,,,599.0,599.0,599.0,599.0,599.0,599.0,599.0,False,,,,,,
1009489419603433961,"Hot Tub, Billiards, Sauna, Gym, PingPong 6Bed/4Ba",599.0,599.0,599.0,,,,,129.0,129.0,129.0,129.0,129.0,False,,,,,,
