ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000241132958644592,Crescent Shores 206S | Oceanfront 4 Bedroom Condo,,,,,,,,,21.0,0.0,0.0,0.0,78,False,33.8073,-78.7001,False,"['Ocean view', 'Sea view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Pool', 'Hot tub', 'TV', 'Elevator', 'Washer']",4.0,3.0
1000241132958644592,Crescent Shores 206S | Oceanfront 4 Bedroom Condo,16.0,0.0,22.0,20.0,0.0,30.0,24.0,21.0,17.0,3.0,4.0,0.0,67,False,33.8073,-78.7001,False,"['Ocean view', 'Sea view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Pool', 'Hot tub', 'TV', 'Elevator', 'Washer']",4.0,3.0
1000654422610073492,Oceanfront pet friendly home with pool and hot tub,,,,,,,,,20.0,0.0,0.0,4.0,64,False,33.8108,-78.6921,False,"['City skyline view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub', 'Pets allowed', 'Carbon monoxide alarm']",6.0,4.0
1000654422610073492,Oceanfront pet friendly home with pool and hot tub,8.0,27.0,29.0,22.0,28.0,0.0,0.0,13.0,4.0,12.0,18.0,0.0,75,False,33.8108,-78.6921,False,"['City skyline view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub', 'Pets allowed', 'Carbon monoxide alarm']",6.0,4.0
1000654444273833923,Cross street to beach pet friendly pool,,,,,,,,,20.0,0.0,8.0,3.0,63,False,33.8058,-78.7049,False,"['Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV with standard cable', 'Carbon monoxide alarm']",7.0,4.0
1000654444273833923,Cross street to beach pet friendly pool,4.0,6.0,16.0,27.0,27.0,0.0,0.0,1.0,2.0,11.0,12.0,0.0,63,False,33.8058,-78.7049,False,"['Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV with standard cable', 'Carbon monoxide alarm']",7.0,4.0
1000750309532373739,"Dog-friendly 4BR with firepit, 1/2 mile to beach",,,,,,,,,11.0,8.0,8.0,10.0,55,False,33.83607,-78.64546,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",4.0,2.0
1000750309532373739,"Dog-friendly 4BR with firepit, 1/2 mile to beach",24.0,29.0,21.0,24.0,27.0,18.0,25.0,17.0,0.0,3.0,0.0,0.0,87,False,33.83607,-78.64546,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",4.0,2.0
1001180032983035142,Snowbird Friendly Rates| Private| Renovated| Golf,,,,,,,,,,,,,75,False,33.8196,-78.7028,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', '55 inch HDTV with Roku, standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,2.0
1001180032983035142,Snowbird Friendly Rates| Private| Renovated| Golf,0.0,0.0,20.0,18.0,19.0,22.0,17.0,10.0,3.0,3.0,1.0,0.0,59,False,33.8196,-78.7028,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', '55 inch HDTV with Roku, standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,2.0
