ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000241132958644592,Crescent Shores 206S | Oceanfront 4 Bedroom Condo,,,,,,,,,235.0,226.0,251.0,187.0,False,33.8073,-78.7001,False,"['Ocean view', 'Sea view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Pool', 'Hot tub', 'TV', 'Elevator', 'Washer']",4.0,3.0
1000241132958644592,Crescent Shores 206S | Oceanfront 4 Bedroom Condo,184.0,212.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,184.0,213.0,False,33.8073,-78.7001,False,"['Ocean view', 'Sea view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Pool', 'Hot tub', 'TV', 'Elevator', 'Washer']",4.0,3.0
1000654422610073492,Oceanfront pet friendly home with pool and hot tub,,,,,,,,,721.0,721.0,721.0,430.0,False,33.8108,-78.6921,False,"['City skyline view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub', 'Pets allowed', 'Carbon monoxide alarm']",6.0,4.0
1000654422610073492,Oceanfront pet friendly home with pool and hot tub,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,430.0,505.0,432.0,478.0,False,33.8108,-78.6921,False,"['City skyline view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'Private hot tub', 'Pets allowed', 'Carbon monoxide alarm']",6.0,4.0
1000654444273833923,Cross street to beach pet friendly pool,,,,,,,,,524.0,432.0,200.0,200.0,False,33.8058,-78.7049,False,"['Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV with standard cable', 'Carbon monoxide alarm']",7.0,4.0
1000654444273833923,Cross street to beach pet friendly pool,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,387.0,376.0,480.0,False,33.8058,-78.7049,False,"['Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV with standard cable', 'Carbon monoxide alarm']",7.0,4.0
1000750309532373739,"Dog-friendly 4BR with firepit, 1/2 mile to beach",,,,,,,,,207.0,224.0,238.0,240.0,False,33.83607,-78.64546,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",4.0,2.0
1000750309532373739,"Dog-friendly 4BR with firepit, 1/2 mile to beach",238.0,160.0,192.0,191.0,215.0,215.0,225.0,211.0,209.0,213.0,211.0,207.0,False,33.83607,-78.64546,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",4.0,2.0
1001180032983035142,Snowbird Friendly Rates| Private| Renovated| Golf,,,,,,,,,,,,,False,33.8196,-78.7028,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', '55 inch HDTV with Roku, standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,2.0
1001180032983035142,Snowbird Friendly Rates| Private| Renovated| Golf,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,114.0,135.0,245.0,False,33.8196,-78.7028,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', '55 inch HDTV with Roku, standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,2.0
1001465804573745192,"Baywatch Renovated, Unobstructed Oceanfront Views!",,,,,,,,,1000.0,1000.0,1000.0,1000.0,False,33.8018,-78.7129,False,"['Ocean view', 'Resort view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Hot tub', 'Sauna', 'Carbon monoxide alarm']",2.0,2.0
1001465804573745192,"Baywatch Renovated, Unobstructed Oceanfront Views!",1000.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,60.0,69.0,62.0,False,33.8018,-78.7129,False,"['Ocean view', 'Resort view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Hot tub', 'Sauna', 'Carbon monoxide alarm']",2.0,2.0
1002154103705240702,A Friend's Place,,,,,,,,,,,,,False,33.82859,-78.64665,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'HDTV with DVD player, premium cable', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm']",3.0,2.0
1002154103705240702,A Friend's Place,,325.0,325.0,325.0,325.0,325.0,325.0,325.0,325.0,328.0,339.0,331.0,False,33.82859,-78.64665,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'HDTV with DVD player, premium cable', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Carbon monoxide alarm']",3.0,2.0
1002266797086299373,North MB Cozy 2 BD across from the beach,,,,,,,,,,,,79.0,False,33.81588,-78.67921,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 1 space', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm']",2.0,2.0
1002266797086299373,North MB Cozy 2 BD across from the beach,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,82.0,88.0,80.0,False,33.81588,-78.67921,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 1 space', 'Pets allowed', 'TV', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm']",2.0,2.0
1003758309313400129,"First-floor 2BR, Crescent Beach across the street",,,,,,,,,,,,126.0,False,33.80932,-78.69722,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",2.0,1.0
1003758309313400129,"First-floor 2BR, Crescent Beach across the street",149.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,137.0,153.0,170.0,False,33.80932,-78.69722,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",2.0,1.0
1004888500494172115,Tequila Sunrise - 2BR Oceanfront,,,,,,,,,,,129.0,129.0,False,33.8152,-78.6802,True,"['Ocean view', 'Private beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool - available all year', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Carbon monoxide alarm']",2.0,2.0
1004888500494172115,Tequila Sunrise - 2BR Oceanfront,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,166.0,84.0,81.0,False,33.8152,-78.6802,True,"['Ocean view', 'Private beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool - available all year', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Carbon monoxide alarm']",2.0,2.0
1005677203505461146,2BR dog-friendly with AC & W/D,,,,,,,,,,,164.0,164.0,False,33.82418,-78.68033,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",2.0,1.5
1005677203505461146,2BR dog-friendly with AC & W/D,172.0,156.0,138.0,130.0,131.0,130.0,132.0,135.0,132.0,102.0,127.0,125.0,False,33.82418,-78.68033,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",2.0,1.5
1006558019772477050,Coastal Beachfront Getaway Poolside and Oceanfront,,,,,,,,,,,1000.0,1000.0,False,33.7946,-78.7273,False,"['City skyline view', 'Ocean view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Pool', 'TV', 'Washer', 'Dryer', 'Carbon monoxide alarm']",2.0,2.0
1006558019772477050,Coastal Beachfront Getaway Poolside and Oceanfront,1000.0,999.0,999.0,999.0,999.0,999.0,649.0,649.0,649.0,42.0,54.0,44.0,False,33.7946,-78.7273,False,"['City skyline view', 'Ocean view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Pool', 'TV', 'Washer', 'Dryer', 'Carbon monoxide alarm']",2.0,2.0
1008928373812732549,Crescent Beach Bungalow,,,,,,,,,,,,125.0,False,33.8082,-78.7094,True,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 4 spaces', 'TV', 'Free washer – In unit', 'Dryer', 'Air conditioning', 'Refrigerator', 'Microwave']",3.0,2.0
1008928373812732549,Crescent Beach Bungalow,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,104.0,104.0,120.0,False,33.8082,-78.7094,True,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 4 spaces', 'TV', 'Free washer – In unit', 'Dryer', 'Air conditioning', 'Refrigerator', 'Microwave']",3.0,2.0
1009355352871727774,Windy Hill NMB/ King & Queen BRs/across from beach,,,,,,,,,,,159.0,159.0,False,,,,,2.0,2.0
1009355352871727774,Windy Hill NMB/ King & Queen BRs/across from beach,115.0,115.0,115.0,367.0,315.0,315.0,299.0,299.0,299.0,212.0,125.0,125.0,False,,,,,2.0,2.0
1009484434684473959,"Nittany South, 5BR -Duplex-Private Pool-Game Room",,,,,,,,,,,,367.0,False,33.79855,-78.72157,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 4 spaces', 'Outdoor pool', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property', 'Carbon monoxide alarm']",5.0,5.5
1009484434684473959,"Nittany South, 5BR -Duplex-Private Pool-Game Room",367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,367.0,331.0,317.0,228.0,False,33.79855,-78.72157,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 4 spaces', 'Outdoor pool', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property', 'Carbon monoxide alarm']",5.0,5.5
1010854225818037361,"4BR sunny home with screened porch, close to beach",,,,,,,,,,,224.0,219.0,False,33.79825,-78.72839,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Exterior security cameras on property']",1.0,0.0
