ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000062405961161698,Christmas Tree! | 1.6mi to Downtown | City View |,,,,,,,,,6.0,2.0,10.0,12.0,36,False,36.17159,-86.79816,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,4.0
1000062405961161698,Christmas Tree! | 1.6mi to Downtown | City View |,16.0,24.0,13.0,18.0,20.0,7.0,12.0,8.0,17.0,3.0,7.0,5.0,10,False,36.17159,-86.79816,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,4.0
1000816423577510417,Rooftop Fire Pit ~ Bach Parties ~ Sleeps 24!,,,,,,,,,20.0,9.0,14.0,8.0,83,False,36.1791,-86.7583,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",8.0,7.0
1000816423577510417,Rooftop Fire Pit ~ Bach Parties ~ Sleeps 24!,20.0,24.0,22.0,23.0,22.0,7.0,16.0,16.0,17.0,15.0,11.0,10.0,73,False,36.1791,-86.7583,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",8.0,7.0
1000824278792934142,Hot Tub Hideaway,,,,,,,,,,,,,45,False,36.15282,-86.63826,True,"['Kitchen', 'Fast wifi – 230 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Private hot tub - available all year', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,1.5
1000824278792934142,Hot Tub Hideaway,,26.0,25.0,31.0,30.0,18.0,30.0,29.0,29.0,24.0,26.0,17.0,81,False,36.15282,-86.63826,True,"['Kitchen', 'Fast wifi – 230 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Private hot tub - available all year', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,1.5
1001219342236634688,Boho Nashville Retreat,,,,,,,,,,,,22.0,84,False,,,,,2.0,1.0
1001219342236634688,Boho Nashville Retreat,29.0,31.0,28.0,25.0,30.0,22.0,22.0,22.0,23.0,18.0,17.0,2.0,45,False,,,,,2.0,1.0
1001345102622728580,Rooftop Cocktail Bar & Fire Pit - Perfect For Fall,,,,,,,,,19.0,6.0,9.0,13.0,51,False,36.1791,-86.7585,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property', 'Smoke alarm']",8.0,7.0
1001345102622728580,Rooftop Cocktail Bar & Fire Pit - Perfect For Fall,13.0,30.0,23.0,23.0,24.0,16.0,18.0,14.0,18.0,16.0,16.0,4.0,91,False,36.1791,-86.7585,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property', 'Smoke alarm']",8.0,7.0
1001380955936444655,5 Minute Walk to Broadway - Downtown Nashville 2BR,,,,,,,,,,,21.0,23.0,73,False,36.1549,-86.7754,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours', '55 inch HDTV with Chromecast, Disney+, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
1001380955936444655,5 Minute Walk to Broadway - Downtown Nashville 2BR,25.0,30.0,26.0,30.0,29.0,28.0,29.0,25.0,31.0,23.0,23.0,19.0,80,False,36.1549,-86.7754,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours', '55 inch HDTV with Chromecast, Disney+, Netflix', 'Elevator', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
10017234,"Nash Town House, comfy & near all!",,23.0,30.0,23.0,26.0,25.0,26.0,29.0,22.0,24.0,9.0,10.0,86,False,36.10297,-86.74284,False,"['Kitchen', 'Fast wifi – 114 Mbps', 'Dedicated workspace', 'Free parking on premises – 2 spaces', 'HDTV with Chromecast, DVD player', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
10017234,"Nash Town House, comfy & near all!",26.0,29.0,27.0,27.0,29.0,10.0,29.0,17.0,20.0,12.0,14.0,0.0,64,False,36.10297,-86.74284,False,"['Kitchen', 'Fast wifi – 114 Mbps', 'Dedicated workspace', 'Free parking on premises – 2 spaces', 'HDTV with Chromecast, DVD player', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",3.0,2.5
1002195760983737536,Winter in Nashville! Walk to DT. Cozy Firepit!,,,,,,,,,,,14.0,13.0,52,False,36.15102,-86.77765,True,"['City skyline view', 'Kitchen', 'Fast wifi – 218 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', 'Pets allowed', 'TV', 'Elevator', 'Exterior security cameras on property']",3.0,2.0
1002195760983737536,Winter in Nashville! Walk to DT. Cozy Firepit!,22.0,16.0,17.0,14.0,16.0,13.0,18.0,12.0,12.0,15.0,15.0,0.0,89,False,36.15102,-86.77765,True,"['City skyline view', 'Kitchen', 'Fast wifi – 218 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', 'Pets allowed', 'TV', 'Elevator', 'Exterior security cameras on property']",3.0,2.0
1002438862285508264,The Rustic Rockstar | Walk to Live Music | Balcony,,,,,,,,,14.0,13.0,11.0,21.0,79,False,,,,,2.0,1.0
1002438862285508264,The Rustic Rockstar | Walk to Live Music | Balcony,23.0,27.0,23.0,26.0,21.0,14.0,21.0,15.0,22.0,11.0,13.0,31.0,79,False,,,,,2.0,1.0
1002470791341908180,Winter Deals - Lux TH + Rooftop + 1mi Downtown,,,,,,,,,,14.0,16.0,14.0,85,False,36.1727,-86.7976,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Refrigerator', 'Microwave']",4.0,4.0
