ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1000104577183241810,Private Studio Home across GCU W/ Kitchen,,,,,,,,,55.0,55.0,55.0,0.0,False,33.5077,-112.1282,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'HDTV', 'Air conditioning', 'Refrigerator', 'Microwave', 'Smoking allowed', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1000104577183241810,Private Studio Home across GCU W/ Kitchen,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,77.0,249.0,76.0,False,33.5077,-112.1282,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'HDTV', 'Air conditioning', 'Refrigerator', 'Microwave', 'Smoking allowed', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1001550524508048480,Warm Sleek Apartment +Stunning Views +Free Parking,,,,,,,,,,140.0,140.0,0.0,False,33.45929,-112.06956,False,"['City skyline view', 'Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Shared outdoor pool - available all year', 'Shared hot tub - available all year, open specific hours', 'Pets allowed', '50 inch HDTV', 'Exterior security cameras on property']",1.0,1.0
1001550524508048480,Warm Sleek Apartment +Stunning Views +Free Parking,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,161.0,160.0,156.0,False,33.45929,-112.06956,False,"['City skyline view', 'Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Shared outdoor pool - available all year', 'Shared hot tub - available all year, open specific hours', 'Pets allowed', '50 inch HDTV', 'Exterior security cameras on property']",1.0,1.0
1003765594276090721,Cozy 4bdroom house near downtown,,,,,,,,,,,169.0,0.0,False,33.37352,-112.15652,True,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 2 spaces', 'Pets allowed', '65 inch TV', 'Free washer – In building', 'Free dryer – In building', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,3.0
1003765594276090721,Cozy 4bdroom house near downtown,169.0,169.0,169.0,169.0,149.0,149.0,149.0,149.0,149.0,148.0,258.0,133.0,False,33.37352,-112.15652,True,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 2 spaces', 'Pets allowed', '65 inch TV', 'Free washer – In building', 'Free dryer – In building', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",4.0,3.0
1006479884887688319,Charming 2bd/2ba PHX|5 mins GCU,,,,,,,,,,125.0,125.0,125.0,False,,,,,2.0,2.0
1006479884887688319,Charming 2bd/2ba PHX|5 mins GCU,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,137.0,183.0,173.0,False,,,,,2.0,2.0
1007607392631136941,"Heated Pool, Basketball Court, Golf, Hot Tub!",,,,,,,,,,,9999.0,0.0,False,,,,,,
1007607392631136941,"Heated Pool, Basketball Court, Golf, Hot Tub!",9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,176.0,274.0,371.0,False,,,,,,
1011773237002200857,Private 3-BDRM home across GCU,,,,,,,,,,90.0,90.0,0.0,False,33.5087,-112.1272,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Air conditioning', 'Hair dryer', 'Refrigerator', 'Microwave']",3.0,2.0
1011773237002200857,Private 3-BDRM home across GCU,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,146.0,168.0,190.0,False,33.5087,-112.1272,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Air conditioning', 'Hair dryer', 'Refrigerator', 'Microwave']",3.0,2.0
10121500,"Central PHX, Pet-friendly, 3 Bedroom, 2 Bath House",,142.0,124.0,126.0,125.0,125.0,125.0,125.0,126.0,92.0,92.0,0.0,False,33.50509,-112.08882,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '50 inch HDTV with Amazon Prime Video, Netflix, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
10121500,"Central PHX, Pet-friendly, 3 Bedroom, 2 Bath House",92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,123.0,154.0,146.0,False,33.50509,-112.08882,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '50 inch HDTV with Amazon Prime Video, Netflix, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
1012294069367237263,Pocket Universe – Desert Oasis with Pool & Hot Tub,,,,,,,,,,,,0.0,False,,,,,3.0,2.0
1012294069367237263,Pocket Universe – Desert Oasis with Pool & Hot Tub,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,188.0,182.0,219.0,False,,,,,3.0,2.0
