ID,Name,February,March,April,May,June,July,August,September,October,November,December,January,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
1001489336781682589,"3BD Modern, Tropical Home w/Pool and Outdoor Space",,,,206.0,241.0,241.0,235.0,224.0,224.0,225.0,225.0,225.0,False,27.9896,-82.4476,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,2.0
1001495154481793689,Modern Apartment with UrbanCharm,,,,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,False,,,,,2.0,1.0
1001495154481793689,Modern Apartment with UrbanCharm,150.0,150.0,,,,,,130.0,130.0,130.0,130.0,120.0,False,,,,,2.0,1.0
1002205761379177530,Laxmi House,120.0,120.0,,,,,,166.0,166.0,166.0,166.0,166.0,False,,,,,4.0,2.0
1002306932281854118,Tampa's Oasis: Luxurious Comfort | Cozy Beds | Spa,166.0,166.0,,,,78.0,78.0,78.0,68.0,68.0,68.0,68.0,False,,,,,2.0,1.0
1002460854907425531,Tampa’ito,68.0,68.0,,,,,,,81.0,81.0,85.0,85.0,False,27.9476,-82.4328,True,"['Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Shared backyard', 'Fire pit', 'Refrigerator', 'Microwave', 'Exterior security cameras on property']",1.0,1.0
1002800732881652890,"By the River, In-Law Suite",85.0,85.0,,,,,,,,176.0,280.0,280.0,False,28.02179,-82.38386,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'AC – split-type ductless system', 'Hair dryer', 'Fridge', 'Exterior security cameras on property']",1.0,1.0
1002840070070208135,"By the River, Home with Pool",280.0,280.0,,,,51.0,51.0,51.0,51.0,51.0,51.0,51.0,False,28.02084,-82.38375,True,"['Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV', 'Washer', 'Exterior security cameras on property']",4.0,2.0
1002983400938503540,Villa Marquette,51.0,51.0,,,,,,,202.0,202.0,202.0,202.0,False,28.0207,-82.4907,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Air conditioning', 'Bath', 'Private patio or balcony', 'Private back garden – Not fully fenced', 'Exterior security cameras on property']",1.0,1.0
1003068900455469013,Green Fern Fully Fenced Backyard,202.0,202.0,,,,,,,95.0,95.0,95.0,95.0,False,,,,,4.0,2.5
1003072585610043289,Travelers Abode Large Yard Fully Fenced,95.0,95.0,,,,,,348.0,348.0,348.0,348.0,348.0,False,,,,,2.0,1.0
1003564082444946701,"Luxury 5-BR House, Tampa Downtown with Cottage",348.0,348.0,,,,,,228.0,228.0,228.0,228.0,228.0,False,27.9774,-82.4521,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",5.0,3.0
1003609390431483503,Downtown 4BR Home w Outdoor Living,228.0,228.0,,,,,,98.0,98.0,98.0,98.0,98.0,False,27.97799,-82.45115,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",4.0,2.0
1003614605735341576,Downtown 1BR Tampa Cottage for 3,98.0,98.0,,,,,108.0,108.0,108.0,108.0,108.0,108.0,False,27.97669,-82.45244,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1003629346149435198,Como en Casa,108.0,108.0,,,,,,80.0,80.0,80.0,80.0,80.0,False,27.98776,-82.42125,False,"['Courtyard view', 'Lake view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Central air conditioning', 'Private backyard – Not fully fenced', 'Hair dryer']",2.0,2.0
1004532209775626018,Charming Apartment pvt entrance.,80.0,80.0,,,,,,200.0,200.0,200.0,200.0,200.0,False,28.0173,-82.5005,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'TV', 'Central air conditioning', 'Bathtub', 'Private backyard – Fully fenced', 'Hair dryer', 'LG refrigerator']",1.0,1.0
1005076433914226388,Eclectic Retreat | Hyde Park | Ace Location,200.0,200.0,200.0,200.0,,,,,182.0,182.0,182.0,182.0,False,,,,,3.0,2.0
