Amenity,Category
"1 inch TV with Roku, standard cable",Electronics
"10 inch HDTV with Amazon Prime Video, HBO Max, Hulu, Netflix",Electronics
"100 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix",Electronics
"100 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Hulu, Netflix",Electronics
"100 inch HDTV with Amazon Prime Video, Netflix, Chromecast, HBO Max, Hulu",Electronics
"100 inch HDTV with Hulu, Amazon Prime Video, Netflix, Apple TV",Electronics
"102 inch HDTV with HBO Max, Disney+, premium cable, Amazon Prime Video, Apple TV, Netflix",Electronics
"102 inch HDTV with HBO Max, Disney+, premium cable, Amazon Prime Video, Apple TV, Netflix",Electronics
"108 inch HDTV with Amazon Prime Video, Netflix, Roku, standard cable",Electronics
"110 inch HDTV with Amazon Prime Video, Fire TV, Netflix",Electronics
110 inch HDTV with Apple TV,Electronics
"115 inch HDTV with Amazon Prime Video, Apple TV, Netflix",Electronics
120 inch HDTV,Electronics
"120 inch HDTV with Disney+, Apple TV, Netflix, premium cable, Amazon Prime Video",Electronics
120 inch HDTV with Roku,Electronics
"120 inch TV with Roku, Netflix",Electronics
120-inch HDTV with Netflix,Electronics
120-inch HDTV with Roku,Electronics
"122 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix, Roku",Electronics
13 inch TV,Electronics
"13 inch TV with Amazon Prime Video, Fire TV, Netflix",Electronics
135 inch HDTV with Amazon Prime Video,Electronics
"15 inch HDTV with Netflix, Amazon Prime Video, Hulu, HBO Max, Apple TV, Roku",Electronics
"150-inch HDTV with Amazon Prime Video, Fire TV, Netflix, cable/satellite TV",Electronics
"153 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Fire TV, HBO Max, Netflix, standard cable",Electronics
"16 inch HDTV with Netflix, standard cable",Electronics
17 inch TV,Electronics
17-inch TV,Electronics
"18 inch TV with HBO Max, Roku, DVD player",Electronics
