ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
217338,15.5,16.5,9.5,14.5,27.0,27.0,28.0,20.0,8.0,13.5,11.5,15.0,74.5,False,33.73611,-84.36043,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Refrigerator', 'Microwave']",1.0,1.0
224977,18.0,0.0,4.0,11.0,0.0,,31.0,15.0,18.0,10.0,25.0,23.5,36.0,False,33.73553,-84.35801,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",2.0,2.0
246784,22.0,11.0,0.0,11.5,13.5,3.0,7.0,16.5,16.5,14.0,11.5,14.5,25.5,False,33.7371,-84.35037,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Carbon monoxide alarm']",2.0,1.0
255967,31.0,14.5,15.0,8.5,15.5,20.0,,,30.0,27.0,27.0,26.0,48.0,False,33.8577,-84.3463,false,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with Fire TV', 'Lift', 'Washing machine', 'Dryer', 'Air conditioning', 'Private patio or balcony']",1.0,1.0
346609,26.5,23.5,13.5,7.5,17.5,21.0,15.5,2.0,28.5,23.5,8.0,27.0,57.5,False,33.86928,-84.36262,False,"['Wifi', 'Dedicated workspace', 'Free street parking', 'HDTV with standard cable', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Crib', 'Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old']",2.0,1.0
1217846,28.0,28.5,25.0,20.5,25.5,16.5,16.5,17.0,25.0,29.0,17.0,29.0,66.5,False,33.7706,-84.3322,True,"['Kitchen', 'Fast wifi – 94 Mbps', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Amazon Prime Video, Roku', 'EV charger – level 2', 'Free washer – In unit', 'Free dryer – In unit', 'AC – split-type ductless system', 'Exterior security cameras on property']",1.0,1.0
1415908,12.0,18.0,23.0,25.0,20.5,30.0,31.0,29.0,28.0,19.0,25.0,21.5,64.0,False,33.81755,-84.40998,False,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Patio or balcony', 'Backyard', 'Hair dryer', 'Refrigerator', 'Microwave']",1.0,1.0
1482746,25.0,31.0,31.0,29.5,31.0,30.0,20.0,31.0,29.0,31.0,29.5,22.0,63.5,False,,,,,2.0,1.0
1582350,27.0,22.5,24.5,30.0,31.0,30.0,26.5,31.0,30.0,22.5,29.0,29.0,57.0,False,33.76307,-84.34141,True,"['Courtyard view', 'Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'HDTV with Apple TV, Chromecast, Roku, Amazon Prime Video, Hulu, Disney+, HBO Max, Netflix', 'EV charger', 'Free washer – In building', 'Free dryer – In building', 'Exterior security cameras on property']",1.0,1.0
1659786,12.0,18.0,20.0,19.0,20.0,27.0,16.0,17.0,17.0,18.0,8.5,9.5,43.5,False,33.75246,-84.3476,True,"['Garden view', 'Kitchen', 'Fast wifi – 562 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch HDTV with Amazon Prime Video, Netflix, Roku', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
1786561,5.0,,,,5.0,25.0,24.0,29.0,24.0,3.0,14.0,23.0,66.0,False,33.75597,-84.42031,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable/satellite', 'Air conditioning', 'Bath', 'Fridge', 'Sound system', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,2.0
1796353,18.5,29.0,31.0,18.0,15.5,13.5,22.5,23.0,25.5,11.5,11.5,9.0,55.5,False,33.77254,-84.35972,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer']",4.0,3.5
1929452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,False,33.75986,-84.32126,False,"['Garden view', 'Park view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '60 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",6.0,4.5
1943931,23.0,19.0,31.0,27.0,21.5,23.0,19.0,22.5,20.0,18.0,13.5,5.5,84.0,False,33.7167,-84.4027,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '48 inch HDTV with Fire TV, HBO Max, premium cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",2.0,1.0
1994270,13.0,18.0,23.0,23.0,24.0,25.0,19.5,22.5,19.5,19.5,19.0,19.0,33.5,False,33.7292,-84.3733,True,"['Wifi', 'Free street parking', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
2037684,8.0,2.5,20.0,18.5,14.0,17.0,16.0,11.0,17.0,17.5,13.0,5.0,61.0,False,33.77732,-84.35093,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",4.0,2.5
2081565,20.0,14.0,22.5,21.0,29.5,28.0,29.0,29.0,31.0,24.5,23.5,22.5,65.0,False,33.776,-84.35301,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Smoke alarm']",1.0,1.0
2155301,17.5,23.5,1.5,4.0,25.0,27.5,26.0,12.0,16.5,26.0,20.0,14.5,59.5,False,33.75202,-84.32817,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",6.0,4.0
2203908,18.5,11.5,8.0,18.5,16.0,29.0,21.5,18.5,13.5,26.0,19.5,22.5,53.0,False,33.7626,-84.3879,True,"['Kitchen', 'Fast wifi – 512 Mbps', '65-inch HDTV', 'Lift', 'Washing machine', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Hair dryer', 'Fridge']",1.0,1.0
2722730,27.0,26.5,16.5,9.0,14.5,0.5,28.0,23.5,25.5,26.5,24.0,26.0,50.5,False,33.78229,-84.36193,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 1 space', 'Private outdoor pool – available all year, heated, pool toys', 'Private hot tub', 'TV with standard cable/satellite', 'Carbon monoxide alarm', 'Smoke alarm']",3.0,1.0
2795111,3.0,2.0,3.0,2.5,6.0,0.0,24.0,1.0,1.0,1.0,9.0,3.5,67.0,False,33.73305,-84.41777,False,"['Wifi', 'Free parking on premises', 'TV with standard cable', 'Air conditioning', 'Indoor fireplace', 'Carbon monoxide alarm']",1.0,1.0
2811122,16.0,28.5,16.0,29.5,24.0,19.0,15.5,15.5,26.0,31.0,30.0,27.0,52.0,False,33.7779,-84.35262,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Long term stays allowed']",1.0,1.0
3217443,10.0,11.0,10.5,14.0,11.0,22.0,11.0,23.0,19.0,23.0,13.0,1.0,15.0,False,33.76909,-84.3518,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, open specific hours, heated', 'Private hot tub - available all year, open specific hours', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning']",4.0,2.5
3256655,30.5,23.0,27.0,6.0,24.0,21.0,29.0,9.0,7.0,10.0,21.0,30.0,22.0,False,33.8016,-84.395,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer']",1.0,1.0
3728767,23.0,20.0,21.0,26.0,25.0,28.0,28.0,14.0,25.5,17.0,17.5,10.0,29.0,False,,,,,1.0,1.0
3961487,16.0,10.0,18.0,9.0,20.0,10.0,13.5,9.5,4.0,16.0,6.5,5.0,39.0,False,33.76185,-84.38878,False,"['Kitchen', 'Wifi', 'TV with standard cable', 'Elevator', 'Air conditioning', 'Patio or balcony', 'Hair dryer', 'Refrigerator', 'Microwave', 'Carbon monoxide alarm']",2.0,2.0
4073702,20.0,31.0,15.5,29.0,31.0,30.0,28.5,27.0,28.5,26.0,19.0,23.0,18.5,False,33.73053,-84.37719,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '30-inch HDTV with Roku, Amazon Prime Video, Netflix, Hulu, standard cable/satellite', 'Free washer – In unit', 'Central air conditioning', 'Garden', 'Indoor fireplace: electric', 'Exterior security cameras on property']",2.0,2.0
