ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
217338,259.5,223.5,219.0,222.5,250.0,250.0,250.0,250.0,259.5,262.5,259.5,263.5,False,33.73611,-84.36043,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Refrigerator', 'Microwave']",1.0,1.0
224977,212.0,350.0,296.0,266.0,263.0,,93.0,302.0,213.0,199.5,220.0,217.5,False,33.73553,-84.35801,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",2.0,2.0
246784,119.0,149.0,149.0,147.5,155.5,147.0,149.0,117.0,117.5,118.0,119.0,119.5,False,33.7371,-84.35037,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Carbon monoxide alarm']",2.0,1.0
255967,137.0,136.0,136.0,122.5,119.0,97.0,,,125.0,125.0,125.0,125.0,False,33.8577,-84.3463,false,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with Fire TV', 'Lift', 'Washing machine', 'Dryer', 'Air conditioning', 'Private patio or balcony']",1.0,1.0
346609,192.5,132.5,139.5,130.5,217.0,136.5,128.0,120.0,204.5,208.0,188.0,188.0,False,33.86928,-84.36262,False,"['Wifi', 'Dedicated workspace', 'Free street parking', 'HDTV with standard cable', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Crib', 'Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old']",2.0,1.0
1217846,125.0,127.5,120.5,126.0,125.0,130.0,122.5,122.0,125.0,125.0,125.0,125.0,False,33.7706,-84.3322,True,"['Kitchen', 'Fast wifi – 94 Mbps', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Amazon Prime Video, Roku', 'EV charger – level 2', 'Free washer – In unit', 'Free dryer – In unit', 'AC – split-type ductless system', 'Exterior security cameras on property']",1.0,1.0
1415908,284.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,389.0,283.5,False,33.81755,-84.40998,False,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'Patio or balcony', 'Backyard', 'Hair dryer', 'Refrigerator', 'Microwave']",1.0,1.0
1482746,204.5,125.0,125.0,125.0,125.0,136.0,198.5,127.5,125.0,125.0,203.0,211.0,False,,,,,2.0,1.0
1582350,115.0,120.5,121.0,118.5,123.5,120.5,122.0,115.0,120.0,122.0,125.0,115.0,False,33.76307,-84.34141,True,"['Courtyard view', 'Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'HDTV with Apple TV, Chromecast, Roku, Amazon Prime Video, Hulu, Disney+, HBO Max, Netflix', 'EV charger', 'Free washer – In building', 'Free dryer – In building', 'Exterior security cameras on property']",1.0,1.0
1659786,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,82.0,110.0,82.5,False,33.75246,-84.3476,True,"['Garden view', 'Kitchen', 'Fast wifi – 562 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch HDTV with Amazon Prime Video, Netflix, Roku', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
1786561,112.0,,,,125.0,125.0,75.0,68.0,68.0,68.0,68.0,77.0,False,33.75597,-84.42031,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable/satellite', 'Air conditioning', 'Bath', 'Fridge', 'Sound system', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,2.0
1796353,740.0,749.0,749.0,672.0,672.0,672.0,672.0,676.0,680.0,822.0,747.0,743.5,False,33.77254,-84.35972,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer']",4.0,3.5
1929452,1430.0,1450.0,1499.5,1501.0,1494.0,1501.0,1499.5,1494.0,1506.5,1494.0,1380.5,3447.0,False,33.75986,-84.32126,False,"['Garden view', 'Park view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '60 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",6.0,4.5
1943931,103.0,89.0,89.0,89.0,101.0,89.0,90.5,88.0,103.5,89.0,106.5,168.0,False,33.7167,-84.4027,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '48 inch HDTV with Fire TV, HBO Max, premium cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",2.0,1.0
1994270,89.5,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.5,92.0,False,33.7292,-84.3733,True,"['Wifi', 'Free street parking', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
2037684,675.5,527.5,600.0,721.5,733.0,731.0,733.0,714.0,766.0,739.5,699.5,639.5,False,33.77732,-84.35093,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",4.0,2.5
2081565,128.5,160.5,150.0,150.0,130.0,134.0,140.5,141.5,142.5,136.5,127.5,133.5,False,33.776,-84.35301,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Smoke alarm']",1.0,1.0
2155301,350.5,392.0,389.0,375.0,375.0,337.5,378.0,418.5,461.0,460.0,463.0,435.5,False,33.75202,-84.32817,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",6.0,4.0
2203908,112.0,139.0,129.0,140.0,142.0,142.0,115.5,114.5,117.5,118.5,125.5,113.0,False,33.7626,-84.3879,True,"['Kitchen', 'Fast wifi – 512 Mbps', '65-inch HDTV', 'Lift', 'Washing machine', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Hair dryer', 'Fridge']",1.0,1.0
2722730,403.5,668.5,665.5,698.5,685.5,2830.5,675.0,402.5,403.0,404.5,406.0,411.5,False,33.78229,-84.36193,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 1 space', 'Private outdoor pool – available all year, heated, pool toys', 'Private hot tub', 'TV with standard cable/satellite', 'Carbon monoxide alarm', 'Smoke alarm']",3.0,1.0
2795111,166.5,125.0,125.0,125.0,128.5,125.0,125.0,125.0,125.0,125.0,166.0,166.0,False,33.73305,-84.41777,False,"['Wifi', 'Free parking on premises', 'TV with standard cable', 'Air conditioning', 'Indoor fireplace', 'Carbon monoxide alarm']",1.0,1.0
2811122,261.0,170.0,159.0,161.5,170.0,164.0,159.0,139.0,170.0,170.0,170.0,170.0,False,33.7779,-84.35262,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Long term stays allowed']",1.0,1.0
3217443,400.0,431.0,427.0,369.5,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,False,33.76909,-84.3518,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, open specific hours, heated', 'Private hot tub - available all year, open specific hours', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning']",4.0,2.5
3256655,136.0,132.0,125.5,92.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,136.0,False,33.8016,-84.395,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer']",1.0,1.0
3728767,100.0,100.0,107.5,108.5,107.5,107.5,124.0,108.0,100.0,104.0,108.5,140.0,False,,,,,1.0,1.0
3961487,172.0,165.0,155.0,165.0,162.5,155.0,178.0,178.0,201.0,160.0,165.0,170.5,False,33.76185,-84.38878,False,"['Kitchen', 'Wifi', 'TV with standard cable', 'Elevator', 'Air conditioning', 'Patio or balcony', 'Hair dryer', 'Refrigerator', 'Microwave', 'Carbon monoxide alarm']",2.0,2.0
4073702,137.5,126.5,118.5,115.0,115.0,115.0,131.0,133.0,122.5,120.5,126.0,135.5,False,33.73053,-84.37719,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '30-inch HDTV with Roku, Amazon Prime Video, Netflix, Hulu, standard cable/satellite', 'Free washer – In unit', 'Central air conditioning', 'Garden', 'Indoor fireplace: electric', 'Exterior security cameras on property']",2.0,2.0
4087352,196.0,82.5,85.5,77.5,220.5,238.0,233.5,216.0,216.5,251.0,258.0,221.0,False,33.7558,-84.35638,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Dryer', 'Air conditioning', 'Backyard', 'Luggage dropoff allowed']",1.0,1.0
4161892,202.5,168.5,160.0,172.0,167.0,179.5,205.0,205.0,205.0,205.0,205.0,205.0,False,33.75399,-84.35027,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub - available all year, open 24 hours', '43 inch HDTV with Netflix, Roku, Amazon Prime Video', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Carbon monoxide alarm']",2.0,1.0
4455391,96.0,117.0,108.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,False,33.8031,-84.3727,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix, Roku, Hulu', 'Central air conditioning', 'Shared patio or balcony', 'Exterior security cameras on property']",1.0,1.0
10027479,221.5,412.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,295.0,197.5,224.5,False,33.8398,-84.3477,False,"['Kitchen', 'Fast wifi – 128 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '56 inch HDTV with Netflix, standard cable, premium cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Carbon monoxide alarm']",3.0,2.0
10306265,95.0,95.0,93.5,94.5,95.0,94.5,95.5,95.0,95.0,95.0,95.0,95.0,False,,,,,1.0,1.0
10424318,91.0,131.5,103.0,110.0,110.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,False,33.7524,-84.4268,True,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', '30 inch HDTV with Netflix', 'Central air conditioning', 'Hair dryer', 'Microwave', 'Long term stays allowed', 'Exterior security cameras on property']",1.0,1.0
