ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
27632,28.0,,0.0,31.0,26.0,22.0,31.0,15.0,12.0,0.0,,,25.0,False,30.2768,-97.7598,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator']",1.0,1.0
109005,2.5,26.0,29.0,19.0,17.5,26.5,29.5,29.5,28.0,14.0,15.0,9.5,61.0,False,30.282673315905875,-97.76861987810229,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '42 inch TV with Amazon Prime Video, Fire TV, Roku', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Backyard']",2.0,1.0
113779,19.0,29.0,29.0,23.0,30.0,28.5,30.5,29.5,29.0,30.5,25.0,31.0,45.0,False,30.302697072020656,-97.72945057695216,True,"['Kitchen', 'Fast wifi – 575 Mbps', 'Dedicated workspace', 'Free street parking', '32 inch HDTV with Chromecast, standard cable', 'Free washer', 'Free dryer', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
140474,12.5,23.0,31.0,25.0,28.0,12.5,24.0,17.5,4.0,30.0,29.5,20.5,58.0,False,30.302150849943853,-97.73045704342532,True,"['Kitchen', 'Fast wifi – 597 Mbps', 'Dedicated workspace', 'Free street parking', '32 inch HDTV with Chromecast, standard cable', 'Free washer', 'Free dryer', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
140504,14.0,29.0,20.0,26.0,28.0,22.0,29.5,26.5,27.0,30.5,30.0,20.5,25.5,False,30.30397191433578,-97.73037344431609,True,"['Kitchen', 'Fast wifi – 570 Mbps', 'Dedicated workspace', 'Free street parking', '32 inch HDTV with Chromecast, standard cable', 'Free washer', 'Free dryer', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
158398,11.0,0.0,18.0,29.0,23.0,4.5,9.5,14.0,0.0,15.5,10.5,10.5,47.0,False,30.25288,-97.78491,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Exterior security cameras on property']",4.0,3.0
174828,17.0,28.0,31.0,15.0,24.0,26.0,26.5,27.0,16.0,13.0,10.5,18.0,82.0,False,30.33238,-97.71233,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with DVD player, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",4.0,2.0
195674,1.0,3.0,3.0,8.0,3.0,4.0,4.5,3.0,8.5,11.5,8.5,15.0,36.5,False,30.25775,-97.76703,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Indoor fireplace', 'Carbon monoxide alarm']",4.0,2.5
202187,25.5,22.0,31.0,28.0,26.0,24.0,24.5,22.5,24.0,30.0,25.5,25.5,37.0,False,30.24867,-97.74678,True,"['Kitchen', 'Fast wifi – 147 Mbps', 'Free street parking', 'TV', 'Air conditioning', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator', 'Microwave']",1.0,1.0
208897,0.5,10.0,21.0,20.0,19.0,15.5,12.0,6.0,16.5,13.5,14.0,5.0,43.0,False,30.2632,-97.6998,True,"['Garden view', 'Kitchen', 'Fast wifi – 244 Mbps', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Central air conditioning', 'Bath', 'Private patio or balcony']",3.0,1.0
