ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
27632,143.0,,95.0,95.0,95.0,85.0,85.0,113.0,104.0,95.0,,,False,30.2768,-97.7598,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator']",1.0,1.0
109005,99.5,93.0,93.0,130.5,130.5,128.0,151.5,171.5,171.5,171.5,187.0,116.5,False,30.282673315905875,-97.76861987810229,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '42 inch TV with Amazon Prime Video, Fire TV, Roku', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Backyard']",2.0,1.0
113779,108.5,120.0,120.0,120.0,120.0,123.0,123.0,119.0,123.5,195.0,115.0,123.0,False,30.302697072020656,-97.72945057695216,True,"['Kitchen', 'Fast wifi – 575 Mbps', 'Dedicated workspace', 'Free street parking', '32 inch HDTV with Chromecast, standard cable', 'Free washer', 'Free dryer', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
140474,114.5,139.0,139.0,139.0,139.0,140.0,140.5,140.5,135.5,140.0,137.5,132.5,False,30.302150849943853,-97.73045704342532,True,"['Kitchen', 'Fast wifi – 597 Mbps', 'Dedicated workspace', 'Free street parking', '32 inch HDTV with Chromecast, standard cable', 'Free washer', 'Free dryer', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
140504,110.0,120.0,120.0,120.0,120.0,123.5,123.0,118.5,123.0,119.5,117.0,124.0,False,30.30397191433578,-97.73037344431609,True,"['Kitchen', 'Fast wifi – 570 Mbps', 'Dedicated workspace', 'Free street parking', '32 inch HDTV with Chromecast, standard cable', 'Free washer', 'Free dryer', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
158398,999.0,999.0,999.0,999.0,999.0,914.0,999.0,999.0,997.5,994.0,961.5,999.0,False,30.25288,-97.78491,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Exterior security cameras on property']",4.0,3.0
174828,348.5,346.0,346.0,346.0,346.0,347.0,358.0,359.0,322.5,346.0,297.5,331.5,False,30.33238,-97.71233,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with DVD player, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",4.0,2.0
195674,679.0,750.0,750.0,750.0,600.0,612.5,612.5,604.0,675.0,675.0,700.0,700.0,False,30.25775,-97.76703,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Indoor fireplace', 'Carbon monoxide alarm']",4.0,2.5
202187,80.0,85.0,85.0,85.0,85.0,78.5,79.0,77.5,74.5,80.0,80.0,81.0,False,30.24867,-97.74678,True,"['Kitchen', 'Fast wifi – 147 Mbps', 'Free street parking', 'TV', 'Air conditioning', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator', 'Microwave']",1.0,1.0
208897,193.0,184.0,184.0,184.0,184.0,167.5,162.0,157.0,174.5,184.0,183.5,182.5,False,30.2632,-97.6998,True,"['Garden view', 'Kitchen', 'Fast wifi – 244 Mbps', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Central air conditioning', 'Bath', 'Private patio or balcony']",3.0,1.0
210834,367.5,536.5,527.0,473.0,480.5,459.0,475.0,475.0,475.0,375.0,350.0,350.0,False,30.2527,-97.74385,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 3 spaces', 'HDTV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Carbon monoxide alarm']",3.0,2.5
227372,418.0,421.5,504.0,279.5,303.0,339.5,295.0,295.0,295.0,457.5,457.5,457.5,False,30.2479,-97.7498,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55 inch HDTV with Apple TV, Disney+, HBO Max, Amazon Prime Video, Hulu, Chromecast, Netflix', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.5
233930,125.0,139.0,152.5,152.0,143.5,151.5,149.0,137.5,149.5,149.5,139.0,139.0,False,30.30289,-97.72961,True,"['Kitchen', 'Fast wifi – 619 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 1 space', '32 inch HDTV with Chromecast, standard cable', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
240541,81.0,81.0,69.5,64.5,61.0,64.5,81.0,84.5,67.0,83.5,81.0,81.0,False,30.25424,-97.72587,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Window AC unit', 'Private patio or balcony', 'Luggage dropoff allowed', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
