ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
318606,0.0,12.0,6.0,20.0,19.0,23.0,31.0,29.0,31.0,23.0,23.0,0.0,81.0,False,26.56402,-82.03193,True,"['Waterfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Central air conditioning']",3.0,2.0
627182,20.0,7.0,7.0,8.0,30.0,10.0,31.0,29.0,31.0,29.0,30.0,30.0,72.0,False,26.644,-81.9541,True,"['Canal view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'Private outdoor pool - available all year, open 24 hours', 'Pets allowed', 'TV with Fire TV', 'Free washer – In unit']",3.0,2.0
744319,0.0,16.0,8.0,0.0,0.0,16.0,2.0,0.0,21.0,15.0,7.0,24.0,48.0,False,26.54337,-81.95437,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV', 'Washer', 'Carbon monoxide alarm']",3.0,3.0
1109319,15.0,0.0,0.0,0.0,2.0,10.0,31.0,29.0,31.0,14.0,5.0,14.0,72.0,False,26.56632,-81.98186,False,"['Canal view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated, pool cover, pool toys', 'Pets allowed', 'TV with standard cable', 'Exterior security cameras on property']",4.0,2.0
1449044,0.0,,,,,,,,,,8.0,13.0,54.0,False,26.63797,-81.985,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV with standard cable', 'Washer', 'Carbon monoxide alarm']",3.0,2.0
1665277,6.0,17.0,6.0,6.0,0.0,29.0,31.0,29.0,31.0,14.0,6.0,22.0,96.0,False,26.6478,-82.0447,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",4.0,3.0
2091272,22.0,26.0,27.0,27.0,30.0,31.0,31.0,29.0,31.0,24.0,25.0,16.0,78.0,False,26.59892,-81.96819,True,"['Canal view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 4 spaces', 'Private outdoor pool - heated', '65 inch HDTV with Chromecast', 'Free washer – In unit', 'Exterior security cameras on property']",3.0,2.0
2195734,6.0,4.0,6.0,8.0,29.0,21.0,20.0,25.0,31.0,1.0,5.0,17.0,46.0,False,26.5667,-81.9612,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Carbon monoxide alarm']",1.0,1.0
2212986,9.0,0.0,15.0,18.0,19.0,12.0,17.0,25.0,31.0,15.0,22.0,12.0,88.0,False,26.5667,-81.9612,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Carbon monoxide alarm']",1.0,1.0
2213113,6.0,5.0,9.0,2.0,10.0,3.0,21.0,29.0,29.0,9.0,3.0,1.0,59.0,False,26.5667,-81.9612,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Carbon monoxide alarm']",1.0,1.0
2213224,13.0,10.0,7.0,17.0,27.0,18.0,31.0,28.0,31.0,12.0,3.0,14.0,73.0,False,26.5667,-81.9612,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Carbon monoxide alarm']",2.0,1.0
2213307,5.0,19.0,25.0,20.0,16.0,15.0,28.0,29.0,28.0,23.0,16.0,15.0,59.0,False,26.5667,-81.9612,False,"['Garden view', 'Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year', 'TV', 'Paid washer – In building', 'Carbon monoxide alarm']",0.0,1.0
2227983,14.0,7.0,3.0,0.0,0.0,6.0,25.0,27.0,0.0,5.0,13.0,23.0,33.0,False,26.5675,-81.9339,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Pack ’n play/Travel crib', 'Carbon monoxide alarm']",3.0,2.0
2396829,11.0,,,,,,4.0,29.0,31.0,1.0,0.0,13.0,63.0,False,26.5455,-81.9775,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",4.0,3.0
2719509,4.0,0.0,0.0,0.0,4.0,5.0,6.0,29.0,29.0,0.0,3.0,0.0,59.0,False,26.62333,-81.9206,False,"['Canal view', 'Park view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated, saltwater', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit']",3.0,2.0
2827469,27.0,31.0,21.0,26.0,27.0,25.0,28.0,29.0,31.0,30.0,31.0,29.0,55.0,False,26.55176,-81.98968,True,"['Waterfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', '55 inch HDTV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub']",3.0,2.0
2934500,22.0,24.0,0.0,9.0,14.0,23.0,20.0,0.0,31.0,13.0,26.0,23.0,52.0,False,26.55123,-81.97506,True,"['Kitchen', 'Wifi', 'Private pool – ', 'Hot tub', 'Pets allowed', 'TV', 'Washing machine', 'Dryer', 'Carbon monoxide alarm', 'Smoke alarm']",4.0,3.0
3279238,6.0,,,,,,26.0,29.0,31.0,28.0,24.0,14.0,79.0,False,26.5595,-81.9623,False,"['Canal view', 'Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool – available all year, open 24 hours, heated, pool cover, pool toys', 'Pets allowed', 'TV with standard cable', 'Exterior security cameras on property']",3.0,2.5
4921339,8.0,31.0,30.0,31.0,19.0,22.0,31.0,29.0,27.0,10.0,4.0,7.0,58.0,False,26.6385,-81.9643,False,"['Garden view', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Pets allowed', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Carbon monoxide alarm']",2.0,1.0
4921642,6.0,17.0,8.0,4.0,0.0,24.0,30.0,29.0,30.0,3.0,8.0,8.0,35.0,False,26.6385,-81.9643,False,"['Garden view', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Pets allowed', 'TV', 'Free washer – In building', 'Free dryer – In building', 'Carbon monoxide alarm']",2.0,1.0
5232148,18.0,28.0,30.0,14.0,0.0,17.0,31.0,29.0,31.0,15.0,22.0,29.0,37.0,False,26.5498,-81.94787,True,"['Canal view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated, pool cover, pool toys', 'Pets allowed', 'TV with standard cable', 'Free washer – In building']",3.0,3.5
6417133,30.0,31.0,30.0,26.0,30.0,31.0,31.0,29.0,31.0,30.0,30.0,28.0,29.0,False,26.6055,-82.0257,True,"['Canal view', 'Waterfront', 'Kitchen', 'Wifi', 'Free residential garage on premises – 6 spaces', 'Private outdoor pool - available all year, open 24 hours, heated, infinity, pool toys', 'Private hot tub - available all year, open 24 hours', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit']",4.0,3.5
