ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
318606,230.0,200.0,210.0,230.0,216.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,False,26.56402,-82.03193,True,"['Waterfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Central air conditioning']",3.0,2.0
627182,219.0,128.0,116.0,142.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,219.0,False,26.644,-81.9541,True,"['Canal view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'Private outdoor pool - available all year, open 24 hours', 'Pets allowed', 'TV with Fire TV', 'Free washer – In unit']",3.0,2.0
744319,474.0,295.0,296.0,379.0,414.0,474.0,474.0,474.0,474.0,474.0,474.0,474.0,False,26.54337,-81.95437,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV', 'Washer', 'Carbon monoxide alarm']",3.0,3.0
1109319,239.0,249.0,249.0,279.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,239.0,False,26.56632,-81.98186,False,"['Canal view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated, pool cover, pool toys', 'Pets allowed', 'TV with standard cable', 'Exterior security cameras on property']",4.0,2.0
1449044,297.0,,,,,,,,,,297.0,297.0,False,26.63797,-81.985,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV with standard cable', 'Washer', 'Carbon monoxide alarm']",3.0,2.0
1665277,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,False,26.6478,-82.0447,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",4.0,3.0
2091272,60.0,163.0,169.0,189.0,249.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,False,26.59892,-81.96819,True,"['Canal view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free residential garage on premises – 4 spaces', 'Private outdoor pool - heated', '65 inch HDTV with Chromecast', 'Free washer – In unit', 'Exterior security cameras on property']",3.0,2.0
2195734,120.0,77.0,71.0,98.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,False,26.5667,-81.9612,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Carbon monoxide alarm']",1.0,1.0
2212986,120.0,78.0,75.0,98.0,110.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,False,26.5667,-81.9612,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Carbon monoxide alarm']",1.0,1.0
2213113,120.0,80.0,71.0,96.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,False,26.5667,-81.9612,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises', 'Shared outdoor pool - available all year, heated', 'Shared hot tub - available all year', 'TV', 'Paid washer – In building', 'Paid dryer – In building', 'Carbon monoxide alarm']",1.0,1.0
