ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
139741,22.0,22.0,30.0,31.0,25.0,15.0,9.0,16.0,7.0,8.0,13.0,16.0,56.0,False,35.2343,-80.8378,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",1.0,1.0
492113,30.0,26.0,29.0,30.0,29.0,24.0,15.0,29.0,31.0,27.0,26.0,31.0,54.0,False,35.2213,-80.8121,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Amazon Prime Video, Fire TV, Netflix, standard cable/satellite', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",1.0,1.0
547871,31.0,22.0,21.0,16.0,27.0,18.0,18.0,,31.0,30.0,31.0,30.0,30.0,False,35.2213,-80.8121,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Central air conditioning', 'Private patio or balcony', 'Exterior security cameras on property']",2.0,2.0
1024811,,31.0,29.0,27.0,30.0,24.0,29.0,16.0,26.0,26.0,12.0,,50.0,False,35.2229,-80.8129,True,"['City skyline view', 'Kitchen', 'Fast wifi – 61 Mbps', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'Pets allowed', '50 inch HDTV with Roku, standard cable', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.0
1327823,3.0,31.0,31.0,15.0,28.0,0.0,,,,,,4.0,54.0,False,35.21154,-80.85559,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Indoor fireplace', 'Refrigerator', 'Long term stays allowed']",2.0,2.0
1355546,13.5,3.5,2.5,2.5,6.5,6.0,2.0,3.0,3.0,3.0,13.5,15.0,65.5,False,35.16107,-80.77763,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Backyard', 'Exterior security cameras on property']",4.0,2.5
1369509,29.0,30.0,30.0,31.0,31.0,29.0,27.0,29.0,31.0,31.0,29.0,25.0,83.0,False,35.22736,-80.81113,True,"['Garden view', 'Fast wifi – 419 Mbps', 'Dedicated workspace', 'Free parking on premises', '30 inch TV with Roku, standard cable', 'Central air conditioning', 'Shared patio or balcony', 'Private backyard – Not fully fenced', 'Indoor fireplace: wood-burning', 'Hair dryer']",1.0,1.0
1502803,0.0,31.0,30.0,23.0,30.0,21.0,28.0,0.0,0.0,2.0,2.0,2.0,66.0,False,35.24299,-80.8638,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Hair dryer']",2.0,1.0
2012313,,17.0,17.0,28.0,6.0,27.0,23.0,19.0,9.0,27.0,14.0,29.0,72.0,False,35.21684,-80.87592,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Pack ’n play/Travel crib', 'Hair dryer']",3.0,2.0
3258771,,30.0,17.0,29.0,22.0,30.0,0.0,0.0,0.0,,,,33.0,False,35.24746,-80.72889,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Free washer – In unit', 'Dryer', 'Central air conditioning', 'Bathtub']",3.0,2.5
