ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
139741,89.0,95.0,95.0,95.0,95.0,95.0,95.0,89.0,89.0,89.0,89.0,89.0,False,35.2343,-80.8378,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",1.0,1.0
492113,147.0,89.0,89.0,89.0,89.0,89.0,89.0,147.0,147.0,147.0,147.0,147.0,False,35.2213,-80.8121,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Amazon Prime Video, Fire TV, Netflix, standard cable/satellite', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",1.0,1.0
547871,135.0,169.0,169.0,169.0,169.0,169.0,169.0,,130.0,130.0,136.0,131.0,False,35.2213,-80.8121,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Central air conditioning', 'Private patio or balcony', 'Exterior security cameras on property']",2.0,2.0
1024811,,140.0,140.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,,False,35.2229,-80.8129,True,"['City skyline view', 'Kitchen', 'Fast wifi – 61 Mbps', 'Dedicated workspace', 'Free residential garage on premises – 1 space', 'Pets allowed', '50 inch HDTV with Roku, standard cable', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.0
1327823,750.0,100.0,100.0,100.0,100.0,818.0,,,,,,750.0,False,35.21154,-80.85559,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Indoor fireplace', 'Refrigerator', 'Long term stays allowed']",2.0,2.0
1355546,445.0,750.0,750.0,750.0,750.0,750.0,790.5,750.0,750.0,750.0,445.0,445.0,False,35.16107,-80.77763,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Backyard', 'Exterior security cameras on property']",4.0,2.5
1369509,150.0,94.0,94.0,94.0,94.0,94.0,94.0,150.0,150.0,150.0,150.0,150.0,False,35.22736,-80.81113,True,"['Garden view', 'Fast wifi – 419 Mbps', 'Dedicated workspace', 'Free parking on premises', '30 inch TV with Roku, standard cable', 'Central air conditioning', 'Shared patio or balcony', 'Private backyard – Not fully fenced', 'Indoor fireplace: wood-burning', 'Hair dryer']",1.0,1.0
1502803,139.0,65.0,65.0,65.0,65.0,65.0,65.0,210.0,139.0,139.0,139.0,139.0,False,35.24299,-80.8638,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Hair dryer']",2.0,1.0
2012313,,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,68.0,False,35.21684,-80.87592,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Pack ’n play/Travel crib', 'Hair dryer']",3.0,2.0
3258771,,189.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0,,,,False,35.24746,-80.72889,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Free washer – In unit', 'Dryer', 'Central air conditioning', 'Bathtub']",3.0,2.5
