ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
270936,2.5,0.0,8.0,0.0,,31.0,2.0,21.0,29.0,23.0,25.5,23.5,20.0,False,32.8144,-96.8155,True,"['Kitchen', 'Wifi', 'Free carport on premises – 1 space', 'Shared outdoor pool – available all year, open specific hours', '55-inch HDTV with Amazon Prime Video, Netflix', 'Washer –\xa0In unit', 'Dryer –\xa0In unit', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
286328,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,False,32.65643,-96.90834,False,"['Lake access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",3.0,2.0
1154424,7.5,29.0,31.0,23.0,26.5,30.0,28.5,9.0,2.5,9.0,7.5,0.0,75.0,False,32.8187,-96.7902,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable/satellite', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bath', 'Shared patio or balcony', 'Hair dryer']",0.0,1.0
1507428,13.5,29.0,31.0,20.0,18.0,27.0,28.0,23.0,18.0,20.5,29.5,16.5,42.0,False,32.81961,-96.78996,False,"['Kitchen', 'Wifi', 'Free carport on premises – 1 space', 'TV with standard cable/satellite', 'Free washer – In building', 'Free dryer – In building', 'Window AC unit', 'Shared patio or balcony', 'Luggage drop-off allowed', 'Hair dryer']",0.0,1.0
1832427,17.5,24.0,29.0,30.0,28.5,26.5,20.5,28.5,30.0,27.5,27.5,21.5,47.5,False,32.7781,-96.7936,True,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'EV charger - level 2', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,3.5
2082487,31.0,29.0,31.0,30.0,31.0,27.5,25.0,31.0,22.0,18.5,24.0,31.0,47.5,False,32.8205,-96.7896,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 1 space', 'TV with standard cable', 'Washer', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Shared patio or balcony', 'Exterior security cameras on property']",0.0,1.0
2762537,9.0,10.5,15.5,15.5,29.0,24.0,12.0,11.0,22.5,26.0,8.0,9.5,42.5,False,32.81821,-96.78901,False,"['Kitchen', 'Wifi', 'Free driveway parking on premises – 1 space', 'TV with standard cable', 'Washer', 'Free dryer – In building', 'Central air conditioning', 'Window AC unit', 'Bathtub', 'Exterior security cameras on property']",0.0,1.0
11498438,16.0,29.0,31.0,26.5,19.5,30.0,31.0,11.0,4.0,15.5,26.0,23.0,76.5,False,32.88731,-96.77066,True,"['Kitchen', 'Wifi', 'Free carport on premises – 1 space', 'Pool', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Carbon monoxide alarm']",1.0,1.0
11757739,17.5,29.0,31.0,30.0,25.0,30.0,31.0,29.5,15.0,10.0,19.0,31.0,52.5,False,32.84695,-96.82887,True,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Shared patio or balcony']",2.0,2.0
12245554,9.0,,31.0,30.0,12.0,30.0,31.0,21.0,16.5,18.5,19.5,31.0,45.0,False,32.81975,-96.79046,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free carport on premises – 1 space', 'TV with standard cable', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
12759576,17.5,20.0,28.0,25.5,26.5,28.5,26.0,23.5,26.0,27.5,26.5,25.5,53.5,False,32.74218,-96.86933,True,"['Wifi', 'Free parking on premises', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Hair dryer', 'Refrigerator']",1.0,1.0
13705690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5,False,32.91689,-96.97114,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Indoor fireplace']",3.0,3.5
14109983,19.5,17.0,30.0,25.0,22.5,22.0,24.5,21.5,22.5,23.0,23.5,23.0,36.5,False,32.8148,-96.8084,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Luggage dropoff allowed', 'Hair dryer']",1.0,1.0
14692959,15.5,29.0,21.5,18.5,25.5,19.5,6.5,6.5,7.0,9.5,15.0,15.5,20.0,False,32.9273,-96.9638,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Exterior security cameras on property']",5.0,3.5
14726415,1.5,27.0,18.0,18.5,25.5,25.0,23.0,23.0,21.0,12.0,13.0,6.5,39.0,False,32.65089,-96.92767,True,"['Kitchen', 'Fast wifi – 445 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, lap pool, pool toys', 'Private hot tub - available all year, open 24 hours', '60 inch HDTV with Netflix, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",4.0,3.0
14874622,25.0,27.0,31.0,24.0,24.0,25.5,24.5,22.5,22.5,24.0,23.0,24.5,59.5,False,32.7519,-96.8278,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
15050487,13.0,20.0,28.5,26.5,25.5,26.5,24.0,29.5,24.0,17.0,18.5,10.5,40.0,False,,,,,3.0,2.0
15073911,17.0,29.0,21.0,21.5,24.0,19.0,18.5,24.5,16.0,13.0,13.0,25.0,37.5,False,32.8157,-96.7831,True,"['City skyline view', 'Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '60 inch HDTV with Roku', 'Free washer – In unit', 'Exterior security cameras on property']",4.0,3.5
15131990,13.0,25.0,23.0,19.0,15.0,18.0,17.5,13.0,13.5,13.5,10.0,9.0,35.0,False,32.80997,-96.80418,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated', 'Private hot tub', 'Pets allowed', '65 inch HDTV with Netflix, Roku', 'Exterior security cameras on property']",4.0,2.5
15132179,0.0,15.0,28.5,27.0,7.5,25.5,29.5,15.5,25.5,31.0,21.5,0.0,39.5,False,32.69983316559001,-96.86833587797354,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'Shared outdoor pool - available all year, open specific hours', 'Pets allowed', '42 inch TV with Roku', 'Window AC unit', 'Bathtub', 'Private backyard – Fully fenced']",0.0,1.0
15132655,13.5,22.0,28.0,20.5,30.0,28.0,24.0,21.5,19.0,22.5,22.5,22.5,47.5,False,32.84044,-96.713,True,"['Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'HDTV with Netflix, HBO Max, Amazon Prime Video, Hulu, Apple TV', 'Washer', 'Dryer – In building', 'Central air conditioning', 'Shared patio or balcony']",1.0,1.0
15132865,19.0,29.0,29.0,21.0,28.5,25.0,19.0,24.0,20.5,14.5,15.0,19.0,47.5,False,32.8157,-96.7831,True,"['City skyline view', 'Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '60-inch HDTV with Roku', 'Free washer – In unit', 'Exterior security cameras on property']",3.0,3.5
15342315,15.5,26.0,28.0,29.5,30.0,26.0,28.5,28.5,27.5,20.0,22.0,19.5,17.5,False,32.76427,-96.6942,True,"['Garden view', 'Wifi', 'Free parking on premises', 'Pets allowed', 'Window AC unit', 'Private patio or balcony', 'Shared back garden – Not fully fenced', 'Luggage drop-off allowed', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
15411661,11.5,25.0,27.0,26.5,31.0,30.0,31.0,29.0,25.5,22.0,19.5,15.5,37.0,False,32.73939,-96.83027,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer –\xa0In unit', 'Dryer –\xa0In unit', 'Air conditioning', 'Bathtub', 'Refrigerator', 'Microwave']",2.0,1.0
16124597,15.0,24.0,25.5,28.0,24.0,23.5,15.0,18.5,21.0,16.0,14.5,3.5,26.5,False,,,,,2.0,2.5
16239694,1.5,10.0,26.0,6.5,11.0,5.5,4.5,21.5,29.5,18.5,11.0,28.5,45.5,False,32.88426,-96.78933,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable, Netflix', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",4.0,4.0
16353509,24.5,22.0,30.0,29.5,29.5,30.0,28.5,30.0,28.5,29.5,28.0,24.0,26.0,False,32.78704,-96.78759,False,"['Garden view', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '50 inch HDTV with Roku, Netflix', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",1.0,1.0
16405547,31.0,23.0,28.5,30.0,30.5,30.0,25.5,26.5,27.0,25.0,22.5,24.0,36.0,False,,,,,2.0,2.0
16507160,9.0,17.0,19.5,23.0,23.5,28.5,30.0,29.0,26.5,23.5,20.0,13.0,24.0,False,32.8467,-96.74354,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Shared patio or balcony', 'Backyard', 'Luggage dropoff allowed']",1.0,1.0
16973794,0.0,5.0,15.0,7.0,18.5,21.0,31.0,16.0,13.5,19.0,17.5,3.0,15.0,False,32.81436,-96.77674,True,"['Wifi', 'Free street parking', 'TV with DVD player, Roku', 'Window AC unit', 'Bathtub', 'Shared patio or balcony', 'Luggage dropoff allowed', 'Hair dryer', 'Microwave']",1.0,1.0
17142583,15.0,26.0,27.0,23.0,27.5,29.5,29.5,27.0,26.5,27.0,21.0,22.0,29.5,False,32.89225,-96.77256,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Pets allowed', 'TV', 'Paid washer', 'Paid dryer', 'Central air conditioning']",1.0,1.0
17347001,14.0,18.0,3.0,5.0,12.0,21.5,7.0,7.5,14.5,15.5,7.5,0.0,27.0,False,32.815,-96.7919,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', '50-inch HDTV with Amazon Prime Video, Fire TV, Netflix', 'Lift', 'EV charger', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.0
17463770,16.0,18.0,23.0,24.0,23.0,21.0,20.5,18.5,21.0,18.5,13.0,13.5,43.5,False,,,,,3.0,2.5
17527189,11.0,13.0,23.5,24.5,21.0,25.0,28.5,28.0,18.5,16.0,16.0,16.0,17.5,False,32.9016,-96.7443,True,"['Kitchen', 'Fast wifi – 485 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 7 spaces', 'Private outdoor pool - available seasonally, open specific hours, heated', 'Private hot tub - available all year, open specific hours', '65 inch HDTV with Netflix, Amazon Prime Video, standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",5.0,3.0
17612005,10.0,17.0,9.0,8.0,19.0,21.5,15.5,5.5,10.5,15.5,10.5,11.0,31.0,False,32.63702,-96.83529,False,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private hot tub', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,2.0
17733183,26.5,29.0,28.5,27.0,30.5,30.0,30.5,16.0,15.0,15.5,5.5,17.5,42.5,False,32.77798,-96.79694,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Elevator', 'Washer', 'Dryer', 'Air conditioning']",2.0,1.0
17753881,18.5,27.0,25.0,27.0,26.5,28.5,28.0,29.0,23.0,22.0,21.0,14.5,35.0,False,32.81707,-96.76889,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 1 space', 'Pets allowed', '32 inch HDTV with Netflix', 'Paid washer', 'Paid dryer', 'Air conditioning', 'Exterior security cameras on property']",0.0,1.0
17793382,5.5,10.0,9.0,10.0,4.0,7.0,9.5,7.0,12.0,5.0,3.5,5.0,31.5,False,32.74316,-96.84594,True,"['Garden view', 'Wifi', 'Free parking on premises', 'Private pool', 'Pets allowed', 'HDTV with standard cable, Roku, Hulu, Netflix, premium cable', 'Central air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Hair dryer']",1.0,1.0
17926037,23.5,25.0,26.0,29.0,30.0,28.5,28.5,27.0,29.5,27.0,23.5,24.0,50.5,False,32.79584,-96.78586,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Pets allowed', 'TV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",2.0,2.0
18194969,10.0,9.0,18.0,15.0,14.0,17.5,16.0,17.0,9.5,11.0,15.5,13.5,30.5,False,32.74954,-96.82604,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard']",3.0,2.0
18481659,15.5,29.0,31.0,4.0,15.5,13.0,7.5,20.0,14.5,4.5,0.0,1.5,38.5,False,32.814,-96.7909,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Pets allowed', '50 inch HDTV with Amazon Prime Video, Fire TV, Netflix', 'Elevator', 'EV charger', 'Free washer – In unit']",1.0,1.0
18482586,20.0,,0.0,4.0,0.0,9.0,0.0,0.0,7.5,4.0,6.5,4.5,38.5,False,32.814,-96.7909,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Pets allowed', '50-inch HDTV with Amazon Prime Video, Fire TV, Netflix, standard cable/satellite', 'Lift', 'Free washer – In unit', 'Free dryer – In unit']",1.0,1.0
