ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
67095,28.0,21.0,7.0,24.0,27.0,29.0,31.0,29.0,31.0,20.0,28.0,29.0,55.0,False,30.39238,-86.47928,False,"['Beach access – Beachfront', 'Kitchen', 'Fast wifi – 195 Mbps', 'Free parking on premises', 'Shared pool', 'TV with standard cable/satellite', 'Lift', 'Paid washer – In building', 'Paid dryer – In building', 'Central air conditioning']",2.0,2.0
802931,15.0,,,,,,,,26.0,10.0,4.0,14.0,29.0,False,30.3814,-86.4061,True,"['Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with standard cable/satellite', 'Washing machine', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,2.0
802956,25.0,,12.0,12.0,18.0,7.0,25.0,28.0,25.0,5.0,26.0,12.0,46.0,False,30.3814,-86.4061,True,"['Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,2.0
1478834,26.0,18.0,21.0,24.0,16.0,16.0,9.0,22.0,25.0,18.0,24.0,27.0,72.0,False,30.38651,-86.42115,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Shared outdoor pool – available all year, open specific hours, heated', 'Shared hot tub', 'Pets allowed', '60-inch HDTV with Roku', 'Exterior security cameras on property']",5.0,4.0
2295808,31.0,16.0,5.0,14.0,30.0,1.0,10.0,26.0,21.0,5.0,22.0,29.0,46.0,False,30.38874,-86.46809,True,"['Lake view', 'Waterfront', 'Kitchen', 'Fast wifi – 85 Mbps', 'Free parking on premises', 'Shared outdoor pool - available all year, open specific hours, heated', 'HDTV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",1.0,1.0
2639761,24.0,26.0,24.0,26.0,22.0,10.0,0.0,0.0,29.0,22.0,12.0,29.0,42.0,False,30.3846,-86.4187,True,"['Shared beach access', 'Kitchen', 'Fast wifi – 538 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 6 spaces', 'Private outdoor pool - available all year, open 24 hours, heated, pool toys, saltwater', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', '70 inch HDTV with Roku', 'Exterior security cameras on property']",4.0,3.0
3071867,11.0,,0.0,7.0,0.0,4.0,2.0,0.0,22.0,9.0,2.0,17.0,93.0,False,30.37437,-86.34774,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated', 'HDTV with premium cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",4.0,3.0
3075345,0.0,,3.0,9.0,0.0,0.0,,,0.0,0.0,0.0,0.0,46.0,False,30.38229,-86.41967,False,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours', '50 inch HDTV with DVD player, Chromecast', 'Free washer – In building', 'Paid dryer – In building']",5.0,3.0
3514018,29.0,20.0,17.0,13.0,0.0,9.0,0.0,29.0,22.0,15.0,26.0,30.0,56.0,False,30.38771,-86.48213,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV', 'Air conditioning', 'Private patio or balcony']",0.0,1.0
4291588,5.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,66.0,False,30.3935,-86.4958,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning']",1.0,1.0
4686455,24.0,,,,,,,,,,,0.0,84.0,False,30.3793,-86.3998,False,"['Ocean view', 'Private beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises – 2 spaces', 'HDTV with Roku, Netflix, Hulu, Disney+, Apple TV, Amazon Prime Video', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",4.0,4.0
4936513,30.0,31.0,28.0,25.0,17.0,28.0,20.0,22.0,31.0,20.0,28.0,28.0,47.0,False,30.38529,-86.47561,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable/satellite', 'Lift', 'Washing machine', 'Carbon monoxide alarm']",2.0,2.0
5544070,22.0,31.0,29.0,31.0,2.0,0.0,31.0,29.0,31.0,9.0,10.0,22.0,35.0,False,30.385,-86.42702,True,"['Private beach access', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Exterior security cameras on property']",1.0,1.0
5737755,12.0,,20.0,13.0,0.0,0.0,,,3.0,11.0,7.0,12.0,50.0,False,30.3827,-86.4223,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Washer', 'Dryer', 'Air conditioning']",1.0,1.0
7067306,0.0,31.0,24.0,21.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,False,30.3829,-86.4185,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 6 spaces', 'Private outdoor pool - heated, saltwater', 'Pets allowed', '65 inch HDTV with Roku, standard cable', 'EV charger - level 2', 'Exterior security cameras on property']",4.0,3.0
7094493,31.0,24.0,17.0,17.0,7.0,9.0,30.0,25.0,31.0,9.0,26.0,29.0,36.0,False,30.38386,-86.4103,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours, heated', 'Shared hot tub', 'Shared sauna', '70 inch HDTV with Amazon Prime Video, Netflix, Roku, premium cable, standard cable', 'Washer']",3.0,3.0
7873733,23.0,17.0,12.0,31.0,30.0,17.0,30.0,29.0,30.0,4.0,21.0,30.0,53.0,False,30.38681,-86.47572,True,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year, open specific hours, heated', 'Shared hot tub', '50 inch HDTV with standard cable', 'Elevator', 'Paid washer – In building']",1.0,2.0
7918520,29.0,7.0,0.0,13.0,13.0,31.0,31.0,29.0,24.0,7.0,6.0,29.0,37.0,False,30.38344,-86.39077,False,"['Shared beach access', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Shared hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning']",5.0,3.0
