ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
67095,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,False,30.39238,-86.47928,False,"['Beach access – Beachfront', 'Kitchen', 'Fast wifi – 195 Mbps', 'Free parking on premises', 'Shared pool', 'TV with standard cable/satellite', 'Lift', 'Paid washer – In building', 'Paid dryer – In building', 'Central air conditioning']",2.0,2.0
802931,155.0,,,,,,,,155.0,155.0,155.0,155.0,False,30.3814,-86.4061,True,"['Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with standard cable/satellite', 'Washing machine', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,2.0
802956,155.0,,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,False,30.3814,-86.4061,True,"['Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,2.0
1478834,450.0,306.0,228.0,265.0,251.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,False,30.38651,-86.42115,True,"['Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Shared outdoor pool – available all year, open specific hours, heated', 'Shared hot tub', 'Pets allowed', '60-inch HDTV with Roku', 'Exterior security cameras on property']",5.0,4.0
2295808,125.0,128.0,123.0,120.0,150.0,150.0,150.0,150.0,125.0,125.0,125.0,125.0,False,30.38874,-86.46809,True,"['Lake view', 'Waterfront', 'Kitchen', 'Fast wifi – 85 Mbps', 'Free parking on premises', 'Shared outdoor pool - available all year, open specific hours, heated', 'HDTV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",1.0,1.0
2639761,974.0,447.0,316.0,384.0,315.0,315.0,1173.0,1093.0,962.0,962.0,962.0,962.0,False,30.3846,-86.4187,True,"['Shared beach access', 'Kitchen', 'Fast wifi – 538 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 6 spaces', 'Private outdoor pool - available all year, open 24 hours, heated, pool toys, saltwater', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', '70 inch HDTV with Roku', 'Exterior security cameras on property']",4.0,3.0
3071867,589.0,,559.0,489.0,512.0,589.0,589.0,589.0,589.0,589.0,589.0,589.0,False,30.37437,-86.34774,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated', 'HDTV with premium cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",4.0,3.0
3075345,1459.0,,759.0,759.0,1459.0,1459.0,,,1459.0,1459.0,1459.0,1459.0,False,30.38229,-86.41967,False,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours', '50 inch HDTV with DVD player, Chromecast', 'Free washer – In building', 'Paid dryer – In building']",5.0,3.0
3514018,190.0,150.0,155.0,155.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,False,30.38771,-86.48213,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV', 'Air conditioning', 'Private patio or balcony']",0.0,1.0
4291588,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,False,30.3935,-86.4958,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning']",1.0,1.0
