ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
349538,19.0,24.0,29.0,30.0,31.0,30.0,28.0,31.0,27.0,29.0,28.0,24.0,75.0,False,26.1369,-80.1052,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Hot tub', 'Sauna', 'TV with standard cable', 'Carbon monoxide alarm']",1.0,1.0
366178,31.0,27.0,19.0,4.0,31.0,27.0,31.0,30.0,30.0,30.0,8.0,3.0,72.0,False,26.12683,-80.13549,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Free washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Refrigerator']",1.0,1.0
393982,0.0,28.0,31.0,29.0,25.0,30.0,31.0,6.0,0.0,0.0,0.0,0.0,74.0,False,26.12676,-80.13657,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'AC - split type ductless system', 'Private patio or balcony', 'Backyard', 'Refrigerator']",1.0,1.0
438860,0.0,28.0,27.0,24.0,29.0,26.0,31.0,27.0,21.0,10.0,20.0,13.0,63.0,False,,,,,1.0,1.0
592583,9.0,24.0,22.0,24.0,30.0,31.0,30.0,31.0,31.0,12.0,11.0,19.0,78.0,False,26.1369,-80.1052,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Sauna', 'TV with standard cable', 'Carbon monoxide alarm']",2.0,2.0
658344,30.0,31.0,30.0,29.0,31.0,10.0,6.0,12.0,16.0,3.0,20.0,29.0,41.0,False,26.1369,-80.1052,True,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Hot tub', 'Sauna', 'Carbon monoxide alarm']",1.0,1.0
695109,30.0,31.0,23.0,31.0,30.0,28.0,31.0,27.0,20.0,13.0,24.0,29.0,31.0,False,26.1369,-80.1052,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Sauna', 'TV with standard cable/satellite', 'Carbon monoxide alarm']",1.0,1.0
695242,10.0,29.0,31.0,23.0,31.0,30.0,31.0,31.0,31.0,29.0,26.0,21.0,35.0,False,26.1369,-80.1052,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Hot tub', 'Sauna', 'TV with standard cable', 'Carbon monoxide alarm']",2.0,2.0
765598,15.0,12.0,29.0,30.0,2.0,0.0,16.0,2.0,0.0,31.0,26.0,16.0,26.0,False,26.16618,-80.11688,False,"['Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'TV with standard cable', 'Free washer – In unit', 'Exterior security cameras on property']",3.0,2.0
1076949,9.0,30.0,6.0,4.0,0.0,,,,,,,,83.0,False,,,,,1.0,1.0
1117425,,14.0,30.0,26.0,16.0,28.0,28.0,31.0,30.0,17.0,19.0,15.0,17.0,False,26.19678,-80.09716,False,"['Garden view', 'Kitchen', 'Fast wifi – 56 Mbps', 'Free driveway parking on premises – 1 space', 'Shared outdoor pool - heated', '40 inch HDTV with Amazon Prime Video, Hulu, Netflix, standard cable', 'Paid washer – In building', 'Paid dryer – In building', 'Central air conditioning', 'Bathtub']",1.0,1.0
1118565,0.0,0.0,,,,,,,,,17.0,23.0,74.0,False,26.19217,-80.09839,False,"['Garden view', 'Kitchen', 'Fast wifi – 244 Mbps', 'Free driveway parking on premises – 1 space', '40 inch HDTV with Hulu, standard cable', 'Paid washer – In building', 'Paid dryer – In building', 'Central air conditioning', 'Bathtub', 'Hair dryer']",1.0,1.0
1149806,13.0,30.0,31.0,30.0,31.0,31.0,29.0,27.0,15.0,13.0,30.0,0.0,73.0,False,26.16956,-80.13086,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Backyard']",1.0,1.0
1646485,27.0,15.0,23.0,20.0,25.0,21.0,22.0,22.0,23.0,28.0,30.0,30.0,94.0,False,26.22799,-80.08983,False,"['City skyline view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool – available all year, open specific hours', '55-inch HDTV with Netflix, Hulu', 'Lift', 'Exterior security cameras on property']",3.0,3.5
