ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
349538,159.0,329.0,329.0,329.0,329.0,329.0,329.0,329.0,99.0,101.0,159.0,159.0,False,26.1369,-80.1052,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Hot tub', 'Sauna', 'TV with standard cable', 'Carbon monoxide alarm']",1.0,1.0
366178,255.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,False,26.12683,-80.13549,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Free washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Refrigerator']",1.0,1.0
393982,84.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,83.0,78.0,83.0,83.0,False,26.12676,-80.13657,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'AC - split type ductless system', 'Private patio or balcony', 'Backyard', 'Refrigerator']",1.0,1.0
438860,116.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,126.0,False,,,,,1.0,1.0
592583,112.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,479.0,90.0,98.0,112.0,False,26.1369,-80.1052,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Sauna', 'TV with standard cable', 'Carbon monoxide alarm']",2.0,2.0
658344,433.0,359.0,359.0,359.0,359.0,192.0,192.0,208.0,433.0,433.0,433.0,433.0,False,26.1369,-80.1052,True,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Hot tub', 'Sauna', 'Carbon monoxide alarm']",1.0,1.0
695109,695.0,329.0,329.0,329.0,329.0,329.0,329.0,336.0,265.0,284.0,695.0,695.0,False,26.1369,-80.1052,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Sauna', 'TV with standard cable/satellite', 'Carbon monoxide alarm']",1.0,1.0
695242,716.0,429.0,429.0,429.0,429.0,429.0,429.0,429.0,114.0,125.0,737.0,759.0,False,26.1369,-80.1052,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Hot tub', 'Sauna', 'TV with standard cable', 'Carbon monoxide alarm']",2.0,2.0
765598,450.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,450.0,450.0,450.0,False,26.16618,-80.11688,False,"['Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'TV with standard cable', 'Free washer – In unit', 'Exterior security cameras on property']",3.0,2.0
1076949,98.0,125.0,115.0,115.0,115.0,,,,,,,,False,,,,,1.0,1.0
