ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
356761,15.5,29.0,31.0,30.0,31.0,18.5,31.0,20.5,20.0,5.0,21.5,19.5,25.5,False,29.80593,-95.39504,False,"['Kitchen', 'Wifi', 'Free street parking', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Central air conditioning', 'Patio or balcony', 'Backyard']",0.0,1.0
1051570,26.5,29.0,31.0,30.0,20.5,15.0,29.5,15.5,17.0,15.5,22.5,31.0,71.0,False,29.8182,-95.4535,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
1171161,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,False,29.69126,-95.43626,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1189184,28.5,23.0,0.0,14.0,25.0,0.0,0.0,11.5,8.5,15.0,7.5,14.5,61.0,False,,,,,1.0,1.0
1312027,19.5,29.0,31.0,30.0,6.0,30.0,31.0,31.0,26.0,15.5,9.5,15.5,68.0,False,,,,,1.0,1.0
1328011,31.0,26.0,26.0,25.0,30.5,29.5,31.0,27.5,28.0,21.5,21.5,30.0,39.0,False,,,,,2.0,2.5
1349926,7.0,12.0,17.0,9.0,21.5,13.5,12.5,15.5,19.0,10.0,25.5,7.0,57.0,False,29.79881,-95.54086,True,"['Garden view', 'Kitchen', 'Fast wifi – 419 Mbps', 'Free parking on premises', 'Shared sauna', '36 inch HDTV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Window AC unit', 'Bathtub']",1.0,1.0
1351639,5.0,20.0,24.0,12.5,13.5,18.5,22.0,15.5,24.0,18.5,26.5,24.5,45.5,False,29.79523,-95.54205,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', '30 inch HDTV with Roku, HBO Max, DVD player, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Carbon monoxide alarm']",1.0,1.0
2148052,15.5,29.0,28.0,25.0,28.0,28.0,29.5,9.0,6.0,15.0,6.0,5.0,41.5,False,29.72626,-95.37744,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony']",1.0,1.0
2344260,4.0,0.0,17.0,0.0,5.0,26.0,31.0,5.0,0.0,4.0,7.0,10.0,20.5,False,29.77884,-95.4209,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Refrigerator']",3.0,2.5
2520272,30.5,26.0,31.0,0.0,0.0,13.5,15.0,23.0,11.0,17.0,7.0,15.5,45.0,False,29.73664,-95.3726,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer –\xa0In building', 'Dryer – In building', 'Air conditioning', 'Private patio or balcony']",1.0,1.0
2593306,31.0,,,29.0,22.0,30.0,30.5,22.0,6.5,15.0,20.5,31.0,48.0,False,29.74418,-95.4014,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,1.0
2695874,20.5,29.0,1.0,14.5,15.5,0.0,14.5,30.5,15.0,0.0,22.5,20.0,23.5,False,29.73019,-95.37716,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer –\xa0In building', 'Dryer – In building', 'Air conditioning', 'Bathtub', 'Patio or balcony']",1.0,1.0
2893747,13.5,0.0,0.0,17.0,4.0,16.5,22.5,0.0,14.5,5.5,7.5,0.0,33.0,False,29.81817,-95.45324,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
3051756,15.5,22.0,31.0,28.0,27.0,24.0,25.5,19.0,26.0,19.0,12.0,12.0,37.0,False,29.73673,-95.37417,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '32-inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Fire TV, Hulu, Netflix', 'EV charger', 'Portable air conditioning', 'AC – split-type ductless system', 'Carbon monoxide alarm']",1.0,1.0
3198332,24.0,17.0,28.0,2.0,30.0,25.5,23.5,24.0,20.0,30.5,22.5,31.0,46.0,False,29.74022,-95.40567,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub']",1.0,1.0
3200481,14.5,29.0,31.0,27.0,27.0,30.0,28.0,26.0,29.5,24.5,22.5,16.5,40.0,False,29.72664,-95.41264,True,"['Kitchen', 'Wifi', 'Free street parking', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Hair dryer', 'Carbon monoxide alarm']",1.0,1.0
