ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
356761,96.5,95.0,95.0,95.0,95.0,95.0,95.0,94.5,94.5,94.5,99.5,95.5,False,29.80593,-95.39504,False,"['Kitchen', 'Wifi', 'Free street parking', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Central air conditioning', 'Patio or balcony', 'Backyard']",0.0,1.0
1051570,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,75.0,83.5,False,29.8182,-95.4535,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
1171161,243.0,,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,242.0,242.0,False,29.69126,-95.43626,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available all year, open 24 hours', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property']",1.0,1.0
1189184,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,83.5,False,,,,,1.0,1.0
1312027,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.5,False,,,,,1.0,1.0
1328011,164.0,119.0,117.0,117.0,117.5,116.0,116.0,116.0,117.0,119.0,120.0,139.5,False,,,,,2.0,2.5
1349926,106.0,105.0,105.0,106.5,106.5,106.5,106.5,106.5,106.5,105.0,127.0,106.0,False,29.79881,-95.54086,True,"['Garden view', 'Kitchen', 'Fast wifi – 419 Mbps', 'Free parking on premises', 'Shared sauna', '36 inch HDTV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Window AC unit', 'Bathtub']",1.0,1.0
1351639,106.5,105.0,107.0,108.0,106.5,106.5,106.5,106.5,106.5,106.5,52.5,116.0,False,29.79523,-95.54205,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', '30 inch HDTV with Roku, HBO Max, DVD player, Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Carbon monoxide alarm']",1.0,1.0
2148052,70.0,65.0,65.0,68.0,65.5,67.5,68.0,71.5,75.0,75.5,71.0,68.5,False,29.72626,-95.37744,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony']",1.0,1.0
2344260,175.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,177.0,176.0,False,29.77884,-95.4209,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Hair dryer', 'Refrigerator']",3.0,2.5
2520272,71.5,65.0,70.0,70.0,70.0,74.0,70.5,72.5,72.5,73.0,74.0,72.0,False,29.73664,-95.3726,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer –\xa0In building', 'Dryer – In building', 'Air conditioning', 'Private patio or balcony']",1.0,1.0
2593306,75.0,,,115.0,96.0,96.5,96.0,95.0,95.0,95.0,305.5,217.0,False,29.74418,-95.4014,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,1.0
2695874,81.5,75.0,75.0,76.5,76.5,76.5,76.5,76.5,76.5,76.5,78.5,81.0,False,29.73019,-95.37716,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Washer –\xa0In building', 'Dryer – In building', 'Air conditioning', 'Bathtub', 'Patio or balcony']",1.0,1.0
2893747,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.5,False,29.81817,-95.45324,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
3051756,72.5,67.0,67.0,67.0,67.0,68.0,68.0,63.5,64.5,67.0,66.5,64.0,False,29.73673,-95.37417,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '32-inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Fire TV, Hulu, Netflix', 'EV charger', 'Portable air conditioning', 'AC – split-type ductless system', 'Carbon monoxide alarm']",1.0,1.0
