ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
301976,12.5,29.0,27.0,27.0,31.0,27.0,29.5,23.0,27.5,28.5,20.0,25.0,20.5,False,39.75376,-86.16181,True,"['Kitchen', 'Fast wifi – 233 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'Pets allowed', '42 inch HDTV with Amazon Prime Video, Fire TV, Netflix, Apple TV', 'EV charger', 'Free washer – In unit', 'Exterior security cameras on property']",3.0,1.5
307768,0.5,5.0,2.0,3.5,5.5,2.0,3.0,7.0,3.5,1.5,9.5,11.5,55.5,False,39.75031,-86.14215,False,"['Kitchen', 'Fast wifi – 384 Mbps', 'Free driveway parking on premises – 1 space', 'Pets allowed', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Private backyard – Fully fenced', 'Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old']",4.0,2.0
309661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,False,39.84826,-86.16006,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",3.0,2.5
312950,13.0,3.0,0.0,24.0,23.5,15.5,8.0,17.5,20.5,9.0,9.0,4.0,53.5,False,39.8925,-86.1561,True,"['Kitchen', 'Fast wifi – 747 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with Roku, premium cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",4.0,3.0
2566246,12.0,12.0,10.0,14.0,21.5,20.5,8.0,12.0,11.0,15.0,12.5,11.5,33.0,False,39.76416,-86.15698,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'HDTV with Roku', 'Elevator', 'Air conditioning', 'Bathtub', 'Hair dryer', 'GE refrigerator', 'Exterior security cameras on property']",3.0,2.0
3058580,31.0,29.0,28.0,30.0,16.0,25.5,26.0,23.0,19.5,27.5,29.0,30.5,43.5,False,39.82148,-86.15204,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '44 inch HDTV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Backyard']",0.0,1.0
3281118,0.0,,,,,4.0,4.0,3.0,0.0,1.0,17.0,25.0,35.0,False,39.78681,-86.15276,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Indoor fireplace', 'Hair dryer']",2.0,2.5
10233227,18.0,8.0,11.0,19.0,17.5,19.0,20.5,24.5,25.5,17.0,25.0,17.0,60.5,False,,,,,0.0,1.0
11610898,21.5,28.0,31.0,30.0,29.0,30.0,31.0,25.5,30.0,31.0,12.5,30.0,56.0,False,39.86639,-86.22692,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'Luggage dropoff allowed', 'Fire pit', 'Exterior security cameras on property']",3.0,2.0
11672375,24.0,29.0,21.0,28.0,25.0,23.0,28.0,19.0,24.0,28.0,21.0,19.0,47.5,False,39.78793,-86.15247,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'AC - split type ductless system', 'Patio or balcony', 'Backyard', 'Hair dryer', 'Refrigerator', 'Microwave']",1.0,1.0
