ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
301976,282.5,245.0,245.0,245.0,245.0,256.5,247.5,346.0,268.5,255.0,261.0,301.0,False,39.75376,-86.16181,True,"['Kitchen', 'Fast wifi – 233 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'Pets allowed', '42 inch HDTV with Amazon Prime Video, Fire TV, Netflix, Apple TV', 'EV charger', 'Free washer – In unit', 'Exterior security cameras on property']",3.0,1.5
307768,750.5,525.0,525.0,537.5,537.5,537.5,537.5,537.5,537.5,537.5,563.5,590.5,False,39.75031,-86.14215,False,"['Kitchen', 'Fast wifi – 384 Mbps', 'Free driveway parking on premises – 1 space', 'Pets allowed', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Private backyard – Fully fenced', 'Children’s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old']",4.0,2.0
309661,625.0,750.0,750.0,750.0,750.0,625.0,625.0,625.0,625.0,625.0,836.0,638.5,False,39.84826,-86.16006,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",3.0,2.5
312950,420.0,530.0,530.0,456.5,459.0,444.0,457.5,456.5,455.0,455.0,530.0,630.5,False,39.8925,-86.1561,True,"['Kitchen', 'Fast wifi – 747 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with Roku, premium cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub']",4.0,3.0
2566246,303.5,250.0,250.0,416.0,297.5,287.0,291.0,319.0,282.0,291.0,275.0,310.5,False,39.76416,-86.15698,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'HDTV with Roku', 'Elevator', 'Air conditioning', 'Bathtub', 'Hair dryer', 'GE refrigerator', 'Exterior security cameras on property']",3.0,2.0
3058580,160.0,160.0,160.0,160.0,165.5,157.5,157.5,157.5,157.5,157.5,157.5,157.5,False,39.82148,-86.15204,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '44 inch HDTV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Backyard']",0.0,1.0
3281118,419.0,,,,,365.0,365.0,365.0,365.0,365.0,365.0,377.0,False,39.78681,-86.15276,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Indoor fireplace', 'Hair dryer']",2.0,2.5
10233227,122.5,119.0,119.0,123.0,125.0,122.5,123.5,122.5,122.5,124.0,144.0,184.0,False,,,,,0.0,1.0
11610898,491.5,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,202.0,215.0,False,39.86639,-86.22692,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'Luggage dropoff allowed', 'Fire pit', 'Exterior security cameras on property']",3.0,2.0
11672375,92.0,85.0,85.0,89.0,90.0,88.5,88.5,91.5,90.0,89.0,89.5,92.0,False,39.78793,-86.15247,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'AC - split type ductless system', 'Patio or balcony', 'Backyard', 'Hair dryer', 'Refrigerator', 'Microwave']",1.0,1.0
11892733,79.5,89.0,84.5,79.0,84.0,81.0,92.5,153.0,82.5,82.0,96.5,82.5,False,39.77452,-86.15964,True,"['City skyline view', 'Kitchen', 'Wifi', '50 inch HDTV', 'Elevator', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
12054867,1584.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,1022.0,999.0,False,39.91191,-86.27911,false,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Carbon monoxide alarm']",5.0,3.5
12092242,106.5,109.0,109.0,117.0,129.0,112.0,113.0,115.0,111.5,109.0,113.5,145.5,False,39.8724,-86.1433,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Hair dryer', 'Refrigerator']",1.0,1.0
12706996,384.0,349.0,354.5,358.0,383.5,355.5,355.0,355.0,358.5,349.0,363.5,355.5,False,39.89038,-86.17441,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private hot tub', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Exterior security cameras on property']",5.0,3.0
