ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
451724,21.0,21.0,11.0,14.0,29.0,18.0,16.0,14.0,8.0,8.0,26.0,14.0,78.0,False,30.62058,-81.44064,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Pack ’n play/Travel crib', 'Carbon monoxide alarm']",4.0,4.0
1566731,1.0,31.0,30.0,31.0,,,,23.0,22.0,20.0,21.0,7.0,40.0,False,30.3115,-81.58579,True,"['River view', 'Waterfront', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with Netflix', 'Window AC unit', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
1699207,12.0,9.0,0.0,11.0,7.0,7.0,6.0,1.0,12.0,14.0,14.0,9.0,51.0,False,30.31411,-81.71286,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '40-inch HDTV with Chromecast, Hulu, Netflix, Roku', 'Window AC unit', 'Bath', 'Private back garden – Fully fenced', 'Indoor fireplace: electric', 'Exterior security cameras on property']",1.0,1.0
1699210,20.0,15.0,10.0,0.0,26.0,4.0,31.0,29.0,16.0,14.0,27.0,28.0,76.0,False,30.31469,-81.71304,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Pets allowed', '42 inch HDTV with Disney+, Hulu, Netflix, Roku', 'Window AC unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
2127884,26.0,0.0,0.0,,,,30.0,10.0,30.0,17.0,20.0,29.0,47.0,False,30.68959,-81.45571,False,"['Marina view', 'River view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '60-inch HDTV with Amazon Prime Video, Netflix, cable/satellite TV', 'Washing machine', 'Dryer', 'Exterior security cameras on property']",3.0,2.5
4287621,0.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,False,30.596,-81.4619,True,"['River view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer –\xa0In unit', 'Dryer –\xa0In unit']",3.0,2.0
4683773,17.0,30.0,28.0,22.0,17.0,14.0,30.0,31.0,31.0,29.0,31.0,17.0,25.0,False,30.67267,-81.43204,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV', 'Lift', 'Washing machine – In unit', 'Carbon monoxide alarm']",3.0,2.0
5116900,15.0,18.0,29.0,30.0,27.0,20.0,30.0,31.0,31.0,27.0,26.0,19.0,70.0,False,30.3101,-81.68991,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
5785148,29.0,3.0,0.0,3.0,3.0,1.0,14.0,28.0,12.0,29.0,31.0,24.0,51.0,False,,,,,2.0,1.5
5899683,18.0,31.0,8.0,0.0,16.0,16.0,22.0,20.0,11.0,23.0,22.0,31.0,35.0,False,30.35082,-81.39838,False,"['Courtyard view', 'Garden view', 'Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises – 1 space', '32-inch HDTV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning']",1.0,1.0
5915032,29.0,28.0,0.0,0.0,25.0,24.0,18.0,30.0,13.0,6.0,25.0,28.0,26.0,False,30.31157,-81.72361,False,"['Kitchen', 'Wifi', 'Free parking on premises', '50 inch HDTV with Hulu', 'Washer', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Private backyard', 'Carbon monoxide alarm']",1.0,1.0
