ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
451724,299.0,425.0,425.0,425.0,425.0,425.0,199.0,155.0,299.0,299.0,299.0,299.0,False,30.62058,-81.44064,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Pack ’n play/Travel crib', 'Carbon monoxide alarm']",4.0,4.0
1566731,89.0,150.0,150.0,150.0,,,,89.0,89.0,89.0,89.0,89.0,False,30.3115,-81.58579,True,"['River view', 'Waterfront', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with Netflix', 'Window AC unit', 'Exterior security cameras on property', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
1699207,89.0,84.0,84.0,89.0,93.0,98.0,89.0,89.0,89.0,89.0,89.0,89.0,False,30.31411,-81.71286,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '40-inch HDTV with Chromecast, Hulu, Netflix, Roku', 'Window AC unit', 'Bath', 'Private back garden – Fully fenced', 'Indoor fireplace: electric', 'Exterior security cameras on property']",1.0,1.0
1699210,199.0,89.0,89.0,89.0,185.0,185.0,199.0,199.0,199.0,199.0,199.0,199.0,False,30.31469,-81.71304,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Pets allowed', '42 inch HDTV with Disney+, Hulu, Netflix, Roku', 'Window AC unit', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
2127884,214.0,232.0,233.0,,,,245.0,245.0,245.0,245.0,252.0,224.0,False,30.68959,-81.45571,False,"['Marina view', 'River view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '60-inch HDTV with Amazon Prime Video, Netflix, cable/satellite TV', 'Washing machine', 'Dryer', 'Exterior security cameras on property']",3.0,2.5
4287621,1095.0,295.0,295.0,1410.0,1471.0,1395.0,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0,False,30.596,-81.4619,True,"['River view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer –\xa0In unit', 'Dryer –\xa0In unit']",3.0,2.0
4683773,99.0,295.0,295.0,139.0,147.0,144.0,99.0,99.0,99.0,99.0,99.0,99.0,False,30.67267,-81.43204,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV', 'Lift', 'Washing machine – In unit', 'Carbon monoxide alarm']",3.0,2.0
5116900,76.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.0,81.0,76.0,False,30.3101,-81.68991,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
5785148,190.0,120.0,120.0,300.0,250.0,250.0,198.0,193.0,207.0,192.0,192.0,190.0,False,,,,,2.0,1.5
5899683,75.0,65.0,65.0,65.0,99.0,99.0,75.0,75.0,75.0,75.0,75.0,75.0,False,30.35082,-81.39838,False,"['Courtyard view', 'Garden view', 'Shared beach access', 'Kitchen', 'Wifi', 'Free driveway parking on premises – 1 space', '32-inch HDTV', 'Free washer – In building', 'Free dryer – In building', 'Central air conditioning']",1.0,1.0
