ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
212906,,10.0,11.0,21.0,26.0,31.0,26.0,20.0,18.0,12.0,,,89.0,False,25.76098,-80.26033,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '65 inch HDTV with Netflix, Roku', 'Free washer – In building', 'Free dryer – In building', 'AC - split type ductless system']",1.0,1.0
222181,20.0,0.0,0.0,0.0,3.0,28.0,8.0,9.0,19.0,0.0,18.0,2.0,92.0,False,25.84454,-80.18748,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours', 'HDTV with Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,2.0
252001,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,90.0,False,,,,,,
278122,19.0,2.0,19.0,10.0,0.0,0.0,1.0,2.0,23.0,13.0,15.0,25.0,66.0,False,25.76889,-80.13341,False,"['Kitchen', 'Wifi', 'Pool', 'Hot tub', 'Pets allowed', 'TV with standard cable', 'Elevator', 'Air conditioning', 'Luggage dropoff allowed', 'Carbon monoxide alarm']",1.0,1.0
292643,28.0,3.0,13.0,13.0,23.0,21.0,26.0,10.0,25.0,29.0,30.0,30.0,63.0,False,25.7734,-80.135,True,"['Courtyard view', 'Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with standard cable', 'Exterior security cameras on property']",2.0,2.0
346667,12.5,1.0,2.0,26.5,21.0,24.5,29.5,28.0,29.5,17.5,16.5,18.0,68.0,False,25.76003,-80.22217,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Pack ’n play/Travel crib', 'Hair dryer']",2.0,1.0
407750,31.0,25.0,28.0,17.0,22.0,29.0,30.0,23.0,25.0,28.0,31.0,29.0,83.0,False,25.7822,-80.1423,False,"['Bay view', 'City skyline view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Shared outdoor pool - available all year, open specific hours, heated', '42 inch HDTV with standard cable', 'Elevator', 'Central air conditioning']",1.0,1.0
431837,6.0,0.0,0.0,15.0,26.0,29.0,30.0,7.0,26.0,23.0,19.0,5.0,20.0,False,25.7734,-80.135,True,"['Courtyard view', 'Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with standard cable', 'Exterior security cameras on property', 'Carbon monoxide alarm']",0.0,1.0
431884,0.0,4.0,0.0,29.0,14.0,28.0,25.0,8.0,20.0,14.0,19.0,2.0,98.0,False,25.7734,-80.135,True,"['Courtyard view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch HDTV with standard cable', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
431885,23.0,4.0,13.0,13.0,6.0,25.0,29.0,12.0,0.0,16.0,29.0,24.0,87.0,False,25.7734,-80.135,True,"['Courtyard view', 'Beach access – Beachfront', 'Kitchen', 'Fast wifi – 96 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with standard cable', 'Exterior security cameras on property', 'Carbon monoxide alarm']",0.0,1.0
650708,23.0,30.0,31.0,31.0,30.0,25.0,15.0,11.0,21.0,20.0,21.0,24.0,20.0,False,,,,,1.0,1.0
658757,28.0,27.0,31.0,19.0,17.0,12.0,25.0,21.0,8.0,16.0,30.0,31.0,78.0,False,25.7732,-80.1352,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Shared pool - open specific hours', 'HDTV with standard cable', 'Elevator', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",1.0,1.0
672834,21.0,26.0,20.0,23.0,30.0,15.0,,,,,23.0,18.0,30.0,False,25.77416,-80.13572,True,"['Kitchen', 'Wifi', 'Shared pool', 'TV with Hulu, Netflix', 'Washing machine', 'Dryer', 'Air conditioning', 'Shared patio or balcony', 'Shared back garden – Fully fenced', 'Exterior security cameras on property']",1.0,1.0
780969,27.0,13.0,29.0,24.0,27.0,14.0,8.0,12.0,26.0,25.0,20.0,30.0,65.0,False,25.7734,-80.1352,True,"['Garden view', 'Beach access – Beachfront', 'Kitchen', 'Fast wifi – 64 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with standard cable', 'Paid washer – In building', 'Exterior security cameras on property']",1.0,1.0
794199,13.0,11.0,31.0,26.0,30.0,9.0,23.0,27.0,25.0,13.0,18.0,29.0,85.0,False,25.7734,-80.1352,True,"['Courtyard view', 'Beach access – Beachfront', 'Kitchen', 'Fast wifi – 95 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with premium cable', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
1742830,14.0,0.0,0.0,0.0,0.0,23.0,31.0,29.0,29.0,6.0,0.0,20.0,53.0,False,25.7734,-80.1352,True,"['Courtyard view', 'Beach access – Beachfront', 'Kitchen', 'Fast wifi – 78 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with standard cable', 'Exterior security cameras on property', 'Carbon monoxide alarm']",0.0,1.0
1871315,10.0,28.0,5.0,8.0,23.0,31.0,1.0,1.0,7.0,0.0,14.0,5.0,80.0,False,,,,,1.0,0.5
1890726,25.0,10.0,27.0,27.0,0.0,6.0,13.0,15.0,2.0,12.0,19.0,21.0,64.0,False,25.7734,-80.1352,True,"['Courtyard view', 'Garden view', 'Beach access – Beachfront', 'Kitchen', 'Fast wifi – 84 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
2075893,30.0,10.0,5.0,16.0,26.0,15.0,14.0,22.0,8.0,29.0,29.0,31.0,71.0,False,25.77207,-80.17718,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'Hot tub', 'TV with standard cable', 'Elevator', 'Washer', 'Dryer', 'Carbon monoxide alarm']",1.0,1.0
