ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
212906,,110.0,110.0,110.0,120.0,120.0,120.0,120.0,120.0,120.0,,,False,25.76098,-80.26033,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '65 inch HDTV with Netflix, Roku', 'Free washer – In building', 'Free dryer – In building', 'AC - split type ductless system']",1.0,1.0
222181,125.0,195.0,195.0,195.0,195.0,232.0,249.0,250.0,250.0,250.0,250.0,250.0,False,25.84454,-80.18748,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours', 'HDTV with Netflix', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property', 'Carbon monoxide alarm']",2.0,2.0
252001,128.0,200.0,200.0,200.0,200.0,200.0,85.0,85.0,128.0,128.0,128.0,128.0,False,,,,,,
278122,76.0,299.0,299.0,299.0,299.0,299.0,299.0,299.0,72.0,71.0,68.0,76.0,False,25.76889,-80.13341,False,"['Kitchen', 'Wifi', 'Pool', 'Hot tub', 'Pets allowed', 'TV with standard cable', 'Elevator', 'Air conditioning', 'Luggage dropoff allowed', 'Carbon monoxide alarm']",1.0,1.0
292643,250.0,300.0,300.0,300.0,127.0,109.0,116.0,124.0,250.0,250.0,250.0,250.0,False,25.7734,-80.135,True,"['Courtyard view', 'Garden view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with standard cable', 'Exterior security cameras on property']",2.0,2.0
346667,179.0,135.0,125.0,148.0,164.5,170.0,187.5,207.0,179.0,179.0,179.0,179.0,False,25.76003,-80.22217,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Pack ’n play/Travel crib', 'Hair dryer']",2.0,1.0
407750,181.0,249.0,249.0,249.0,249.0,101.0,86.0,108.0,180.0,180.0,181.0,181.0,False,25.7822,-80.1423,False,"['Bay view', 'City skyline view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Shared outdoor pool - available all year, open specific hours, heated', '42 inch HDTV with standard cable', 'Elevator', 'Central air conditioning']",1.0,1.0
431837,138.0,130.0,145.0,160.0,160.0,160.0,160.0,160.0,170.0,170.0,170.0,190.0,False,25.7734,-80.135,True,"['Courtyard view', 'Shared beach access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with standard cable', 'Exterior security cameras on property', 'Carbon monoxide alarm']",0.0,1.0
431884,123.0,160.0,180.0,180.0,180.0,180.0,180.0,180.0,195.0,195.0,195.0,150.0,False,25.7734,-80.135,True,"['Courtyard view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch HDTV with standard cable', 'Exterior security cameras on property', 'Carbon monoxide alarm']",1.0,1.0
431885,98.0,155.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,122.0,False,25.7734,-80.135,True,"['Courtyard view', 'Beach access – Beachfront', 'Kitchen', 'Fast wifi – 96 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '40 inch TV with standard cable', 'Exterior security cameras on property', 'Carbon monoxide alarm']",0.0,1.0
