ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
21674,7.5,16.0,28.5,27.0,27.0,29.5,31.0,30.0,26.0,10.5,17.0,11.0,14.5,False,33.81292,-78.68432,True,"['Ocean view', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Paid washer', 'Dryer', 'Air conditioning', 'Backyard', 'Carbon monoxide alarm']",1.0,1.0
1059341,0.0,0.0,3.0,2.0,0.0,22.0,27.0,0.0,0.0,0.0,10.0,10.0,51.5,False,33.79827,-78.72284,False,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open specific hours', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit']",2.0,2.0
2739346,0.0,29.0,7.0,5.0,3.0,16.0,27.0,7.0,0.0,0.0,0.0,0.0,47.0,False,33.8017,-78.7129,False,"['Ocean view', 'Resort view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV with standard cable', 'Carbon monoxide alarm']",3.0,2.0
2755775,15.5,29.0,31.0,29.0,13.0,26.5,28.5,19.5,5.5,6.5,15.0,15.5,45.5,False,33.80198,-78.71336,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool – available all year', 'Shared hot tub', 'TV with standard cable/satellite', 'Lift', 'Central air conditioning', 'Carbon monoxide alarm']",1.0,1.0
2799255,11.5,28.0,25.0,21.5,23.0,28.5,27.5,25.0,17.5,26.0,3.5,10.0,16.5,False,33.81041,-78.71317,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",4.0,3.0
3105601,15.5,29.0,8.0,5.0,2.0,16.0,19.0,7.0,0.0,0.0,0.0,0.0,34.5,False,33.8017,-78.7129,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable', 'Elevator', 'Washer', 'Carbon monoxide alarm']",3.0,2.0
3737579,18.0,29.0,30.5,30.0,29.5,29.0,30.0,28.0,27.0,25.5,19.5,24.5,16.5,False,33.8328,-78.6803,True,"['Shared beach access', 'Kitchen', 'Wifi – 38 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Shared outdoor pool - available seasonally, open specific hours', 'Shared hot tub - available seasonally, open specific hours', '55 inch TV with Amazon Prime Video, Netflix, standard cable', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
11009873,31.0,29.0,31.0,30.0,22.5,30.0,28.5,22.5,13.0,5.0,7.5,17.0,36.5,False,33.8151,-78.6809,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub']",2.0,2.0
11632839,31.0,29.0,30.5,20.0,24.0,20.5,27.5,27.0,29.0,30.5,29.5,30.5,23.0,False,33.8091,-78.696,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', 'TV with standard cable', 'Elevator', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,2.0
11654607,15.5,29.0,0.0,0.0,4.0,0.0,11.0,14.0,1.5,18.5,20.0,18.0,19.0,False,,,,,4.0,3.0
12342839,0.0,0.0,7.0,19.5,18.5,13.0,30.5,15.5,10.5,13.5,11.5,0.0,26.0,False,33.8225,-78.6648,True,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'Pets allowed', 'TV with standard cable', 'Washer', 'Carbon monoxide alarm']",4.0,2.5
