ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
21674,87.0,79.0,80.0,83.0,98.5,102.0,111.5,101.5,97.5,79.0,93.0,98.0,False,33.81292,-78.68432,True,"['Ocean view', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Paid washer', 'Dryer', 'Air conditioning', 'Backyard', 'Carbon monoxide alarm']",1.0,1.0
1059341,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,190.0,150.0,150.0,False,33.79827,-78.72284,False,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open specific hours', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit']",2.0,2.0
2739346,312.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,250.0,247.0,False,33.8017,-78.7129,False,"['Ocean view', 'Resort view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV with standard cable', 'Carbon monoxide alarm']",3.0,2.0
2755775,100.0,130.0,130.0,130.0,130.0,130.5,133.0,130.5,111.0,110.0,135.0,98.0,False,33.80198,-78.71336,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool – available all year', 'Shared hot tub', 'TV with standard cable/satellite', 'Lift', 'Central air conditioning', 'Carbon monoxide alarm']",1.0,1.0
2799255,180.5,159.0,159.0,239.0,225.5,253.0,277.0,265.0,205.5,182.0,155.0,194.5,False,33.81041,-78.71317,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Private patio or balcony', 'Exterior security cameras on property']",4.0,3.0
3105601,195.5,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,199.0,208.0,218.0,False,33.8017,-78.7129,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable', 'Elevator', 'Washer', 'Carbon monoxide alarm']",3.0,2.0
3737579,82.5,100.0,100.0,100.0,100.5,121.5,123.0,104.0,104.0,100.0,96.5,91.0,False,33.8328,-78.6803,True,"['Shared beach access', 'Kitchen', 'Wifi – 38 Mbps', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', 'Shared outdoor pool - available seasonally, open specific hours', 'Shared hot tub - available seasonally, open specific hours', '55 inch TV with Amazon Prime Video, Netflix, standard cable', 'Free washer – In unit', 'Exterior security cameras on property']",2.0,2.0
11009873,214.0,125.0,125.0,144.0,162.5,176.0,186.0,175.0,154.5,143.0,193.0,203.0,False,33.8151,-78.6809,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub']",2.0,2.0
11632839,140.0,135.0,84.0,140.5,162.5,186.0,202.5,167.5,155.0,87.5,141.0,141.5,False,33.8091,-78.696,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared outdoor pool - available seasonally, open specific hours', 'TV with standard cable', 'Elevator', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,2.0
11654607,347.5,350.0,350.0,350.0,350.0,350.0,425.0,352.5,300.0,265.5,355.5,382.5,False,,,,,4.0,3.0
12342839,336.5,393.0,393.0,366.5,408.5,534.0,571.5,485.0,374.0,393.0,391.0,330.0,False,33.8225,-78.6648,True,"['Ocean view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private pool', 'Pets allowed', 'TV with standard cable', 'Washer', 'Carbon monoxide alarm']",4.0,2.5
13798882,214.0,,,,,209.5,205.0,207.0,204.0,207.0,210.5,212.0,False,33.80115,-78.71306,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Patio or balcony', 'Carbon monoxide alarm']",3.0,2.0
13927673,361.0,499.0,499.0,381.0,389.5,431.5,472.0,425.0,355.5,499.0,300.5,324.5,False,33.8282,-78.641,True,"['Ocean view', 'Sea view', 'Private beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking garage on premises', 'Shared outdoor pool - available all year, rooftop', '55 inch HDTV with Amazon Prime Video, Netflix, standard cable', 'Elevator']",2.0,2.0
14404227,312.5,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,427.0,482.0,227.0,False,33.82654,-78.65077,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable', 'Elevator', 'Washer', 'Exterior security cameras on property']",3.0,3.0
14875310,225.0,,82.0,82.0,82.0,82.0,217.0,196.0,171.0,153.5,125.0,157.0,False,33.84089,-78.64599,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Children’s books and toys']",3.0,2.0
15223097,103.5,95.0,105.0,105.5,130.0,149.5,152.5,115.0,105.5,95.0,99.0,109.5,False,33.81689,-78.67702,false,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable', 'Elevator', 'Air conditioning', 'Carbon monoxide alarm']",1.0,1.0
16298405,392.5,499.0,478.0,497.0,531.0,647.0,656.0,538.5,508.5,471.5,415.0,389.0,False,33.80894,-78.70307,True,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool - available all year, open 24 hours', 'Private hot tub - available all year, open 24 hours', 'Pets allowed', 'TV with standard cable', 'Elevator']",6.0,5.5
16709543,256.0,375.0,375.0,320.5,364.0,458.0,500.5,365.5,408.5,284.0,375.0,256.0,False,33.81108,-78.69574,True,"['Ocean view', 'Shared beach access – Beachfront', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool - available all year, pool toys', 'Private hot tub', 'Pets allowed', 'Exterior security cameras on property', 'Carbon monoxide alarm']",4.0,2.0
16716869,690.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,939.0,831.5,692.5,False,33.81734,-78.67929,False,"['Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Pool', 'TV with standard cable', 'Elevator', 'Washer', 'Carbon monoxide alarm', 'Smoke alarm']",7.0,5.5
16716871,809.5,952.0,952.0,952.0,952.0,952.5,952.5,952.5,952.5,952.5,789.0,728.0,False,33.83056,-78.64004,False,"['Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV with standard cable', 'Washer', 'Carbon monoxide alarm', 'Smoke alarm']",8.0,7.0
16716882,371.5,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,483.0,420.0,369.0,False,33.81536,-78.68416,False,"['Ocean view', 'Sea view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'Carbon monoxide alarm']",5.0,5.0
17033941,266.5,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,241.0,140.0,False,33.80715,-78.69898,False,"['Ocean view', 'Sea view', 'Beach access – Beachfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', 'TV with standard cable']",3.0,3.0
