ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
329997,17.5,27.0,29.5,28.5,30.0,28.0,29.5,30.0,28.5,29.0,24.0,20.0,25.5,False,36.1758,-86.7995,True,"['Courtyard view', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '42 inch HDTV with Amazon Prime Video, Netflix, Roku', 'AC - split type ductless system', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Luggage dropoff allowed', 'Hair dryer']",1.0,1.0
1006989,20.0,18.0,22.5,29.0,26.5,28.0,26.5,22.0,27.0,20.5,22.0,16.0,73.5,False,36.17502,-86.73475,True,"['Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator', 'Exterior security cameras on property']",1.0,1.0
1009550,17.0,17.0,30.5,29.5,30.0,29.5,27.5,21.0,25.5,29.5,9.0,20.0,65.0,False,36.21239,-86.70439,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable, Apple TV', 'Free washer – In unit', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
1209395,1.5,10.0,21.0,24.0,20.0,28.0,17.0,21.5,28.0,26.5,20.5,10.5,67.5,False,,,,,1.0,1.0
1300670,17.0,16.0,25.0,20.0,24.0,28.5,21.0,20.5,25.0,20.5,21.5,14.0,61.5,False,36.32249,-86.72652,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Backyard', 'Carbon monoxide alarm']",1.0,1.0
1537921,6.0,14.0,22.0,23.5,25.0,21.5,12.5,17.0,21.5,20.0,14.0,13.5,57.5,False,36.1676,-86.7371,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 1 space', 'HDTV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Private patio or balcony', 'Exterior security cameras on property']",1.0,1.0
1546787,10.0,7.0,22.5,18.5,20.0,20.0,19.5,22.5,25.5,24.0,19.5,11.5,37.0,False,36.1299,-86.7925,True,"['Garden view', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with Roku, standard cable', 'Air conditioning', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Exterior security cameras on property']",0.0,1.0
1550764,12.5,22.0,29.0,28.5,28.5,29.5,26.0,21.0,28.0,30.0,25.5,22.5,48.0,False,36.1723,-86.7925,True,"['City skyline view', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', '45 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix, Roku', 'Central air conditioning', 'Private backyard – Fully fenced', 'Luggage dropoff allowed', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
1557535,3.0,6.0,3.0,12.5,18.0,22.5,16.5,16.5,19.5,18.5,6.0,6.0,56.5,False,36.22621,-86.7103,True,"['Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', '65 inch HDTV', 'Washer', 'Dryer', 'Air conditioning']",4.0,2.5
1583339,1.0,1.0,12.0,13.0,8.0,13.5,11.0,19.0,7.5,11.5,6.5,3.5,47.5,False,36.1783,-86.7443,True,"['Kitchen', 'Fast wifi – 473 Mbps', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Patio or balcony']",3.0,2.5
1583557,5.5,20.0,24.5,27.0,29.0,26.5,18.5,21.0,29.0,31.0,27.0,21.0,57.0,False,36.1783,-86.7443,True,"['Fast wifi – 66 Mbps', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Lock on bedroom door']",2.0,1.5
1625117,0.0,,27.0,28.0,18.5,21.5,20.5,23.5,21.0,18.0,18.0,20.0,60.0,False,,,,,1.0,1.0
