ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
329997,87.5,95.0,102.5,105.5,102.5,106.5,108.5,106.0,112.0,85.0,92.0,87.5,False,36.1758,-86.7995,True,"['Courtyard view', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '42 inch HDTV with Amazon Prime Video, Netflix, Roku', 'AC - split type ductless system', 'Private patio or balcony', 'Private backyard – Fully fenced', 'Luggage dropoff allowed', 'Hair dryer']",1.0,1.0
1006989,86.5,85.0,88.0,87.5,90.5,89.5,84.5,88.5,88.5,85.0,88.0,114.0,False,36.17502,-86.73475,True,"['Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Refrigerator', 'Exterior security cameras on property']",1.0,1.0
1009550,102.5,110.0,110.5,110.0,109.5,112.5,111.5,110.5,112.0,110.0,163.0,105.5,False,36.21239,-86.70439,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with standard cable, Apple TV', 'Free washer – In unit', 'Free dryer – In building', 'Central air conditioning', 'Bathtub', 'Exterior security cameras on property']",2.0,1.0
1209395,86.0,79.0,79.0,79.0,79.0,110.0,110.0,108.0,111.5,79.0,88.5,115.5,False,,,,,1.0,1.0
1300670,146.0,139.0,137.0,137.0,137.0,140.0,137.0,137.0,137.0,137.0,195.0,137.0,False,36.32249,-86.72652,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony', 'Backyard', 'Carbon monoxide alarm']",1.0,1.0
1537921,112.0,115.0,117.5,119.5,119.5,122.5,118.5,118.0,118.5,117.0,117.0,112.0,False,36.1676,-86.7371,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises – 1 space', 'HDTV with standard cable', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Private patio or balcony', 'Exterior security cameras on property']",1.0,1.0
1546787,88.0,90.0,99.5,102.5,110.0,108.5,102.0,101.5,107.5,90.0,105.0,93.0,False,36.1299,-86.7925,True,"['Garden view', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'TV with Roku, standard cable', 'Air conditioning', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Exterior security cameras on property']",0.0,1.0
1550764,82.5,85.0,114.0,95.5,101.5,103.5,104.0,105.0,128.0,85.0,87.5,88.5,False,36.1723,-86.7925,True,"['City skyline view', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises – 2 spaces', '45 inch HDTV with Amazon Prime Video, Disney+, HBO Max, Netflix, Roku', 'Central air conditioning', 'Private backyard – Fully fenced', 'Luggage dropoff allowed', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
1557535,530.5,645.0,672.0,672.0,672.0,708.5,663.5,624.0,643.5,645.0,649.0,684.5,False,36.22621,-86.7103,True,"['Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Hot tub', '65 inch HDTV', 'Washer', 'Dryer', 'Air conditioning']",4.0,2.5
1583339,380.5,350.0,350.0,350.0,350.0,388.5,388.0,387.5,387.5,388.5,466.0,400.0,False,36.1783,-86.7443,True,"['Kitchen', 'Fast wifi – 473 Mbps', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bathtub', 'Patio or balcony']",3.0,2.5
1583557,119.0,120.0,140.0,140.0,140.0,140.0,140.0,140.0,140.0,120.0,132.5,140.5,False,36.1783,-86.7443,True,"['Fast wifi – 66 Mbps', 'Dedicated workspace', 'Free parking on premises', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Lock on bedroom door']",2.0,1.5
1625117,263.0,,121.5,124.5,135.0,134.0,136.5,121.5,132.5,172.0,142.0,175.5,False,,,,,1.0,1.0
1661560,215.5,195.0,195.0,195.0,195.0,205.5,212.5,215.0,206.0,195.0,221.0,188.5,False,36.1762,-86.7351,False,"['Golf course view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Amazon Prime Video, Apple TV, Disney+, Hulu, Netflix, Roku, standard cable/satellite, DVD player', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Bath']",2.0,1.0
1759514,1144.5,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1187.5,1187.5,1133.5,1146.5,False,35.9728,-87.0135,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Luggage dropoff allowed']",4.0,2.5
1793477,112.0,99.0,99.0,120.0,119.5,118.5,118.0,121.0,117.5,99.0,115.5,136.5,False,,,,,1.0,1.0
