ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
122773,111.0,121.0,120.5,118.5,101.0,100.0,99.5,101.0,101.0,127.0,117.5,137.0,False,33.47262,-112.06499,True,"['Kitchen', 'Wifi – 49 Mbps', 'Free on-street parking', 'Pets allowed', 'TV with standard cable/satellite', 'Window AC unit', 'Private patio or balcony', 'Private back garden – Fully fenced', 'Luggage drop-off allowed', 'Cot']",1.0,1.0
267547,57.0,110.0,104.5,103.0,104.5,104.5,104.5,104.5,104.5,104.5,196.5,111.5,False,33.57693,-112.07162,False,"['Mountain view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Shared pool', 'TV with standard cable/satellite', 'Air conditioning', 'Private patio or balcony', 'Garden', 'Hair dryer']",1.0,1.0
1177449,4604.0,,,,,,,,,,2205.0,3552.0,False,33.49042,-112.05875,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pool', 'TV', 'Lift', 'Washing machine', 'Dryer', 'Air conditioning', 'Carbon monoxide alarm']",1.0,1.0
1593839,2136.5,174.0,157.5,164.5,164.5,164.5,164.5,164.5,164.5,164.5,853.0,2197.5,False,33.47446,-112.24057,True,"['Courtyard view', 'Kitchen', 'Dedicated workspace', 'Ethernet connection', 'Free multistorey car park on premises – 1 space', 'Shared outdoor pool – available all year, open specific hours, lap pool', '50-inch HDTV with Amazon Prime Video, Apple TV, DVD player', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning']",3.0,1.0
1960058,0.0,,80.0,90.0,80.0,80.0,80.0,80.0,77.5,82.5,82.5,45.0,False,33.50849,-111.99967,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'Pets allowed', 'TV with standard cable', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
2094464,140.5,303.0,303.0,303.0,270.5,287.0,273.0,256.5,293.5,294.0,269.5,288.5,False,33.4501,-112.0558,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '55-inch HDTV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
2447834,93.0,150.0,150.0,150.0,150.0,132.5,132.5,125.0,125.0,125.0,162.5,175.0,False,33.48674,-112.06472,False,"['Kitchen', 'Fast wifi – 235 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '55 inch HDTV with Amazon Prime Video, Netflix', 'Washer', 'Dryer', 'Central air conditioning', 'Patio or balcony']",2.0,1.0
3810472,179.0,,,148.5,120.5,120.0,119.5,119.5,128.0,132.5,151.0,179.0,False,33.49269,-112.00306,True,"['Garden view', 'Wifi', 'Dedicated workspace', 'Free driveway parking on premises', 'Private outdoor pool - saltwater', 'Private hot tub', 'TV with Netflix, Amazon Prime Video, premium cable', 'Central air conditioning', 'Private patio or balcony', 'Private backyard – Fully fenced']",1.0,1.0
4261748,125.0,,160.0,133.0,92.0,99.0,99.0,99.0,99.0,99.0,112.0,189.5,False,33.29993,-112.06026,False,"['Resort view', 'Mountain view', 'Kitchen', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",2.0,1.0
4358593,194.0,,,,0.0,321.0,321.0,321.0,321.0,321.0,238.0,202.0,False,,,,,2.0,1.0
10121500,73.0,92.0,117.0,108.0,109.0,108.5,108.5,108.5,108.5,109.0,107.5,123.0,False,33.50509,-112.08882,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', '50 inch HDTV with Amazon Prime Video, Netflix, Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
10631696,129.5,239.0,239.0,198.5,199.5,194.0,195.5,203.5,198.0,239.0,215.0,206.0,False,33.44887,-112.06186,False,"['City skyline view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'HDTV with Fire TV, standard cable', 'Washer', 'Dryer', 'Exterior security cameras on property']",3.0,2.0
11868322,140.5,110.0,95.5,126.0,122.5,119.5,140.5,121.0,120.5,144.5,124.0,148.5,False,33.4553,-112.06365,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Hair dryer', 'Refrigerator']",1.0,1.0
12043299,506.5,1250.0,1250.0,1250.0,1250.0,1250.0,1250.0,1100.0,1100.0,1100.0,950.0,1088.5,False,,,,,,
12450699,87.0,79.0,79.0,79.0,94.5,94.5,94.5,103.0,99.5,99.5,110.5,127.0,False,,,,,3.0,2.0
12854118,79.5,85.0,85.0,85.0,116.5,115.0,111.5,110.0,115.0,116.0,112.5,185.0,False,33.44911,-112.0607,True,"['Wifi', 'Dedicated workspace', 'Free parking on premises', 'HDTV with standard cable', 'Central air conditioning', 'Bathtub', 'Private patio or balcony', 'High chair', 'Hair dryer', 'Exterior security cameras on property']",2.0,1.0
13490885,217.0,,0.0,100.0,100.0,100.0,100.0,100.0,127.0,180.0,204.0,204.0,False,33.48773,-112.05394,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV with Roku', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony']",2.0,1.5
13943521,94.0,65.0,65.0,65.0,65.0,67.5,67.5,65.0,69.5,80.0,64.0,90.5,False,33.47987,-112.06685,False,"['City skyline view', 'Mountain view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - open specific hours', '56 inch HDTV with Roku', 'Elevator', 'Free washer – In unit']",1.0,1.0
13962197,43.0,75.0,75.0,75.0,75.0,70.0,75.5,77.0,77.5,87.5,77.0,111.5,False,33.49233,-112.06722,False,"['Kitchen', 'Wifi', 'TV', 'Washer', 'Dryer', 'Air conditioning', 'Bathtub', 'Patio or balcony', 'Backyard', 'Hair dryer']",1.0,1.0
14430819,75.5,179.5,207.0,175.0,155.5,148.0,156.0,156.5,133.5,149.0,212.5,142.0,False,33.67413,-112.10398,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private pool', 'HDTV with Netflix', 'Washer', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
15401306,200.0,,,,,,,,,,,,False,,,,,2.0,1.0
15401307,59.5,1000.0,576.5,560.5,556.0,557.5,548.0,548.0,548.0,548.0,99.0,105.5,False,33.4983,-112.0022,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Free washer – In unit', 'Free dryer – In unit', 'Air conditioning', 'Bathtub', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
15640791,97.0,195.0,233.5,201.0,199.5,198.0,193.0,183.5,186.0,186.0,199.0,250.5,False,33.50546,-112.22983,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available seasonally, open 24 hours', '65 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
15799226,183.5,300.0,300.0,300.0,300.0,226.5,227.5,249.5,239.5,249.5,308.5,315.0,False,33.50013,-112.00133,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Private patio or balcony']",3.0,2.0
16177841,101.5,112.0,112.0,97.5,97.0,82.5,82.0,82.0,87.0,75.0,97.5,112.5,False,33.58903,-112.12071,True,"['Lake access', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'Shared hot tub', 'TV with standard cable, Roku', 'Elevator', 'Washer']",2.0,2.0
16515709,70.0,,100.0,83.0,36.5,47.5,47.5,48.0,48.0,48.5,57.0,91.0,False,33.51434,-112.1014,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Private patio or balcony', 'Children’s books and toys', 'Hair dryer', 'Exterior security cameras on property']",0.0,1.0
16689936,40.0,100.0,100.0,95.0,90.0,90.0,90.0,90.0,89.0,100.0,92.0,104.5,False,33.45951,-112.06116,True,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', '15 inch HDTV with Netflix, Amazon Prime Video, Hulu, HBO Max, Apple TV, Roku', 'Central air conditioning', 'Private patio or balcony', 'Private backyard – Not fully fenced', 'Luggage dropoff allowed']",1.0,1.0
16961617,155.0,225.0,225.0,225.0,225.0,225.0,225.0,205.0,225.0,225.0,238.5,257.5,False,33.49068,-111.99243,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', '48 inch HDTV with Roku', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Backyard']",2.0,1.0
17083706,38.0,79.0,79.0,86.0,68.5,62.5,63.5,63.0,66.0,68.0,73.5,82.0,False,33.47384,-112.06419,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', 'TV with standard cable', 'Washer', 'Dryer', 'AC - split type ductless system', 'Patio or balcony', 'Hair dryer']",1.0,1.0
17270170,199.0,,,199.0,199.0,199.0,151.0,151.0,151.0,199.0,199.0,200.5,False,,,,,2.0,2.0
17389476,130.0,,,,,,,,,,715.0,219.0,False,,,,,,
17611439,142.0,230.0,230.0,205.5,200.5,195.0,203.5,181.0,189.5,199.5,228.0,209.0,False,33.51008,-111.98882,False,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared pool', 'TV', 'Washing machine', 'Dryer', 'Air conditioning', 'Private patio or balcony']",3.0,2.0
17683808,66.0,99.0,108.5,112.0,116.0,108.0,106.5,100.5,109.0,99.0,106.0,114.5,False,33.49746,-112.09064,True,"['Courtyard view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Shared outdoor pool - available all year, open specific hours, heated', 'Shared hot tub - available all year, open specific hours', '50 inch HDTV with Amazon Prime Video, Netflix, Roku', 'Free washer – In unit', 'Exterior security cameras on property']",1.0,1.0
17714609,306.0,,,,,,,,,,297.0,313.0,False,33.63532,-111.98237,True,"['Garden view', 'Kitchen', 'Wi-Fi', 'Free driveway parking on premises – 2 spaces', 'Private outdoor pool – heated', '60-inch HDTV with Hulu', 'Free washing machine – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",4.0,3.0
17861798,149.0,219.0,219.0,508.5,353.5,319.0,315.0,300.5,317.5,314.5,235.5,255.5,False,33.76955,-112.11092,True,"['Desert view', 'Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, heated', 'Private hot tub', '60 inch HDTV with standard cable', 'Exterior security cameras on property']",6.0,3.5
17909330,48.0,120.0,120.0,122.5,109.0,111.5,112.0,118.0,119.5,120.0,119.0,136.0,False,33.45589,-112.06318,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Patio or balcony']",1.0,1.0
17956947,136.0,275.0,285.0,285.0,285.0,285.0,285.0,285.0,285.0,275.0,269.5,278.5,False,33.30973,-112.02762,True,"['Courtyard view', 'Desert view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Pool', 'Hot tub', '60 inch HDTV with Roku', 'Exterior security cameras on property']",4.0,2.5
18249832,391.0,0.0,150.0,172.0,161.0,162.5,171.5,150.0,153.0,155.0,287.5,199.0,False,33.6257,-111.9749,True,"['Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool', 'Private hot tub', 'Pets allowed', 'TV', 'Washer', 'Exterior security cameras on property']",4.0,2.5
18250782,112.0,400.0,330.0,305.5,283.5,266.5,286.5,259.0,258.0,297.0,301.5,312.0,False,33.66378,-112.13293,True,"['Kitchen', 'Fast wifi – 133 Mbps', 'Dedicated workspace', 'Free carport on premises', 'Pets allowed', '55 inch HDTV', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Exterior security cameras on property']",3.0,2.0
