ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
11398,0.0,3.0,7.0,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,85.0,False,29.4145,-98.4918,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer']",1.0,1.0
389920,16.0,24.0,31.0,30.0,31.0,1.0,13.0,0.0,2.0,5.0,9.5,18.5,54.0,False,,,,,3.0,2.0
1883124,3.5,23.0,26.0,21.0,13.5,11.5,16.0,25.5,10.5,2.5,7.0,8.5,56.0,False,29.4174,-98.4698,False,"['Kitchen', 'Fast wifi – 224 Mbps', 'Free parking on premises', '40 inch HDTV with Roku', 'Washer', 'Dryer', 'Air conditioning', 'Private backyard – Fully fenced', 'Crib', 'Pack ’n play/Travel crib']",3.0,1.0
1977874,1.5,14.0,29.0,16.5,24.5,29.0,27.0,20.0,16.0,15.5,10.5,12.0,29.5,False,29.5159,-98.67219,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool – available all year, open 24 hours', 'Private hot tub – available all year, open 24 hours', 'Washing machine', 'Dryer', 'Air conditioning', 'Bath', 'Exterior security cameras on property']",4.0,2.5
2266096,6.5,18.0,29.0,26.0,21.5,24.0,28.5,27.5,16.0,22.0,20.5,13.5,61.0,False,29.39617,-98.45549,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with Netflix', 'AC - split type ductless system', 'Bathtub', 'Shared backyard – Not fully fenced', 'Hair dryer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",0.0,1.0
2540198,7.5,20.0,27.0,26.5,21.0,16.5,19.5,15.5,7.0,14.0,15.5,11.5,34.0,False,29.40104,-98.48811,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', '42 inch TV with Roku', 'EV charger - level 2, tesla only', 'AC - split type ductless system', 'Bathtub', 'Shared patio or balcony']",1.0,1.0
2743399,4.0,18.0,29.0,29.0,22.0,13.0,13.0,10.5,18.0,18.0,22.0,26.0,35.5,False,29.40779,-98.4875,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
2848216,14.5,5.0,16.0,9.0,6.5,16.5,23.0,9.5,3.5,0.0,11.0,18.5,56.0,False,29.51257,-98.45838,False,"['Kitchen', 'Fast wifi – 209 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available seasonally, open 24 hours, lap pool, pool toys', 'Sauna', '60 inch HDTV with premium cable', 'Free washer – In building', 'Free dryer – In building', 'Exterior security cameras on property']",5.0,3.5
3229498,7.0,13.0,23.0,20.5,21.0,27.0,26.5,20.5,16.5,13.5,7.5,15.5,45.5,False,29.5081,-98.65037,True,"['Kitchen', 'Wifi', 'Free residential garage on premises', 'Private outdoor pool – available all year, open 24 hours, lap pool, pool toys', 'TV', 'Washing machine', 'Dryer', 'Air conditioning', 'Bath', 'Exterior security cameras on property']",5.0,2.5
3987748,0.0,,,,31.0,15.0,15.5,16.5,15.0,15.5,15.0,8.0,47.5,False,29.44671,-98.48511,True,"['City skyline view', 'Kitchen', 'Fast wifi – 104 Mbps', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Window AC unit']",1.0,1.0
