ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
11398,170.0,157.0,157.0,157.0,164.5,172.0,172.0,172.0,169.5,157.0,165.5,170.0,False,29.4145,-98.4918,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable', 'Washer', 'Dryer', 'Air conditioning', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer']",1.0,1.0
389920,232.0,229.0,229.0,229.0,229.0,229.0,234.0,233.0,240.5,235.0,236.5,240.0,False,,,,,3.0,2.0
1883124,119.0,145.0,145.0,145.0,124.5,134.0,144.0,147.0,148.0,147.0,125.5,118.0,False,29.4174,-98.4698,False,"['Kitchen', 'Fast wifi – 224 Mbps', 'Free parking on premises', '40 inch HDTV with Roku', 'Washer', 'Dryer', 'Air conditioning', 'Private backyard – Fully fenced', 'Crib', 'Pack ’n play/Travel crib']",3.0,1.0
1977874,286.0,248.0,248.0,269.5,268.0,277.0,275.0,273.5,275.5,248.0,243.0,267.0,False,29.5159,-98.67219,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Private outdoor pool – available all year, open 24 hours', 'Private hot tub – available all year, open 24 hours', 'Washing machine', 'Dryer', 'Air conditioning', 'Bath', 'Exterior security cameras on property']",4.0,2.5
2266096,61.0,57.0,57.0,56.5,56.0,60.5,60.5,59.0,57.5,57.0,109.0,57.5,False,29.39617,-98.45549,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with Netflix', 'AC - split type ductless system', 'Bathtub', 'Shared backyard – Not fully fenced', 'Hair dryer', 'Exterior security cameras on property', 'Carbon monoxide alarm']",0.0,1.0
2540198,76.5,77.0,77.0,77.5,76.5,76.5,77.0,76.0,76.0,77.0,76.5,78.5,False,29.40104,-98.48811,False,"['Garden view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free street parking', '42 inch TV with Roku', 'EV charger - level 2, tesla only', 'AC - split type ductless system', 'Bathtub', 'Shared patio or balcony']",1.0,1.0
2743399,92.5,96.0,99.0,95.0,93.5,96.0,96.5,92.0,96.0,96.0,96.5,93.0,False,29.40779,-98.4875,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed', 'Hair dryer', 'Exterior security cameras on property']",1.0,1.0
2848216,717.5,795.0,795.0,645.0,670.0,695.0,717.5,717.5,717.5,795.0,767.5,721.0,False,29.51257,-98.45838,False,"['Kitchen', 'Fast wifi – 209 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available seasonally, open 24 hours, lap pool, pool toys', 'Sauna', '60 inch HDTV with premium cable', 'Free washer – In building', 'Free dryer – In building', 'Exterior security cameras on property']",5.0,3.5
3229498,282.0,325.0,328.5,333.0,337.5,383.0,379.5,373.0,358.0,360.0,307.5,285.0,False,29.5081,-98.65037,True,"['Kitchen', 'Wifi', 'Free residential garage on premises', 'Private outdoor pool – available all year, open 24 hours, lap pool, pool toys', 'TV', 'Washing machine', 'Dryer', 'Air conditioning', 'Bath', 'Exterior security cameras on property']",5.0,2.5
3987748,94.0,,,,150.0,143.0,143.0,143.0,143.0,143.0,177.0,127.0,False,29.44671,-98.48511,True,"['City skyline view', 'Kitchen', 'Fast wifi – 104 Mbps', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Roku', 'Free washer – In unit', 'Free dryer – In unit', 'Central air conditioning', 'Window AC unit']",1.0,1.0
