ID,January,February,March,April,May,June,July,August,September,October,November,December,Avg. Occupany %,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
198026,27.0,0.0,26.0,31.0,23.0,28.0,0.0,20.0,29.0,28.0,30.0,20.0,73.0,False,28.00246,-82.58634,True,"['Canal view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Amazon Prime Video', 'Washer', 'Dryer', 'Central air conditioning', 'Bathtub']",3.0,3.0
613599,21.0,21.0,19.0,30.0,31.0,26.0,17.0,23.0,21.0,25.0,26.0,30.0,93.0,False,27.99085,-82.45708,True,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private hot tub', 'Pets allowed', '55 inch TV with standard cable, Roku, Fire TV, Apple TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,3.0
734739,20.0,19.0,14.0,27.0,31.0,30.0,31.0,15.0,13.0,21.0,29.0,31.0,65.0,False,27.96258,-82.44212,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable/satellite', 'Washing machine', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Hair dryer', 'Carbon monoxide alarm']",4.0,2.0
1717217,0.0,30.0,31.0,30.0,31.0,31.0,29.0,31.0,30.0,22.0,9.0,3.0,63.0,False,27.94947,-82.45831,True,"['Kitchen', 'Wifi', 'Pets allowed', 'TV with standard cable/satellite', 'Lift', 'Washing machine', 'Dryer', 'Air conditioning', 'Hair dryer', 'Fridge']",1.0,1.0
1940363,17.0,31.0,29.0,31.0,27.0,31.0,24.0,17.0,20.0,27.0,14.0,17.0,71.0,False,27.93605,-82.47909,True,"['Wifi', 'Free street parking', 'TV with Roku', 'Window AC unit', 'Shared patio or balcony', 'Shared backyard – Fully fenced', 'Hair dryer', 'Microwave', 'Carbon monoxide alarm']",0.0,1.0
2160959,28.0,31.0,22.0,18.0,17.0,16.0,29.0,28.0,23.0,19.0,5.0,22.0,90.0,False,27.87148,-82.50436,True,"['Kitchen', 'Fast wifi – 270 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,1.0
3002163,29.0,10.0,11.0,18.0,21.0,0.0,24.0,8.0,16.0,23.0,22.0,31.0,27.0,False,27.99884,-82.58749,False,"['Canal view', 'Garden view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, saltwater', '65 inch HDTV with Amazon Prime Video, Chromecast, HBO Max, Netflix', 'Carbon monoxide alarm']",4.0,1.0
3124844,,30.0,31.0,30.0,31.0,31.0,29.0,31.0,30.0,31.0,30.0,,44.0,False,28.01717,-82.4513,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Microwave', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
3125241,31.0,,,,,,29.0,31.0,30.0,31.0,30.0,28.0,47.0,False,28.01844,-82.45152,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Long-term stays allowed', 'Carbon monoxide alarm']",1.0,1.0
3199098,,28.0,14.0,19.0,23.0,6.0,5.0,,,,,,69.0,False,27.93646,-82.47811,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'HDTV with Roku', 'Air conditioning', 'Bathtub', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed']",1.0,1.0
