ID,January,February,March,April,May,June,July,August,September,October,November,December,Scrape,Latitude,Longitude,isSuperHost,Amenities,Bedrooms,Bathrooms
198026,72.0,279.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,79.0,72.0,81.0,False,28.00246,-82.58634,True,"['Canal view', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'HDTV with Amazon Prime Video', 'Washer', 'Dryer', 'Central air conditioning', 'Bathtub']",3.0,3.0
613599,149.0,239.0,239.0,116.0,104.0,94.0,118.0,149.0,149.0,149.0,149.0,149.0,False,27.99085,-82.45708,True,"['Garden view', 'Kitchen', 'Wifi', 'Free parking on premises', 'Private hot tub', 'Pets allowed', '55 inch TV with standard cable, Roku, Fire TV, Apple TV', 'Free washer – In unit', 'Free dryer – In unit', 'Exterior security cameras on property']",3.0,3.0
734739,110.0,385.0,385.0,97.0,95.0,96.0,95.0,110.0,110.0,110.0,110.0,110.0,False,27.96258,-82.44212,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV with standard cable/satellite', 'Washing machine', 'Dryer', 'Air conditioning', 'Patio or balcony', 'Hair dryer', 'Carbon monoxide alarm']",4.0,2.0
1717217,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,False,27.94947,-82.45831,True,"['Kitchen', 'Wifi', 'Pets allowed', 'TV with standard cable/satellite', 'Lift', 'Washing machine', 'Dryer', 'Air conditioning', 'Hair dryer', 'Fridge']",1.0,1.0
1940363,114.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,154.0,142.0,119.0,False,27.93605,-82.47909,True,"['Wifi', 'Free street parking', 'TV with Roku', 'Window AC unit', 'Shared patio or balcony', 'Shared backyard – Fully fenced', 'Hair dryer', 'Microwave', 'Carbon monoxide alarm']",0.0,1.0
2160959,75.0,150.0,150.0,150.0,150.0,74.0,65.0,73.0,62.0,75.0,75.0,75.0,False,27.87148,-82.50436,True,"['Kitchen', 'Fast wifi – 270 Mbps', 'Dedicated workspace', 'Free parking on premises', 'Private hot tub', 'Pets allowed', 'TV with standard cable', 'Washer', 'Dryer', 'Exterior security cameras on property']",2.0,1.0
3002163,30.0,300.0,300.0,126.0,135.0,144.0,30.0,30.0,30.0,30.0,30.0,30.0,False,27.99884,-82.58749,False,"['Canal view', 'Garden view', 'Waterfront', 'Kitchen', 'Wifi', 'Dedicated workspace', 'Free parking on premises', 'Private outdoor pool - available all year, open 24 hours, saltwater', '65 inch HDTV with Amazon Prime Video, Chromecast, HBO Max, Netflix', 'Carbon monoxide alarm']",4.0,1.0
3124844,,45.0,45.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,,False,28.01717,-82.4513,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'TV', 'Air conditioning', 'Microwave', 'Carbon monoxide alarm', 'Smoke alarm']",1.0,1.0
3125241,55.0,,,,,,42.0,42.0,42.0,42.0,42.0,64.0,False,28.01844,-82.45152,False,"['Kitchen', 'Wifi', 'Free parking on premises', 'TV', 'Air conditioning', 'Long-term stays allowed', 'Carbon monoxide alarm']",1.0,1.0
3199098,,139.0,139.0,139.0,139.0,139.0,139.0,,,,,,False,27.93646,-82.47811,True,"['Kitchen', 'Wifi', 'Free parking on premises', 'Pets allowed', 'HDTV with Roku', 'Air conditioning', 'Bathtub', 'Patio or balcony', 'Backyard', 'Luggage dropoff allowed']",1.0,1.0
