Attraction,Latitude,Longitude
Georgia Aquarium,33.76354246440242, -84.39501360053787
Atlanta Botanical Garden,33.79101193789684, -84.37296044544365
Martin Luther King Jr. National Historic Site,33.757523371916996, -84.37292560929824
Piedmont Park,33.7884926736503, -84.37207562827551
Fox Theatre,33.77348209463911, -84.38537626620584
World of Coca-Cola,33.762965745753014, -84.39070877838368
Atlanta History Center,33.842501025998985, -84.38636012646225
High Museum of Art,33.7905955217323, -84.38565277106106
Centennial Olympic Park,33.761014775262495, -84.39298329145849
Zoo Atlanta,33.7331080447981, -84.37132959118276
Center for Civil and Human Rights,33.76414823591685, -84.39144637561657
Oakland Cemetery,33.74863348459646, -84.37176259427186
Mercedes-Benz Stadium,33.7554,-84.4008
Ponce City Market,33.7726,-84.3657
Fernbank Museum of Natural History,33.7748,-84.3292
Jimmy Carter Presidential Library and Museum,33.7677,-84.3563
Swan House,33.8425,-84.3858
College Football Hall of Fame,33.76,-84.3957
Atlanta BeltLine,33.773,-84.367
CNN Center,33.7575,-84.394
LEGOLAND Discovery Center,33.8487,-84.3677
Michael C. Carlos Museum,33.7904,-84.3238
Sweet Auburn Curb Market,33.7538,-84.377
Atlanta Contemporary Art Center,33.786,-84.411
The King Center,33.7556,-84.3737
Woodruff Arts Center,33.79,-84.3856
Atlanta Symphony Orchestra,33.79,-84.3856
State Farm Arena,33.7573,-84.3963
The Varsity,33.7713,-84.3897
Krog Street Market,33.7561,-84.3643
