Attraction,Latitude,Longitude
Texas State Capitol,30.2747,-97.7404
Lady Bird Lake Hike-and-Bike Trail,30.25,-97.75
Barton Springs Pool,30.2642,-97.7729
Zilker Metropolitan Park,30.2669,-97.7723
Bullock Texas State History Museum,30.28,-97.7394
LBJ Presidential Library,30.2858,-97.729
Mount Bonnell,30.3214,-97.7737
The Driskill,30.2681,-97.7411
Blanton Museum of Art,30.2803,-97.7379
Congress Avenue Bridge (South Congress Bridge),30.26,-97.7467
University of Texas at Austin,30.2849,-97.7341
SoCo District,30.249,-97.749
Rainey Street Historic District,30.2593,-97.7395
McKinney Falls State Park,30.18,-97.7225
Austin Bats,30.26,-97.7467
6th Street,30.2672,-97.7395
Lady Bird Johnson Wildflower Center,30.1858,-97.87
Austin Zoo,30.288,-97.9615
Texas Memorial Museum,30.2852,-97.7339
Mayfield Park,30.3102,-97.7731
Umlauf Sculpture Garden & Museum,30.2636,-97.7699
Austin Nature & Science Center,30.2715,-97.7722
The Moody Theater,30.2653,-97.747
Zach Theatre,30.2632,-97.7578
Stevie Ray Vaughan Statue,30.26,-97.752
Circuit of The Americas,30.1346,-97.6359
Thinkery,30.297,-97.6986
Mueller Lake Park,30.2975,-97.7036
St. Mary's Cathedral,30.2701,-97.7415
O. Henry Home & Museum,30.2679,-97.7397
