Attraction,Latitude,Longitude
The Alamo,29.4258,-98.4861
San Antonio River Walk,29.4252,-98.4912
San Antonio Missions National Historical Park,29.3315,-98.4794
Natural Bridge Caverns,29.7053,-98.4048
San Fernando Cathedral,29.4239,-98.4938
Japanese Tea Garden,29.4582,-98.465
San Antonio Botanical Garden,29.458,-98.4562
Mission San Jose,29.3623,-98.4785
Mission Concepción,29.3881,-98.4919
Pearl District,29.4424,-98.4784
Tower of the Americas,29.4192,-98.4843
SeaWorld San Antonio,29.46,-98.6998
La Villita Historic Arts Village,29.4217,-98.4888
Brackenridge Park,29.4612,-98.4707
McNay Art Museum,29.486,-98.4566
Witte Museum,29.462,-98.4676
The DoSeum,29.4518,-98.472
San Antonio Zoo,29.4623,-98.4718
Market Square,29.4256,-98.5006
Mission Espada,29.3101,-98.455
Hemisfair Park,29.4182,-98.4823
UTSA Institute of Texan Cultures,29.4191,-98.4787
Mission San Juan,29.3369,-98.4498
Ripley’s Believe It or Not!,29.4257,-98.4864
Lackland Air Force Base,29.3842,-98.6189
King William Historic District,29.409,-98.4915
Six Flags Fiesta Texas,29.5994,-98.6099
The Buckhorn Saloon and Texas Ranger Museum,29.4266,-98.4895
Yanaguana Garden,29.4197,-98.4828
San Pedro Springs Park,29.4507,-98.5027
