Attraction,Latitude,Longitude
Busch Gardens Tampa Bay,28.037,-82.4194
The Florida Aquarium,27.9444,-82.4467
ZooTampa at Lowry Park,28.0129,-82.4698
Tampa Riverwalk,27.9494,-82.456
Ybor City,27.9607,-82.4371
Tampa Bay History Center,27.9421,-82.4493
Lettuce Lake Regional Park,28.0831,-82.3738
Museum of Science and Industry (MOSI),28.0517,-82.4131
Henry B. Plant Museum,27.9429,-82.4641
Big Cat Rescue,28.0562,-82.5653
Ben T Davis Beach,27.9754,-82.5562
Curtis Hixon Waterfront Park,27.9491,-82.4627
Adventure Island,28.0385,-82.4112
Wat Mongkolratanaram Thai Temple,27.9234,-82.4031
Glazer Children's Museum,27.9497,-82.4625
Ballast Point Park,27.8813,-82.4813
Tampa Theatre,27.9476,-82.4582
Cypress Point Park,27.9643,-82.5497
Tampa Convention Center,27.9426,-82.4547
Straz Center for the Performing Arts,27.9507,-82.4617
Bayshore Boulevard,27.9154,-82.4818
Sunken Gardens,27.7883,-82.6441
Sparkman Wharf,27.9417,-82.4447
Fred Ball Park,27.9246,-82.4784
Manatee Viewing Center,27.7936,-82.4001
Keel & Curley Winery,28.0623,-82.1586
Hillsborough River State Park,28.1523,-82.2379
Rocky Point Golf Course,27.9767,-82.5796
Westfield Citrus Park,28.0709,-82.5772
Picnic Island Park,27.8667,-82.5489
