city,landmark,latitude,longitude
atlanta,Georgia Aquarium,33.76440815,-84.39489831
austin,Texas Capitol,30.27480766,-97.74035579
cape_coral,Cape Coral Farmers Market,26.56541174,-81.95216891
charlotte,Discovery Place Science,35.22989713,-80.8412083
dallas,Reunion Tower,32.7758406,-96.80908977
destin,Henderson Beach State Park,30.38617101,-86.44242525
fort_lauderdale,Victoria Park,26.13024783,-80.128023
houston,Discovery Green,29.75330455,-95.35960816
indianapolis,Indianapolis Cultural Trail,39.77740459,-86.16411278
jacksonville,The Florida Theater,30.32649622,-81.65570623
miami,Bayfront Park,25.77521387,-80.18578119
myrtle_beach,Family Kingdom Amusement Park,33.81544144,-78.67820494
nashville,Tennessee State Capitol,36.16598636,-86.78420279
phoenix,Japanese Friendship Garden,33.44954399,-112.074941
san_antonio,The Alamo,29.42617266,-98.48615263
tampa,Tampa Theatre,27.95050868,-82.45804417
