Attraction,Latitude,Longitude
The Sixth Floor Museum at Dealey Plaza,32.779,-96.8084
Dallas Arboretum & Botanical Gardens,32.8212,-96.7169
Reunion Tower,32.7756,-96.8093
The Dallas World Aquarium,32.7834,-96.8063
Perot Museum of Nature and Science,32.7869,-96.806
George W. Bush Presidential Library and Museum,32.841,-96.7785
Dallas Museum of Art,32.7876,-96.8004
Dealey Plaza National Historic Landmark District,32.7782,-96.8085
NorthPark Center,32.8684,-96.7736
Klyde Warren Park,32.789,-96.8012
Dallas Zoo,32.744,-96.814
Dallas Cattle Drive Sculptures,32.7743,-96.8
AT&T Stadium,32.7473,-97.0945
Fort Worth Stockyards National Historic District,32.7903,-97.3463
Top O' Hill Terrace,32.736,-97.153
Fort Worth Zoo,32.7256,-97.3572
Globe Life Park,32.7512,-97.0827
Six Flags Over Texas,32.7555,-97.0703
Grapevine Historic Main Street District,32.9363,-97.0781
Kimbell Art Museum,32.7484,-97.3685
Fort Worth Water Gardens,32.7472,-97.3275
Fort Worth Botanic Garden,32.7403,-97.3633
SEA LIFE Grapevine,32.9646,-97.0435
Arbor Hills Nature Preserve,33.0555,-96.8628
Sundance Square,32.7555,-97.3308
Grapevine Mills,32.967,-97.0434
"Immersive Gamebox - Grandscape, The Colony",33.0728,-96.8616
Bureau of Engraving and Printing,32.9056,-97.3625
Mustangs of Las Colinas,32.8787,-96.9399
Bass Performance Hall,32.755,-97.33
