Attraction,Latitude,Longitude
Fort Lauderdale Beach,26.1224,-80.1048
Las Olas Boulevard,26.1199,-80.1373
Bonnet House Museum and Gardens,26.135,-80.1048
Hugh Taylor Birch State Park,26.1503,-80.1038
Riverwalk Fort Lauderdale,26.1186,-80.1428
Museum of Discovery and Science,26.1209,-80.1485
Stranahan House,26.1173,-80.142
NSU Art Museum,26.119,-80.145
Fort Lauderdale Antique Car Museum,26.1083,-80.1467
Broward Center for the Performing Arts,26.1181,-80.1495
Jungle Queen Riverboat,26.1113,-80.1298
Historic Ships in Baltimore,26.1164,-80.1436
Galleria Mall,26.137,-80.113
Parker Playhouse,26.131,-80.136
International Swimming Hall of Fame,26.111,-80.105
Las Olas Beach,26.117,-80.104
Lauderdale Yacht Club,26.101,-80.128
Fort Lauderdale Fire and Safety Museum,26.131,-80.162
Secret Woods Nature Center,26.085,-80.179
Colee Hammock Park,26.119,-80.131
Victoria Park,26.131,-80.131
Snyder Park,26.085,-80.152
War Memorial Auditorium,26.131,-80.137
Fort Lauderdale Historical Society,26.119,-80.148
Esplanade Park,26.118,-80.148
Broward County Main Library,26.118,-80.147
Fort Lauderdale Beach Park,26.11,-80.104
Intracoastal Waterway,26.1224,-80.1048
Central Beach,26.13,-80.104
Sailboat Bend,26.117,-80.156
