Attraction,Latitude,Longitude
Space Center Houston,29.5502,-95.097
Houston Museum of Natural Science,29.721,-95.3897
"Museum of Fine Arts, Houston",29.7253,-95.39
Houston Zoo,29.7143,-95.3909
Minute Maid Park,29.7573,-95.3555
Children's Museum Houston,29.722,-95.3886
The Galleria,29.739,-95.4635
Hermann Park,29.7174,-95.3884
Downtown Aquarium,29.7635,-95.367
Discovery Green,29.7533,-95.3595
The Menil Collection,29.737,-95.3975
Houston Arboretum & Nature Center,29.7675,-95.4475
Bayou Bend Collection and Gardens,29.7604,-95.4194
Buffalo Bayou Park,29.7602,-95.3981
Cockrell Butterfly Center,29.721,-95.3897
NRG Stadium,29.6847,-95.4107
Toyota Center,29.7508,-95.3621
Rothko Chapel,29.7376,-95.3964
Rice University Campus,29.7174,-95.4018
Water Wall,29.7376,-95.4636
Houston Symphony,29.7628,-95.3653
Houston Grand Opera,29.7628,-95.3653
Saint Arnold Brewing Company,29.771,-95.354
James Turrell's Twilight Epiphany Skyspace,29.7174,-95.4018
McGovern Centennial Gardens,29.7192,-95.3895
Hobby Center for the Performing Arts,29.7628,-95.3653
Gerald D. Hines Waterwall Park,29.7376,-95.4636
Houston Livestock Show and Rodeo,29.6847,-95.4107
Art Car Museum,29.7764,-95.4035
Memorial Park,29.7675,-95.4475
