Attraction,Latitude,Longitude
Indianapolis Motor Speedway Museum,39.795,-86.234
Children's Museum of Indianapolis,39.8106,-86.1598
White River State Park,39.7673,-86.1708
Indianapolis Zoo,39.7675,-86.1762
Indiana State Museum,39.7684,-86.1685
Monument Circle,39.7684,-86.158
Eiteljorg Museum,39.7685,-86.1675
Lucas Oil Stadium,39.7601,-86.1639
Victory Field,39.764,-86.1685
Indiana War Memorial,39.7732,-86.1565
Garfield Park Conservatory,39.7427,-86.1467
Indianapolis Museum of Art at Newfields,39.8254,-86.1856
Central Canal,39.7703,-86.1695
Soldiers and Sailors Monument,39.7683,-86.158
Indiana State Capitol,39.7686,-86.1626
Benjamin Harrison Presidential Site,39.7817,-86.1511
Indianapolis Cultural Trail,39.7685,-86.158
Eagle Creek Park,39.8446,-86.2971
Holliday Park,39.8754,-86.1684
Rhythm! Discovery Center,39.7679,-86.1583
Broad Ripple Village,39.8673,-86.1416
Crown Hill Cemetery,39.8202,-86.1718
Indiana Medical History Museum,39.7672,-86.2006
Conner Prairie,39.9965,-86.0337
Tibbs Drive-In,39.7522,-86.2263
Fountain Square,39.7507,-86.1409
Bankers Life Fieldhouse (Gainbridge Fieldhouse),39.764,-86.1555
Indianapolis City Market,39.7686,-86.1532
NCAA Hall of Champions,39.7679,-86.1725
Indianapolis Art Center,39.8694,-86.1462
