Attraction,Latitude,Longitude
Vizcaya Museum and Gardens,25.748,-80.2103
Wynwood Walls,25.8007,-80.1998
Bayside Marketplace,25.7791,-80.187
Dolphin Mall,25.788,-80.377
Zoo Miami,25.6118,-80.3983
Little Havana,25.765,-80.2195
Miami Design District,25.8171,-80.1918
Bayfront Park,25.7743,-80.1865
Phillip and Patricia Frost Museum of Science,25.785,-80.1868
Perez Art Museum Miami,25.7858,-80.1868
Fairchild Tropical Botanic Garden,25.6776,-80.2756
Deering Estate,25.6058,-80.3058
Venetian Pool,25.7455,-80.271
Coral Castle,25.5009,-80.4443
Crandon Park,25.7086,-80.158
Jungle Island,25.7814,-80.17
Miami Seaquarium,25.742,-80.1638
South Pointe Park,25.7655,-80.1303
Lincoln Road,25.7906,-80.1405
Ocean Drive,25.7794,-80.1318
Art Deco Historic District,25.7826,-80.1341
The Bass,25.796,-80.13
Miami Beach Botanical Garden,25.7953,-80.133
Espanola Way,25.7865,-80.132
Lummus Park,25.7775,-80.131
South Beach,25.7826,-80.1341
Wynwood Art District,25.8,-80.2
Brickell City Centre,25.7674,-80.1936
Adrienne Arsht Center for the Performing Arts,25.789,-80.189
Olympia Theater,25.774,-80.193
