Attraction,Latitude,Longitude
Broadway at the Beach,33.715,-78.8826
Myrtle Beach Boardwalk & Promenade,33.689,-78.8867
SkyWheel Myrtle Beach,33.6895,-78.8806
Ripley's Aquarium of Myrtle Beach,33.7161,-78.8818
Myrtle Beach State Park,33.6552,-78.9396
Brookgreen Gardens,33.5141,-79.0904
Hollywood Wax Museum,33.7142,-78.8807
The Carolina Opry,33.7657,-78.7906
Alabama Theatre,33.7942,-78.743
Family Kingdom Amusement Park,33.6786,-78.8848
Barefoot Landing,33.8016,-78.7427
Pirates Voyage Dinner & Show,33.7654,-78.7893
Huntington Beach State Park,33.5203,-79.073
WonderWorks Myrtle Beach,33.7165,-78.8821
Myrtle Waves Water Park,33.7158,-78.9036
Tanger Outlets Hwy 17,33.7918,-78.774
Franklin G. Burroughs-Simeon B. Chapin Art Museum,33.655,-78.9183
GTS Theatre,33.7016,-78.9272
Ripley's Believe It or Not!,33.6896,-78.884
Myrtle Beach Pinball Museum,33.7197,-78.8654
Warbird Park,33.6607,-78.929
Savannah's Playground,33.6822,-78.898
Mt. Atlanticus Miniature Golf,33.6901,-78.8822
Springmaid Pier,33.6558,-78.9186
Apache Pier,33.7634,-78.7789
The Market Common,33.664,-78.9391
Second Avenue Pier,33.6826,-78.8788
Grande Dunes Golf Club,33.7669,-78.8193
Myrtle Beach Convention Center,33.7071,-78.8744
Captain Hook's Adventure Golf,33.6992,-78.8772
