HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/229-El-Dorado-Pkwy-W-Cape-Coral-FL-33914/45441645_zpid/,45441645,,SINGLE FAMILY,"$650,000",229 El Dorado Pkwy W,Cape Coral,FL,33914,3,2,1698,10018.8 sqft,
https://www.zillow.com/homedetails/421-NW-31st-Pl-Cape-Coral-FL-33993/103331784_zpid/,103331784,,SINGLE FAMILY,"$548,000",421 NW 31st Pl,Cape Coral,FL,33993,4,3,1886,10018.8 sqft,2716
https://www.zillow.com/homedetails/1107-El-Dorado-Pkwy-W-Cape-Coral-FL-33914/45445578_zpid/,45445578,,SINGLE FAMILY,"$530,000",1107 El Dorado Pkwy W,Cape Coral,FL,33914,4,3,2242,10018.8 sqft,
https://www.zillow.com/homedetails/5510-Lancelot-Ln-Cape-Coral-FL-33914/45478399_zpid/,45478399,,SINGLE FAMILY,"$1,250,000",5510 Lancelot Ln,Cape Coral,FL,33914,4,3,2272,0.33999999999999997 acres,5215
https://www.zillow.com/homedetails/143-SE-30th-Ter-Cape-Coral-FL-33904/45558166_zpid/,45558166,,SINGLE FAMILY,"$250,000",143 SE 30th Ter,Cape Coral,FL,33904,3,2,1248,10018.8 sqft,2534
https://www.zillow.com/homedetails/2540-SW-28th-Place-Cape-Coral-FL-33914/97295490_zpid/,97295490,,SINGLE FAMILY,"$1,299,700",2540 SW 28th Place,Cape Coral,FL,33914,3,3,2531,10018.8 sqft,4983
https://www.zillow.com/homedetails/1410-NE-14th-St-Cape-Coral-FL-33909/45399573_zpid/,45399573,,SINGLE FAMILY,"$245,000",1410 NE 14th St,Cape Coral,FL,33909,3,2,1276,10018.8 sqft,
https://www.zillow.com/community/pascal-construction-inc/2079659264_zpid/,2079659264,,SINGLE FAMILY,"$350,000+","Valencia Model Plan, Pascal Construction, Inc.",Cape Coral,FL,33990,3,2,1829, ,2406
https://www.zillow.com/homedetails/2733-NW-46th-Ave-Cape-Coral-FL-33993/103393233_zpid/,103393233,,SINGLE FAMILY,"$259,900",2733 NW 46th Ave,Cape Coral,FL,33993,3,2,1777,10628.64 sqft,2116
https://www.zillow.com/homedetails/2713-NW-2nd-Ave-Cape-Coral-FL-33993/45500688_zpid/,45500688,,SINGLE FAMILY,"$299,000",2713 NW 2nd Ave,Cape Coral,FL,33993,3,2,1184,0.256 acres,
https://www.zillow.com/homedetails/1928-SW-8th-Pl-Cape-Coral-FL-33991/66156677_zpid/,66156677,,SINGLE FAMILY,"$585,000",1928 SW 8th Pl,Cape Coral,FL,33991,4,3,1912,10497.96 sqft,2779
https://www.zillow.com/homedetails/1118-NE-3rd-Ave-Cape-Coral-FL-33909/45371857_zpid/,45371857,,SINGLE FAMILY,"$319,900",1118 NE 3rd Ave,Cape Coral,FL,33909,3,2,1798,10628.64 sqft,2517
https://www.zillow.com/homedetails/4501-SE-1st-Ave-Cape-Coral-FL-33904/45431093_zpid/,45431093,,SINGLE FAMILY,"$340,000",4501 SE 1st Ave,Cape Coral,FL,33904,2,2,1123,10018.8 sqft,
https://www.zillow.com/homedetails/1441-SE-19th-Ter-Cape-Coral-FL-33990/45525779_zpid/,45525779,,SINGLE FAMILY,"$299,999",1441 SE 19th Ter,Cape Coral,FL,33990,4,2,1823,10018.8 sqft,
https://www.zillow.com/homedetails/2524-SW-22nd-Pl-Cape-Coral-FL-33914/45540130_zpid/,45540130,,SINGLE FAMILY,"$320,000",2524 SW 22nd Pl,Cape Coral,FL,33914,3,2,1631,9975.24 sqft,
https://www.zillow.com/homedetails/1524-NE-18th-Pl-Cape-Coral-FL-33909/89560914_zpid/,89560914,,SINGLE FAMILY,"$320,000",1524 NE 18th Pl,Cape Coral,FL,33909,3,2,1785,10585.08 sqft,2974
https://www.zillow.com/homedetails/2549-Caslotti-Way-Cpe-Cape-Coral-FL-33909/247776857_zpid/,247776857,,SINGLE FAMILY,"$425,000",2549 Caslotti Way Cpe,Cape Coral,FL,33909,4,3,2032,10018.8 sqft,
https://www.zillow.com/homedetails/118-SW-59th-St-Cape-Coral-FL-33914/45489398_zpid/,45489398,,SINGLE FAMILY,"$285,000",118 SW 59th St,Cape Coral,FL,33914,2,2,1273,10018.8 sqft,
https://www.zillow.com/homedetails/1509-NE-17th-Ave-Cape-Coral-FL-33909/81874624_zpid/,81874624,,SINGLE FAMILY,"$279,000",1509 NE 17th Ave,Cape Coral,FL,33909,4,2,1720,10018.8 sqft,1979
https://www.zillow.com/homedetails/3102-SE-8th-Ave-Cape-Coral-FL-33904/45557854_zpid/,45557854,,SINGLE FAMILY,"$299,900",3102 SE 8th Ave,Cape Coral,FL,33904,3,2,1212,10018.8 sqft,2301
https://www.zillow.com/homedetails/2048-NE-18th-St-Cape-Coral-FL-33909/103284437_zpid/,103284437,,SINGLE FAMILY,"$209,900",2048 NE 18th St,Cape Coral,FL,33909,4,3,1683,10628.64 sqft,
https://www.zillow.com/homedetails/926-SW-37th-St-Cape-Coral-FL-33914/45383854_zpid/,45383854,,SINGLE FAMILY,"$355,000",926 SW 37th St,Cape Coral,FL,33914,3,2,1549,10018.8 sqft,3085
