HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/530-E-9th-St-Charlotte-NC-28202/54492707_zpid/,54492707,,TOWNHOUSE,"$375,000",530 E 9th St,Charlotte,NC,28202,2,3,1250,0.026 acres,
https://www.zillow.com/homedetails/9051-Lowfalls-Ln-Charlotte-NC-28216/2058064262_zpid/,2058064262,,TOWNHOUSE,"$299,900",9051 Lowfalls Ln,Charlotte,NC,28216,3,3,1429,0.04 acres,2005
https://www.zillow.com/homedetails/2236-Lyndhurst-Ave-Charlotte-NC-28203/108861547_zpid/,108861547,,CONDO,"$700,000",2236 Lyndhurst Ave,Charlotte,NC,28203,3,3,1525, ,3245
https://www.zillow.com/homedetails/5531-Doverstone-Ct-Charlotte-NC-28208/6173853_zpid/,6173853,,SINGLE FAMILY,"$269,999",5531 Doverstone Ct,Charlotte,NC,28208,3,2,1467,0.29 acres,1886
https://www.zillow.com/homedetails/8424-Spirea-Ct-Charlotte-NC-28215/65024543_zpid/,65024543,,SINGLE FAMILY,"$322,000",8424 Spirea Ct,Charlotte,NC,28215,3,2,1520,0.07 acres,2039
https://www.zillow.com/homedetails/201-S-Hoskins-Rd-APT-136-Charlotte-NC-28208/69571626_zpid/,69571626,,CONDO,"$189,900",201 S Hoskins Rd APT 136,Charlotte,NC,28208,2,1,1018, ,1686
https://www.zillow.com/homedetails/6907-Spandril-Ln-Charlotte-NC-28215/6216985_zpid/,6216985,,SINGLE FAMILY,"$389,900",6907 Spandril Ln,Charlotte,NC,28215,4,3,2104,0.23 acres,2194
https://www.zillow.com/homedetails/17637-Snug-Harbor-Rd-Charlotte-NC-28278/336917305_zpid/,336917305,,SINGLE FAMILY,"$599,000",17637 Snug Harbor Rd,Charlotte,NC,28278,5,4,3543,0.26 acres,3463
https://www.zillow.com/homedetails/726-Pennsylvania-Ave-Charlotte-NC-28216/6179834_zpid/,6179834,,SINGLE FAMILY,"$315,000",726 Pennsylvania Ave,Charlotte,NC,28216,4,2,1347,0.16 acres,1948
https://www.zillow.com/homedetails/6724-Riverfront-Dr-Charlotte-NC-28216/6137665_zpid/,6137665,,SINGLE FAMILY,"$675,000",6724 Riverfront Dr,Charlotte,NC,28216,3,3,3050,2.89 acres,3005
https://www.zillow.com/homedetails/1134-Plaza-Walk-Dr-Charlotte-NC-28215/65051042_zpid/,65051042,,CONDO,"$165,000",1134 Plaza Walk Dr,Charlotte,NC,28215,3,2,1231, ,1656
https://www.zillow.com/homedetails/7139-Powder-Mill-Pl-Charlotte-NC-28277/6327744_zpid/,6327744,,SINGLE FAMILY,"$509,900",7139 Powder Mill Pl,Charlotte,NC,28277,3,2,1603,0.459 acres,2321
https://www.zillow.com/homedetails/7960-Tiburon-Cir-Charlotte-NC-28215/2068896440_zpid/,2068896440,,SINGLE FAMILY,"$300,000",7960 Tiburon Cir,Charlotte,NC,28215,3,2,1298,0.25 acres,1861
