HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/2927-Kingston-St-Dallas-TX-75211/26733915_zpid/,26733915,,SINGLE FAMILY,"$309,900",2927 Kingston St,Dallas,TX,75211,3,2,1220,7405.2 sqft,
https://www.zillow.com/homedetails/6643-Gretchen-Ln-Dallas-TX-75252/26653346_zpid/,26653346,,SINGLE FAMILY,"$869,900",6643 Gretchen Ln,Dallas,TX,75252,4,4,3712,8276.4 sqft,6027
https://www.zillow.com/homedetails/8914-Diceman-Dr-Dallas-TX-75218/26739819_zpid/,26739819,,SINGLE FAMILY,"$625,000",8914 Diceman Dr,Dallas,TX,75218,3,2,1441,7710.12 sqft,
https://www.zillow.com/homedetails/6625-Rolling-Vista-Dr-Dallas-TX-75248/26872739_zpid/,26872739,,SINGLE FAMILY,"$1,225,000",6625 Rolling Vista Dr,Dallas,TX,75248,4,4,3534,0.323 acres,5578
https://www.zillow.com/homedetails/3105-Gladiolus-Ln-Dallas-TX-75233/26780311_zpid/,26780311,,SINGLE FAMILY,"$620,000",3105 Gladiolus Ln,Dallas,TX,75233,4,2,2330,0.35200000000000004 acres,2791
https://www.zillow.com/homedetails/2535-Exline-St-Dallas-TX-75215/26687182_zpid/,26687182,,SINGLE FAMILY,"$399,000",2535 Exline St,Dallas,TX,75215,4,2,2000,7535.88 sqft,2747
https://www.zillow.com/homedetails/3051-Michigan-Ave-Dallas-TX-75216/96507075_zpid/,96507075,,SINGLE FAMILY,"$370,000",3051 Michigan Ave,Dallas,TX,75216,4,2,2200,7666.56 sqft,2850
https://www.zillow.com/homedetails/3512-Mayhew-Dr-Dallas-TX-75228/26849952_zpid/,26849952,,SINGLE FAMILY,"$249,900",3512 Mayhew Dr,Dallas,TX,75228,3,2,1440,8189.28 sqft,2150
https://www.zillow.com/homedetails/10739-Saint-Lazare-Dr-Dallas-TX-75229/26758331_zpid/,26758331,,SINGLE FAMILY,"$1,475,000",10739 Saint Lazare Dr,Dallas,TX,75229,5,4,3686,0.387 acres,
https://www.zillow.com/homedetails/1806-Morrell-Ave-Dallas-TX-75203/452165753_zpid/,452165753,,SINGLE FAMILY,"$288,000",1806 Morrell Ave,Dallas,TX,75203,4,2,1600,6141.96 sqft,
https://www.zillow.com/homedetails/5303-Colonial-Ave-Dallas-TX-75215/2056602642_zpid/,2056602642,,SINGLE FAMILY,"$360,000",5303 Colonial Ave,Dallas,TX,75215,4,4,2122,7013.16 sqft,3168
https://www.zillow.com/homedetails/10224-Woodleaf-Dr-Dallas-TX-75227/26908014_zpid/,26908014,,SINGLE FAMILY,"$170,000",10224 Woodleaf Dr,Dallas,TX,75227,3,2,1468,3876.84 sqft,
https://www.zillow.com/homedetails/2461-Volga-Ave-Dallas-TX-75216/26767311_zpid/,26767311,,SINGLE FAMILY,"$135,000",2461 Volga Ave,Dallas,TX,75216,3,2,996,6664.68 sqft,1642
https://www.zillow.com/homedetails/1338-E-Kiest-Blvd-Dallas-TX-75216/96524362_zpid/,96524362,,SINGLE FAMILY,"$378,000",1338 E Kiest Blvd,Dallas,TX,75216,4,3,2163,7710.12 sqft,3012
https://www.zillow.com/homedetails/1608-Matagorda-Dr-Dallas-TX-75232/26825607_zpid/,26825607,,SINGLE FAMILY,"$859,000",1608 Matagorda Dr,Dallas,TX,75232,4,6,3887,9016.92 sqft,6707
https://www.zillow.com/homedetails/1505-Elm-St-APT-805-Dallas-TX-75201/67964618_zpid/,67964618,,CONDO,"$175,000",1505 Elm St APT 805,Dallas,TX,75201,1,2,1324,10018.8 sqft,
