HOUSE URL,ZPID,HOME STATUS,HOUSE TYPE,PRICE($),STREET,CITY,STATE,ZIP CODE,NUMBER OF BEDROOMS,NUMBER OF BATHROOMS,HOUSE SIZE (sqft),LOT SIZE,RENT ZESTIMATE
https://www.zillow.com/homedetails/910-Emerald-Bay-Dr-Destin-FL-32541/45968681_zpid/,45968681,,SINGLE FAMILY,"$1,395,000",910 Emerald Bay Dr,Destin,FL,32541,4,4,3775, ,6044
https://www.zillow.com/homedetails/298-Ketch-Ct-Destin-FL-32541/83891271_zpid/,83891271,,SINGLE FAMILY,"$1,150,000",298 Ketch Ct,Destin,FL,32541,3,3,2660,9583.2 sqft,3818
https://www.zillow.com/homedetails/121-Country-Club-Dr-W-Destin-FL-32541/45969440_zpid/,45969440,,SINGLE FAMILY,"$1,149,900",121 Country Club Dr W,Destin,FL,32541,4,3,3489,0.49000000000000005 acres,
https://www.zillow.com/homedetails/100-Gulf-Shore-Dr-UNIT-602-Destin-FL-32541/45975654_zpid/,45975654,,CONDO,"$1,450,000",100 Gulf Shore Dr UNIT 602,Destin,FL,32541,3,3,2100, ,
https://www.zillow.com/homedetails/4739-Amhurst-Cir-Destin-FL-32541/67851328_zpid/,67851328,,SINGLE FAMILY,"$525,000",4739 Amhurst Cir,Destin,FL,32541,4,3,2210,3049.2 sqft,
https://www.zillow.com/homedetails/225-Wekiva-Cv-Destin-FL-32541/45968412_zpid/,45968412,,SINGLE FAMILY,"$1,125,000",225 Wekiva Cv,Destin,FL,32541,4,3,2498,9583.2 sqft,
https://www.zillow.com/homedetails/251-Mattie-M-Kelly-Blvd-UNIT-203-Destin-FL-32541/67855335_zpid/,67855335,,CONDO,"$210,000",251 Mattie M Kelly Blvd UNIT 203,Destin,FL,32541,2,2,1051, ,
https://www.zillow.com/homedetails/319-Main-St-Destin-FL-32541/45969872_zpid/,45969872,,SINGLE FAMILY,"$375,000",319 Main St,Destin,FL,32541,3,3,1456,6969.6 sqft,
https://www.zillow.com/homedetails/940-Highway-98-E-UNIT-27-Destin-FL-32541/45973465_zpid/,45973465,,CONDO,"$449,000",940 Highway 98 E UNIT 27,Destin,FL,32541,3,3,1289, ,
https://www.zillow.com/homedetails/301-Summit-Dr-Destin-FL-32541/45973604_zpid/,45973604,,SINGLE FAMILY,"$699,900",301 Summit Dr,Destin,FL,32541,4,3,2133,0.27 acres,3439
https://www.zillow.com/homedetails/4207-Indian-Bayou-Trl-2310-Destin-FL-32541/81820902_zpid/,81820902,,CONDO,"$299,000",4207 Indian Bayou Trl #2310,Destin,FL,32541,2,2,970, ,
https://www.zillow.com/homedetails/705-Gulf-Shore-Dr-UNIT-401-Destin-FL-32541/45967970_zpid/,45967970,,CONDO,"$399,000",705 Gulf Shore Dr UNIT 401,Destin,FL,32541,2,2,1203, ,
https://www.zillow.com/homedetails/223-Indian-Oaks-Dr-Destin-FL-32541/45973825_zpid/,45973825,,MULTI FAMILY,"$230,000",223 Indian Oaks Dr,Destin,FL,32541,2,2,900,2178 sqft,
https://www.zillow.com/homedetails/3290-Scenic-Highway-98-UNIT-305B-Destin-FL-32541/45966850_zpid/,45966850,,CONDO,"$765,000",3290 Scenic Highway 98 UNIT 305B,Destin,FL,32541,2,2,1072, ,2303
https://www.zillow.com/homedetails/605-3rd-St-Destin-FL-32541/45970057_zpid/,45970057,,SINGLE FAMILY,"$497,500",605 3rd St,Destin,FL,32541,4,3,1699,0.29 acres,2899
https://www.zillow.com/homedetails/1080-Highway-98-E-UNIT-412-Destin-FL-32541/45972646_zpid/,45972646,,CONDO,"$637,500",1080 Highway 98 E UNIT 412,Destin,FL,32541,2,2,861, ,
